Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs,,,,
Cabinet Office,Ministerial Department,Cabinet Office,542,505.35,869,843.51,2138,2099.57,2991,2935.10,468,460.65,2395,2379.96,"9,403","9,224",32,26.59,49,49,209,206.82,290,282.41,"9,693","9,507","£35,874,264.55","£1,450,240.41","£78,758.48","£419,050.64","£9,142,884.73","£4,260,066.06","£51,225,264.87","£3,403,812.45","£54,629,077.32",,,,
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.60,10,10.00,3,3.00,6,5.93,1,0.50,0,0.00,21,20,0,0,0,0,0,0,0,0,21,20,"£64,932.88","£3,885.46",£75.00,£0.00,"£19,081.13","£7,371.45","£95,345.92",£0.00,"£95,345.92",,,,
Crown Commercial Services,Executive Agency,Cabinet Office,23,22.00,113,109.40,424,409.80,199,196.30,24,24.00,0,0.00,783,762,0,0,47,47,0,0,47,47,830,809,"£2,427,167.97","£60,345.55",£0.00,"£2,582.58","£647,649.04","£262,844.34","£3,400,589.48","£409,410.96","£3,810,000.44",,,,
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,20,19.00,453,417.00,250,237.00,69,68.00,20,19.00,0,0.00,812,760,31,30,0,0,4,2,35,32,847,792,"£2,095,766.04","£49,980.32",£0.00,"£6,170.87","£535,216.54","£214,295.62","£2,901,429.39","£72,028.38","£2,973,457.77",,,,
Government Property Agency,Executive Agency,Cabinet Office,3,2.57,19,17.60,70,68.62,103,101.41,17,17.00,0,0.00,209,205,29,26.2,0,0,0,0,29,26.2,238,231,"£10,518,894.00","£33,152.00",£0.00,"£4,930.00","£239,508.00","£101,252.00","£10,897,736.00","£368,109.28","£11,265,845.28",,,,
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,0,0.00,15,13.60,110,106.20,62,57.80,11,10.90,0,0.00,198,189,10,10,0,0,0,0,10,10,208,199,"£676,568.00","£11,836.00",£0.00,£0.00,"£186,491.00","£73,264.00","£948,159.00","£31,718.00","£979,877.00",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
