Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,48,46.95833,378,368.33459,1152,1125.58732,1127,1094.05619,255,246.17037,33,32.61111,2993,2913.71791,113,112.02778,,,30,29.39505,23,23,166,164.42283,3159,3078.14074,"£6,035,543","£60,264","£75,334","£7,709","£1,660,813","£721,699","£8,561,360.94","£9,479,745",,"£9,479,744.83","£18,041,105.77",
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,219,201.95,420,403.26,1958,1885.4,504,490.17,155,141.68,26,12,3282,3134.46,6,6,8,8,5,5,2,2,21,21,3303,3155.46,"£11,165,197","£85,142",0,"£21,786","£1,436,701","£1,185,414","£13,894,240.00",210798.95,,"£210,798.95","£14,105,038.95",
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,10,10,405,352.7,753,735.8,1220,1204.1,184,180.1,,,2572,2482.7,308,276.3,192,176.5,3,3,,,503,455.8,3075,2938.5,"£10,355,935","£452,114",,"£15,353","£2,059,685","£1,170,401","£14,053,488.61",3726234.75,,"£3,726,234.75","£17,779,723.36",
Health Education England,Special Health Authority,Department of Health,91,84.78,715,670.14,717,678.25,628,596.68,995,368.25,0,0,3146,2398.1,,,,,,,,,0,0,3146,2398.1,"£9,637,405",23053.71,,£67,"£1,182,544","£966,695","£11,809,764.78","£420,848",,"£420,847.66","£12,230,612.44",
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,1,1,86,82.47,85,80.98,37,35.45,7,6.8,,,216,206.7,1,1,5,4.85,,,,,6,5.85,222,212.55,"£681,462",,,£436,"£65,430","£84,569","£831,897.12",,,£0.00,"£831,897.12",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,19,18.2,35,34.4,9,8.5,4,3.5,0,0,67,64.6,1,1,0,0,5,5,0,0,6,6,73,70.6,"£239,807",,,,"£73,144","£29,625","£342,576.00",,,£0.00,"£342,576.00",The HFEA currently has 1 vacancy
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,0,0,5,5,29,29,10,9.43,3,3,,,47,46.43,,,,,,,,,0,0,47,46.43,195485.99,0,4418.07,0,25231.32,22718.05,"£247,853.43","£11,511",,"£11,510.69","£259,364.12",
Medicines & Healthcare products Regulatory Agency,Executive Agency,Department of Health,55,54.61,200,193.57,490,480.53,416,397.82,163,146.07,0,0,1324,1272.6,47,47,5,5,13,12.19,0,0,65,64.19,1389,1336.79,"£5,100,989","£12,646",6600,"£20,255","£1,370,567","£572,188","£7,083,246.03","£997,444",0,"£997,443.60","£8,080,689.63",
Monitor,Executive Non-Departmental Public Body,Department of Health,7,7,5,4.8,20,18.89459,58,56.88889,28,26.84444,0,0,118,114.42792,,,,,,,,,0,0,118,114.42792,"£849,569",0,0,768,"£246,899","£106,477","£1,203,713.00",,,£0.00,"£1,203,713.00",
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,17,15.83,94,89.47,274,258.37,259,240.68,68,65.28,2,1.4,714,671.03,7,5.9,,,1,0.62,,,8,6.52,722,677.55,"£2,676,388","£7,494",,,"£530,254","£300,871","£3,515,007.69",,,£0.00,"£3,515,007.69",
