Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,46,44.85,389,380.11,1172,1145.16,1109,1074.56,241,233.23,22,21.97,2979,2899.88,118,117.95,,,109,109,4,4,231,230.95,3210,3130.83,"£11,296,863","£44,859","£54,109","£214,061","£3,077,228","£1,343,574","£16,030,693.94","£16,510,067",,"£16,510,067.00","£32,540,760.94",
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,217,199.98,432,415.26,1946,1875.3,502,489.17,155,142.08,26,12,3278,3133.79,11,11,9,9,5,5,2,2,27,27,3305,3160.79,"£11,385,694","£85,055",0,"£10,493","£1,442,413","£1,183,812","£14,107,467.00",220257.34,,"£220,257.34","£14,327,724.34",
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,11,11,368,351.3,762,735.6,1244,1205.1,185,177.3,,,2570,2480.3,353,290.5,232,191.6,1,0.6,,,586,482.7,3156,2963,"£10,741,509","£639,297",,"£6,810","£1,917,242","£1,259,335","£14,564,192.11",3854948.3,,"£3,854,948.30","£18,419,140.41",
Health Education England,Special Health Authority,Department of Health,91,84,738,689.57,703,668.27,642,610.02,1007,380.75,0,0,3181,2432.61,,,,,,,,,0,0,3181,2432.61,"£9,933,102",5041.64,,£76,"£1,217,763","£1,016,428","£12,172,411.74","£178,206",,"£178,205.64","£12,350,617.38",
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,1,1,86,82.07,88,83.81,39,37.45,6,5.8,,,220,210.13,1,0.75,5,4.28,,,,,6,5.03,226,215.16,"£682,641",,,£0,"£87,566","£66,725","£836,931.72",,,£0.00,"£836,931.72",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,19,18.2,35,34.4,9,8.5,4,3.5,0,0,67,64.6,1,1,0,0,5,5,0,0,6,6,73,70.6,"£242,933",,,,"£67,760","£28,142","£338,835.00",,,£0.00,"£338,835.00",The HFEA currently has 1 vacancy
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,1,1,5,5,30,29.41,10,10,3,3,,,49,48.41,,,,,,,,,0,0,49,48.41,204718.87,0,0,0,26740.63,23317.57,"£254,777.07","£11,056",,"£11,056.04","£265,833.11",
Medicines & Healthcare products Regulatory Agency,Executive Agency,Department of Health,50,49.61,200,193.57,483,473.7,417,399.72,164,147.07,0,0,1314,1263.67,36,36,6,6,16,14.39,0,0,58,56.39,1372,1320.06,"£5,277,154","£15,544",4360,"£18,248","£1,401,576","£588,358","£7,305,239.79","£2,208,992",0,"£2,208,992.20","£9,514,231.99",
Monitor,Executive Non-Departmental Public Body,Department of Health,7,7,5,4.8,20,18.89459,57,56.08889,28,26.84444,0,0,117,113.62792,,,,,,,,,0,0,117,113.62792,"£768,832",119.71,0,0,"£208,954","£95,206","£1,073,111.38",,,£0.00,"£1,073,111.38",
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,17,15.88,94,89.7,278,262.93,258,242.34,65,62.28,2,1.4,714,674.53,6,5.81,,,1,0.67,,,7,6.48,721,681.01,"£2,673,228","£7,518",,,"£530,273","£299,573","£3,510,592.10","£63,049",,"£63,048.72","£3,573,640.82",
