Year,Month,Organisation name,Organisation type,"Main, parent or sponsoring department:",Payroll staff; AO/AA; Headcount,Payroll staff; AO/AA; Full-time equivalent,Payroll staff; EO; Headcount,Payroll staff; EO; Full-time equivalent,Payroll staff; SEO/HEO; Headcount,Payroll staff; SEO/HEO; Full-time equivalent,Payroll staff; Grade 6/7; Headcount,Payroll staff; Grade 6/7; Full-time equivalent,Payroll staff; SCS; Headcount,Payroll staff; SCS; Full-time equivalent,"Payroll staff; Other, unknown, unspecified; Headcount","Payroll staff; Other, unknown, unspecified; Full-time equivalent",Payroll staff; Total employees; Headcount,Payroll staff; Total employees; Full-time equivalent,Non-payroll staff; Agency staff (Admin and Clerical); Headcount,Non-payroll staff; Agency staff (Admin and Clerical); Full-time equivalent,Non-payroll staff; Interim Managers & Specialist Contractors & Medical; Headcount,Non-payroll staff; Interim Managers & Specialist Contractors & Medical; Full-time equivalent,Non-payroll staff; Other Contingent labour; Headcount,Non-payroll staff; Other Contingent labour; Full-time equivalent,Non-payroll staff; Total Contingent labour; Headcount,Non-payroll staff; Total Contingent labour; Full-time equivalent,Non-payroll staff; Consultancy; Number of Contracts,Grand Total (workforce numbers); Headcount,Grand Total (workforce numbers); Full-time equivalent,Payroll staff costs; Salary,Payroll staff costs; Allowances,Payroll staff costs; Non-consolidated performance payments,Payroll staff costs; Overtime,Payroll staff costs; Employer pension contributions,Payroll staff costs; Employer national insurance contributions,Payroll staff costs; Total paybill,Non-Payroll staff costs; Contingent labour,Non-Payroll staff costs; Consultancy,Non-Payroll staff costs; Total staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
2022,September,Department for Communities and Local Government,Ministerial Department,"Department for Levelling Up, Housing and Communities",64,61,317,309,1458,1428,1459,1423,184,177,5,5,"3,487","3,403.00",2,2,69,69,0,0,71,71,39,"3,597","3,513.00","£12,009,476.67","£405,223.18",-£900.00,"£31,653.59","£3,456,407.76","£1,556,653.65","£17,458,514.85","£671,806.00","£472,610.00","£1,144,416.00","£18,602,930.85"
2022,September,Planning Inspectorate,Executive Agency,"Department for Levelling Up, Housing and Communities",143,131,96,88.9,147,138.1,451,403.2,6,5.8,0,0,843,766.9,28,28,72,32.2,0,0,100,60.2,0,943,827.1,"£2,771,775.85","£58,305.34",£0.00,"£8,880.59","£768,408.80","£327,968.35","£3,935,338.93","£283,466.73",£0.00,"£283,466.73","£4,218,805.66"
2022,September,Queen Elizabeth II Conference Centre,Executive Agency,"Department for Levelling Up, Housing and Communities",2,2,11,10.78,25,24.62,3,3,1,1,0,0,42,41.4,5,5,0,0,0,0,5,5,1,48,47.4,"£145,326.64",£247.00,£0.00,"£2,377.20","£35,960.84","£16,824.36","£200,736.04","£19,840.29",£513.00,"£20,353.29","£221,089.33"
2022,September,Homes and Communities Agency,Executive Non-Departmental Public Body,"Department for Levelling Up, Housing and Communities",0,0,261,256.55,794,777.95,188,186.8,34,33.6,0,0,"1,277","1,254.90",74,74,2,2,62,60.952,138,137,0,"1,415","1,391.90","£5,420,801.65","£371,920.72","£1,440.00","£2,760.71","£1,524,218.53","£714,714.96","£8,035,856.57","£1,650,015.87",£0.00,"£1,650,015.87","£9,685,872.44"
2022,September,Housing Ombudsman Service,Executive Non-Departmental Public Body,"Department for Levelling Up, Housing and Communities",0,0,0,0,0,0,0,0,0,0,130,128,130,128,4,4,0,0,0,0,4,4,0,134,132,"£552,153.12",£0.00,£0.00,"£14,708.89","£148,607.27","£71,320.99","£786,790.27","£77,800.00",£0.00,"£77,800.00","£864,590.27"
2022,September,Leasehold Advisory Service,Executive Non-Departmental Public Body,"Department for Levelling Up, Housing and Communities",4,2.6,1,1,18,16.1,0,0,1,1,0,0,24,20.7,0,0,0,0,0,0,0,0,0,24,20.7,"£80,351.81",0,0,0,"£9,425.67","£9,454.64","£99,232.12",0,0,£0.00,"£99,232.12"
2022,September,Valuation Tribunal Service,Executive Non-Departmental Public Body,"Department for Levelling Up, Housing and Communities",11,10.8,6,6,30,29.52,4,4,3,3,0,0,54,53.3,0,0,0,0,0,0,0,0,0,54,53.3,"£172,565.69",£788.47,0,0,"£27,588.24","£19,878.89","£220,821.29",0,0,£0.00,"£220,821.29"
2022,September,Regulator of Social Housing,Executive Non-Departmental Public Body,"Department for Levelling Up, Housing and Communities",13,12.91,63,61.41,60,59.4,60,59.4,8,8,0,0,204,201.1,0,0,0,0,0,0,0,0,0,204,201.1,"£971,783.17","£35,233.77","£63,677.00",£0.00,"£274,407.79","£127,468.16","£1,472,569.89",£0.00,£0.00,£0.00,"£1,472,569.89"
