Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll staff Agency staff (clerical/admin) Headcount,Non-payroll staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll staff Intermin managers Headcount,Non-payroll staff Interim managers Full-time Equivalent,Non-payroll staff Specialist Contractors Headcount,Non-payroll staff Specialist Contractors Full-time Equivalent,Non-payroll staff Consultants/consultancy Headcount,Non-payroll staff Consultants/consultancy Full-time Equivalent,Non-payroll staff Total Employees Headcount,Non-payroll staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,"Non-payroll staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll staff Total cost of consultants/consultancy,Non-payroll staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,239,228.15724,725,706.61633,2201,2149.65842,1113,1079.7183,148,141.95813,38,37.28649,4464,4343.39491,23,27,6,6,189,186.32,2,0.4,220,219.72,4684,4563.11491,13768443.04,479481.93,228917,96358.32,4002991.36,1639233.36,20215425.01,3265772.28,183959.07,3449731.35,23665156.36,None
Criminal Injuries Compensation Authority,Executive Agency,Ministry of Justice,129,116.96598,88,84.06163,78,75.60269,12,9.24324,2,2,0,0,309,287.87354,0,0,0,0,0,0,0,0,0,0,309,287.87354,768339.49,0,0,0,0,0,768339.49,0,0,0,768339.49,None
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,10068,8743.56825,2563,2398.46574,2475,2302.97958,622,606.32827,81,80.2973,1,0.86486,15810,14132.504,0,2227.76,0,0,0,39.87,0,0,0,2267.63,15810,16400.134,29648745.73,410862.61,334625,782537.94,7995651.76,2847446.8,42019869.84,7023875.05,-433063.88,6590811.17,48610681.01,None
Legal Aid Agency,Executive Agency,Ministry of Justice,464,429.12533,330,308.50633,296,285.20121,87,86.45195,14,12.07223,0,0,1191,1121.35705,40,38.72,0,0,0,0,0,0,40,38.72,1231,1160.07705,3107920.81,17135.22,51219.5,42796.37,677841.49,262162.62,4159076.01,85083.95,0,85083.95,4244159.96,None
Her Majesty’s Prison & Probation Service,Executive Agency,Ministry of Justice,28703,27278.02158,6087,5849.68211,6137,5857.4748,695,678.08724,67,65.82792,10869,9993.05472,52558,49722.14837,1291.22,1291.22,6,6,1.4,1.4,2,2,1300.62,1300.62,53858.62,51022.76837,112790705.2,13535391.65,347815.87,6246305.12,33537681.22,13527206.69,179985105.7,3922969.52,437281.14,4360250.66,184345356.4,None
The Office of the Public Guardian,Executive Agency,Ministry of Justice,906,827.41599,397,378.93621,175,166.45972,20,20,4,4,0,0,1502,1396.81192,176,162.9,0,0,0,0,0,0,176,162.9,1678,1559.71192,2396461.52,46323.18,63539.68,27653.07,635375.72,218898.68,3388251.85,194394.39,0,194394.39,3582646.24,None
Children and Family Court Advisory and Support Services,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,2010,1825.32,2010,1825.32,58,58,1,1,0,0,0,0,59,59,2069,1884.32,7965611.6,0,0,0,0,0,7965611.6,470354.52,0,470354.52,8435966.12,None
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,90,83.37,90,83.37,0,0,0,0,0,0,0,0,0,0,90,83.37,377038,0,2125,0,0,0,379163,0,0,0,379163,The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,3,2.8,18,17.2,43,42.4,8,7.6,1,1,1,0.4,74,71.4,2,2,0,0,4,4,1,0.1,7,6.1,81,77.5,237158.56,2939.49,4870,27.9,55216.28,24452.46,324664.69,27926.75,148,28074.75,352739.44,None
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,35,31.37,35,31.37,0,0,0,0,0,0,0,0,0,0,35,31.37,229524,0,0,0,0,0,229524,0,7257,7257,236781,None
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,8,8.1,88,84.2,38,36.8,8,7.5,1,1,0,0,143,137.6,3,3,0,0,0,0,1,0.6,4,3.6,147,141.2,356282.35,3176.6,5775,413.15,83936.46,38144.73,487728.29,22016.59,0,22016.59,509744.88,None
Youth Justice Board for England and Wales,Executive Non-Departmental Public Body,Ministry of Justice,4,3.1,13,12.4,45,43.97,32,30.98,2,2,0,0,96,92.45,5,4.2,0,0,0,0,0,0,5,4.2,101,96.65,360458.63,6616.06,1100,0,64278.68,25816.31,458269.68,10792.6,0,10792.6,469062.28,None
