Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll staff Agency staff (clerical/admin) Headcount,Non-payroll staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll staff Intermin managers Headcount,Non-payroll staff Interim managers Full-time Equivalent,Non-payroll staff Specialist Contractors Headcount,Non-payroll staff Specialist Contractors Full-time Equivalent,Non-payroll staff Consultants/consultancy Headcount,Non-payroll staff Consultants/consultancy Full-time Equivalent,Non-payroll staff Total Employees Headcount,Non-payroll staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,"Non-payroll staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll staff Total cost of consultants/consultancy,Non-payroll staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,245,234.48697,730,711.41641,2338,2286.84029,1260,1224.98213,151,144.72419,26,26,4750,4628.44999,13,13,22,22,159,154.18,2,0.4,196,189.58,4946,4818.02999,15781627.33,496586.95,264393.5,142094.41,4748162.02,2701783.93,24134648.14,2104351.18,321690.31,2426041.49,26560689.63,None
Criminal Injuries Compensation Authority,Executive Agency,Ministry of Justice,130,117.74165,78,73.31839,72,69.38648,16,10.75677,2,2,0,0,298,273.20329,0,0,0,0,0,0,0,0,0,0,298,273.20329,1586721.16,0,0,0,0,0,1586721.16,0,0,0,1586721.16,None
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,10088,8780.49547,2538,2376.67417,2504,2337.48696,625,608.78991,80,78.83784,1,0.86486,15836,14183.14921,0,1954.139758,0,0,0,26.36059744,0,0,0,1980.500356,15836,16163.64957,30014762.44,398078.86,37096.33,635925.23,8044684.94,2817044.14,41947591.94,12575246.68,98972.7,12674219.38,54621811.32,None
Legal Aid Agency,Executive Agency,Ministry of Justice,476,439.93899,322,300.92002,288,276.39896,94,93.12763,11,9.65001,0,0,1191,1120.03561,22,20.59,0,0,0,0,0,0,22,20.59,1213,1140.62561,3125721.7,12329.03,10675,45562.58,692532.33,264372.36,4151193,49276.79,0,49276.79,4200469.79,None
Her Majesty’s Prison & Probation Service,Executive Agency,Ministry of Justice,28414,26938.6359,6163,5907.23667,6352,6058.99407,732,715.87376,77,76.0184,11371,10455.25993,53109,50152.01873,993.34,993.34,8,8,1.4,1.4,1,1,1003.74,1003.74,54112.74,51155.75873,121092975,13214600.02,8529203.15,12424847.65,33926172.27,16051273.61,205239071.7,4359106.47,2085894.32,6445000.79,211684072.5,None
The Office of the Public Guardian,Executive Agency,Ministry of Justice,932,847.1087,401,381.3997,184,173.63269,18,18,5,5,0,0,1540,1425.14109,144,132.3,0,0,0,0,0,0,144,132.3,1684,1557.44109,2599569.12,72459.18,-9925.88,35645.68,660105.84,235492.26,3593346.2,420887.76,0,420887.76,4014233.96,None
Children and Family Court Advisory and Support Services,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,2017,1853.48,2017,1853.48,47,47,0,0,2,2,0,0,49,49,2066,1902.48,16305913.31,0,0,0,0,0,16305913.31,722896.83,0,722896.83,17028810.14,None
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,95,89.69,95,89.69,0,0,0,0,0,0,0,0,0,0,95,89.69,877576,0,100,0,0,0,877676,0,0,0,877676,The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,3,2.8,17,16.2,44,43.6,8,7.6,0,0,1,0.4,73,70.6,3,3,0,0,8,8,1,0.1,12,11.1,85,81.7,390166.43,2460.23,19417.5,3156.67,55885.52,26512.29,497598.64,173529.2,10232,183761.2,681359.84,None
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,35,32.53,35,32.53,0,0,0,0,0,0,0,0,0,0,35,32.53,466168,0,0,0,0,0,466168,0,1410,1410,467578,None
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,10,9.1,94,91.2,39,37.8,8,7.4,1,1,0,0,152,146.5,2,2,0,0,0,0,1,0.6,3,2.6,155,149.1,401120.03,3692.18,4805,1489.68,97177.71,42430.13,550714.73,12228.79,600,12828.79,563543.52,None
Youth Justice Board for England and Wales,Executive Non-Departmental Public Body,Ministry of Justice,3,2.1,13,12.4,41,39.97,34,33.38,2,2,0,0,93,89.85,3,3,0,0,0,0,0,0,3,3,96,92.85,306642.54,4483.27,1358,0,86276.68,38470.51,437231,8591.47,0,8591.47,445822.47,None
