Year,Month,Organisation Name,Organisation Type,"Main , parent or sponsoring department",Payroll Staff; AO/AA; Headcount,Payroll Staff; AO/AA; Full-Time Equivalent,Payroll Staff; EO; Headcount,Payroll Staff; EO; Full-Time Equivalent,Payroll Staff; SEO/HEO; Headcount,Payroll Staff; SEO/HEO; Full-Time Equivalent,Payroll Staff; Grade 6/7; Headcount,Payroll Staff; Grade 6/7; Full-Time Equivalent,Payroll Staff; SCS; Headcount,Payroll Staff; SCS; Full-Time Equivalent,"Payroll Staff; Other, unknown, unspecified; Headcount","Payroll Staff; Other, unknown, unspecified; Full-Time Equivalent","Payroll Staff, Total; Headcount","Payroll Staff, Total; Full-Time Equivalent","Non-payroll staff, Admin and Clerical; Headcount","Non-payroll staff, Admin and Clerical; Full-Time Equivalent","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Headcount","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Full-Time Equivalent","Non-payroll staff, Other Contingent Labour; Headcount","Non-payroll staff, Other Contingent Labour; Full-Time Equivalent","Non-payroll staff, Total Contingent labour, Headcount","Non-payroll staff, Total Contingent labour, Full-Time Equivalent","Non-payroll staff, Consultancy; Number of Contracts",Grand Total (workforce numbers); Headcount,Grand Total (workforce numbers); Full-Time Equivalent,Payroll staff costs; Salary,Payroll staff costs; Allowances,Payroll staff costs; Non-Consolidated performance payments,Payroll staff costs; Overtime,Payroll staff costs; Employer Pension Contributions,Payroll staff costs; Employer National Insurance contributions,Payroll staff costs; Total paybill,Non-Payroll staff costs; Contingent labour,Non-Payroll staff costs; Consultancy,Non-Payroll staff costs; Total staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
2024,April,Department for Energy Security & Net Zero (DESNZ),Ministerial Department,Department for Energy Security & Net Zero (DESNZ),29,28.6,211,202.89,1897,1869.87,2050,2007.15,210,201.11,0,0,4397,4309.62,0,0,96,73.14,0,0,96,73.14,17,4493,4382.76,19684094.78,788495.53,733240,56025.44,5692131.25,2511444.8,29465431.8,132690.58,2830507,2963197.58,32428629.38,
2024,April,Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,Department for Energy Security & Net Zero (DESNZ),1427,1393.924508,188,181.61945,33,32.41,0,0,0,0,0,0,1648,1607.953958,0,0,4,0,0,0,4,0,0,1652,1607.953958,5660013.44,133005.24,0,881357.86,1153274.21,778036.64,8605687.39,0,0,0,8605687.39,
2024,April,Coal Authority,Executive non-departmental public body,Department for Energy Security & Net Zero (DESNZ),10,9,26,25.4,244,232.2,103,100.2,3,3,0,0,386,369.8,5,4.6,0,0,0,0,5,4.6,0,391,374.4,1316738.08,17165.1,2106.36,1301.06,380608.94,146146.13,1864065.67,74735.23,0,74735.23,1938800.9,
2024,April,Committee on Climate Change (CCC),Executive non-departmental public body,Department for Energy Security & Net Zero (DESNZ),0,0,0,0,16,15.9,35,33.01,4,247.9,0,0,55,296.81,0,0,4,3.72,0,0,4,3.72,0,59,300.53,245705,0,0,0,68930,37776,352411,0,0,0,352411,
2024,April,Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,Department for Energy Security & Net Zero (DESNZ),0,0,0,0,0,0,0,0,0,0,364,355.23,364,355.23,0,0,0,0,56,56,56,56,0,420,411.23,2401845.39,107759.84,0,0,651776.25,307577.4,3468958.88,693922.31,0,693922.31,4162881.19,
2024,April,UKAEA,Executive non-departmental public body,Department for Energy Security & Net Zero (DESNZ),61,56.62,274,270.35,1026,1007.23,476,460.77,29,28.41,92,91.41,1958,1914.79,0,0,0,0,519,598,519,598,0,2477,2512.79,8460111.91,13725.81,504426.69,82949.05,1635795.34,1065907.57,11762916.37,2298872.98,0,2298872.98,14061789.35,
2024,April,North Sea Transitory Authority (NSTA),Executive non-departmental public body,Department for Energy Security & Net Zero (DESNZ),1,1,9,9,108,103.6,101,98.15,8,8,0,0,227,219.75,1,1,1,0.6,0,0,2,1.6,0,229,221.35,1323824.23,14747.99,3200,300.83,381646.52,161191.24,1884910.81,27526.38,0,27526.38,1912437.19,
