Year,Month,Organisation Name,Organisation Type,"Main , parent or sponsoring department",Payroll Staff; AO/AA; Headcount,Payroll Staff; AO/AA; Full-Time Equivalent,Payroll Staff; EO; Headcount,Payroll Staff; EO; Full-Time Equivalent,Payroll Staff; SEO/HEO; Headcount,Payroll Staff; SEO/HEO; Full-Time Equivalent,Payroll Staff; Grade 6/7; Headcount,Payroll Staff; Grade 6/7; Full-Time Equivalent,Payroll Staff; SCS; Headcount,Payroll Staff; SCS; Full-Time Equivalent,"Payroll Staff; Other, unknown, unspecified; Headcount","Payroll Staff; Other, unknown, unspecified; Full-Time Equivalent","Payroll Staff, Total; Headcount","Payroll Staff, Total; Full-Time Equivalent","Non-payroll staff, Admin and Clerical; Headcount","Non-payroll staff, Admin and Clerical; Full-Time Equivalent","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Headcount","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Full-Time Equivalent","Non-payroll staff, Other Contingent Labour; Headcount","Non-payroll staff, Other Contingent Labour; Full-Time Equivalent","Non-payroll staff, Total Contingent labour, Headcount","Non-payroll staff, Total Contingent labour, Full-Time Equivalent","Non-payroll staff, Consultancy; Number of Contracts",Grand Total (workforce numbers); Headcount,Grand Total (workforce numbers); Full-Time Equivalent,Payroll staff costs; Salary,Payroll staff costs; Allowances,Payroll staff costs; Non-Consolidated performance payments,Payroll staff costs; Overtime,Payroll staff costs; Employer Pension Contributions,Payroll staff costs; Employer National Insurance contributions,Payroll staff costs; Total paybill,Non-Payroll staff costs; Contingent labour,Non-Payroll staff costs; Consultancy,Non-Payroll staff costs; Total staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,
2023,April,"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",60,58.9,378,368.18,2657,2623.15,2932,2858.9,338,322.21,0,0,6365,6231.34,5,5,258,233.6,0,0,263,238.6,1,6628,6469.9,26897375.16,893320.48,325825,68954.61,7017190.17,3118284.22,38320949.64,21119.91,-58517.64,-37397.73,38283551.91,
2023,April,Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",46,39.47,291,269.82,596,547.26,45,43.81,7,7,0,0,985,907.36,3,3,28,28,0,0,31,31,0,1016,938.4,2532073.92,19215.75,0,4655.58,683608.53,253732.24,3493286.02,0,0,0,3493286.02,
2023,April,Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1375,1346.4,173,166.1,32,30.68,0,0,0,0,0,0,1580,1543.19,0,0,0,0,0,0,0,0,0,1580,1543.2,5152569,129610,0,708709,1042562,690199,7723649,0,0,0,7723649,
2023,April,Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",12,10.7,27,26.2,199,192.4,90,88.1,3,3,0,0,331,320.4,10,8.5,0,0,0,0,10,8.5,0,341,328.9,1096829.83,19604.01,2695.75,684.4,299003.91,120888.72,1539706.62,83306,0,83306,1623012.62,
2023,April,Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,1,1,14,13.9,29,27.25,4,4,0,0,48,46.15,0,0,0,0,6,0,6,0,0,54,46.2,93599,0,0,0,58192,28392,180183,37331,0,37331,217514,
2023,April,Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",411,362.29,303,285.97,390,376.02,108,105.76,7,7,0,0,1219,1137.04,17,17,77,77,0,0,94,94,0,1313,1231,3106795.31,123218.65,0,48739.96,850308.61,326667.02,4455729.55,858563.8,0,858563.8,5314293.35,
2023,April,Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",6,6,1,1,4,3.9,10,10,0,0,1,1,22,21.9,0,0,0,0,0,0,0,0,3,22,21.9,93739.64,216.66,0,0,26157.94,10647.58,130761.82,0,6107.14,6107.14,136868.96,
2023,April,HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1668,1559.83,2433,2169.6,2307,2075.01,321,303.71,29,28.53,0,0,6758,6136.68,0,0,226,226,0,0,226,226,4,6984,6362.7,17199569.95,300351.59,433.49,2212216.1,4484336.27,4208937.45,28405844.85,409287.73,-9841,399446.73,28805291.58,
2023,April,Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",484,447.11,190,180.46,811,777.79,156,151.25,12,12,0,0,1653,1568.6,81,81,64,64,0,0,145,145,0,1798,1713.6,4607764.56,27957.11,61800,42396.85,1255388.71,493956.82,6489264.05,1156181.02,0,1156181.02,7645445.07,
2023,April,UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",203,183.53,443,413.93,608,582.85,418,395.14,24,23.7,0,0,1696,1599.15,0,0,0,0,0,0,0,0,0,1696,1599.2,5388194,205491,67651,54660,1513072,611786,7840854,606028,0,606028,8446882,
