Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll staff Agency staff (clerical/admin) Headcount,Non-payroll staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll staff Intermin managers Headcount,Non-payroll staff Interim managers Full-time Equivalent,Non-payroll staff Specialist Contractors Headcount,Non-payroll staff Specialist Contractors Full-time Equivalent,Non-payroll staff Consultants/consultancy Headcount,Non-payroll staff Consultants/consultancy Full-time Equivalent,Non-payroll staff Total Employees Headcount,Non-payroll staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,"Non-payroll staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll staff Total cost of consultants/consultancy,Non-payroll staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,317,302.98968,784,762.224,2487,2427.35356,1322,1285.41863,152,146.54822,30,30,5092,4954.53409,12,12,5,5,180,175.98,2,0.4,199,193.38,5291,5147.91409,14717841.21,675067.3,461726.5,130732.36,4923590.06,2199796.57,23108754,2823241.63,30336.06,2853577.69,25962331.69,None
Criminal Injuries Compensation Authority,Executive Agency,Ministry of Justice,128,116.20111,79,73.9265,88,85.52162,19,13.78379,2,2,0,0,316,291.43302,0,0,0,0,0,0,0,0,0,0,316,291.43302,821579.78,0,0,0,0,0,821579.78,0,0,0,821579.78,None
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,10153,8866.51242,2538,2380.48546,2540,2372.27519,633,617.62505,75,73.97298,2,2,15941,14312.8711,0,1898.11,0,0,0,59.01,0,0,0,1957.12,15941,16269.9911,30680856.66,437402.4,241211.5,757807.63,8346829.91,2919124.34,43383232.44,5714228.28,-15278,5698950.28,49082182.72,None
Legal Aid Agency,Executive Agency,Ministry of Justice,467,431.19434,321,298.73709,293,281.39896,92,91.07358,11,9.65001,0,0,1184,1112.05398,20,18.59,0,0,0,0,0,0,20,18.59,1204,1130.64398,3086207.67,12449.09,23025,22556.13,681929.87,265160.56,4091328.32,48838.43,-81333.32,-32494.89,4058833.43,None
Her Majesty’s Prison & Probation Service,Executive Agency,Ministry of Justice,28493,26993.52783,6140,5885.91778,6273,5981.13482,748,730.19507,76,74.5184,11743,10824.31887,53473,50489.61277,952.81,952.81,1,1,1.4,1.4,1,1,956.21,956.21,54429.21,51445.82277,121183172.7,13163609.68,519517.44,6600755.21,33891583.8,13198670.61,188557309.4,3720399.08,320010.87,4040409.95,192597719.3,None
The Office of the Public Guardian,Executive Agency,Ministry of Justice,918,836.00168,396,377.43402,180,170.70296,20,20,5,5,0,0,1519,1409.13866,129,119,0,0,0,0,0,0,129,119,1648,1528.13866,2641924.66,65878.51,76536.68,2397.96,677672.46,235811.68,3700221.95,288241.13,0,288241.13,3988463.08,None
Children and Family Court Advisory and Support Services,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,2065,1896.837736,2065,1896.837736,40,40,0,0,2,2,0,0,42,42,2107,1938.837736,8396057.8,0,0,0,0,0,8396057.8,363763.45,0,363763.45,8759821.25,None
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,93,87.68,93,87.68,0,0,0,0,0,0,0,0,0,0,93,87.68,396206,0,620,0,0,0,396826,0,0,0,396826,The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,3,2.8,16,15.6,46,45.8,8,7.7,1,1,1,0.4,75,73.3,13,13,0,0,7,7,1,0.1,21,20.1,96,93.4,221648.97,5701.69,1300,1623.75,56874.69,25434.18,312583.28,113322.95,2032,115354.95,427938.23,None
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,37,33.69,37,33.69,0,0,0,0,0,0,0,0,0,0,37,33.69,228505,0,0,0,0,0,228505,0,705,705,229210,None
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,10,9.1,99,97.2,39,37.8,9,8.4,1,1,0,0,158,153.5,6,6,0,0,0,0,1,0.6,7,6.6,165,160.1,376570.44,3718.68,2075,3604.45,95140.92,40097.26,521206.75,13793.72,0,13793.72,535000.47,None
Youth Justice Board for England and Wales,Executive Non-Departmental Public Body,Ministry of Justice,3,2.1,13,12.4,41,39.97,35,34.38,2,2,0,0,94,90.85,3,3,0,0,0,0,0,0,3,3,97,93.85,278475.74,2747.13,2850,0,85904.78,38570.63,408548.28,7084.93,0,7084.93,415633.21,None
