Organisation name,Organisation type,"Main, parent or sponsoring department: ",Payroll staff,.,.,.,.,.,.,.,.,.,.,.,.,.,Number of non-payroll staff (contingent labour and consultants/consultancy),.,.,.,.,.,.,.,.,.,Grand Total (workforce numbers),.,Payroll staff costs,.,.,.,.,.,.,Non-Payroll staff (contingent labour/consultancy - CCL) costs,.,.,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes
.,.,.,Admin officers/admin assistants,.,Executive Officers,.,Higher Executive Officers/Senior Executive Officers,.,Grade 6/7,.,Senior Civil Service,.,"Other, unknown, or unspecified",.,Total Employees,.,Agency staff (clerical/admin),.,Interim managers,.,Specialist Contractors,.,Consultants/consultancy,.,Total,.,.,.,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions*,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Total cost of consultants/consultancy,Total non-payroll (CCL) staff costs,.,.
.,.,.,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,.,.,.,.,.,.,.,.,.,.,.,.
HM Land Registry,Non-Ministerial Department,"Department for Business, Energy and Industrial Strategy",1093,1053.3,2097,1819.24,1811,1639.07,231,214.26,21,20.84,0,0,5253,4746.71,0,0,22,22,0,0,0,0,22,22,5275,4768.71,"£11,282,019.66","£242,585.67","£4,260,458.00","£582,427.82","£2,360,272.30","£1,864,531.85","£20,592,295.30","£174,054.12","£18,140.09","£192,194.21","£20,784,489.51",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*includes apprenticeship levies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
