Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Transport ,Ministerial Department,Department for Transport,125,121.45,213,205.19,680,667.92,575,559.98,114,112.07,0,0,"1,707","1,667",1,1,22,21.97,15,15,0,0,38,37.97,"1,745","1,705","£6,459,191.16","£13,255.08","£1,324.34","£81,015.67","£1,347,674.87","£614,831.46","£8,517,292.58","£357,855.60","£412,072.20","£769,927.80","£9,287,220.38",
Driving Standards Agency,Executive Agency,Department for Transport,359,305.5,1917,1795.4,253,247.2,52,52,3,3,0,0,"2,584","2,403",0,0,0,0,0,0,0,0,0,0,"2,584","2,403","£4,816,117.69","£270,317.67",,"£395,978.39","£969,243.21","£430,528.49","£6,882,185.45",,"£3,129.95","£3,129.95","£6,885,315.40",
Driver & Vehicle Licensing Agency,Executive Agency,Department for Transport,4637,4143.7,938,890,663,649.9,130,125.7,8,8,0,0,"6,376","5,817",0,0,3,2.5,19,18.2,0,0,22,20.7,"6,398","5,838","£10,011,867.09","£105,411.27",£0.00,"£267,613.96","£1,813,547.96","£653,237.48","£12,851,677.76","£271,846.99",,"£271,846.99","£13,123,524.75",
Government Car & Despatch Agency,Executive Agency,Department for Transport,13,13,152,149,12,12,1,1,0,0,0,0,178,175,2,2,0,0,0,0,0,0,2,2,180,177,"£475,253.00","£32,709.00",£0.00,"£54,425.30","£79,767.28","£48,998.18","£691,152.76","£7,727.79",,"£7,727.79","£698,880.55",
Highways Agency,Executive Agency,Department for Transport,1586,1549.2,329,310.9,1307,1271.4,288,279,29,28.1,0,0,"3,539","3,439",0,0,0,0,14,14,0,0,14,14,"3,553","3,453","£8,037,220.10","£643,497.80","£57,240.56","£70,112.67","£1,602,888.87","£685,614.45","£11,096,574.45","£369,145.39",,"£369,145.39","£11,465,719.84",
Maritime & Coastguard Agency,Executive Agency,Department for Transport,477,445.6,235,228.8,298,281.2,111,109.1,5,4.5,0,0,"1,126","1,069",11,11,0,0,0,0,0,0,11,11,"1,137","1,080","£2,442,547.78","£220,666.33","£1,844.00","£154,978.63","£506,493.66","£220,320.51","£3,546,850.91","£19,336.45",,"£19,336.45","£3,566,187.36",
Vehicle Certification Agency,Executive Agency,Department for Transport,39,34,31,29.5,72,70.4,9,9,1,1,0,0,152,144,2,2,0,0,0,0,0,0,2,2,154,146,"£416,019.32","£16,747.15",,"£5,571.31","£75,256.87","£35,675.11","£549,269.76","£5,865.73",,"£5,865.73","£555,135.49",The overall FTE figure for this month has increased by 34 and the headcount has increased by 36 due to the inclusion of Traffic Commissioners and Deputy Traffic Commissioners.  
Vehicle & Operator Services Agency,Executive Agency,Department for Transport,1011,959.35,816,807.29,368,365.49,33,32.62,3,3,0,0,"2,231","2,168",67,64.89,0,0,0,0,0,0,67,64.89,"2,298","2,233","£4,668,642.06","£313,187.60","£19,600.05","£240,061.96","£921,947.50","£398,197.93","£6,561,637.10","£143,656.74",,"£143,656.74","£6,705,293.84",
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,1,1,5,4.5,1,1,2,2,0,0,9,9,0,0,0,0,1,1,0,0,1,1,10,10,"£31,883.00","£3,246.00",,,"£4,033.00","£3,131.00","£42,293.00","£4,560.00",,"£4,560.00","£46,853.00",
Directly Operated Railways Ltd,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,0,0,0,0,5,2.8,5,3,0,0,0,0,2,1.1,0,0,2,1.1,7,4,"£25,750.00",,,,"£4,061.67","£3,218.18","£33,029.85","£14,950.00",,"£14,950.00","£47,979.85",
