Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
"Business, Innovation and Skills (Core)",Ministerial Department,"Department for Business, Innovation and Skills",118,111.8,308,297.784,921,896.9,983,942.1,186,177.6,2,2,"2,518","2,428",35,35,3,3,47,47,20,20,105,105,"2,623","2,533","£8,831,058.84","£259,433.17","£648,500.00","£37,416.11","£1,944,193.91","£913,068.47","£12,633,670.50","£203,603.00","£253,105.00","£456,708.00","£13,090,378.50",,
"Business, Innovation and Skills (UKTI)",Non-Ministerial Department,"Department for Business, Innovation and Skills",39,37.3,84,83.1,247,243.9,172,170.3,23,22.1,3,3,568,560,21,21,1,1,84,84,16,16,122,122,690,682,"£2,031,143.52","£14,263.57","£33,880.00","£1,317.56","£368,412.43","£158,487.02","£2,607,504.10","£547,655.00",£0.00,"£547,655.00","£3,155,159.10",,
Advisory Conciliation and Arbitration Service,Crown Non Departmental Public Body,"Department for Business, Innovation and Skills",57,50.7,260,237.6,491,450,38,35.7,3,3,2,1.2,851,778,14,14,0,0,,,4,4,18,18,869,796,"£2,122,108.17","£17,998.17",,"£11,763.26","£426,775.45","£158,817.15","£2,737,462.20","£48,886.71","£61,340.75","£110,227.46","£2,847,689.66",,
Arts and Humanities Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",6,5.88,32,30.38,51,48.36,10,10,4,3.5,,,103,98,,,,,9,9,,,9,9,112,107,"£268,515.00","£4,861.00",,,"£68,206.00","£17,515.00","£359,097.00","£24,405.48",,"£24,405.48","£383,502.48",,
Biotechnology and Biological Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",189,169.86,299,280.28,670,630.95,188,173.58,42,39.88,,,"1,388","1,295",5,5,1,1,1,1,1,0.2,8,7.2,"1,396","1,302","£3,838,111.43","£68,345.53","£4,678.33","£38,172.56","£1,010,907.25","£329,557.50","£5,289,772.60","£13,931.90","£10,000.00","£23,931.90","£5,313,704.50",,
Companies House,Executive Agency,"Department for Business, Innovation and Skills",454,398,262,249,129,126,30,29,4,4,,,879,806,,,,,,,22,22,22,22,901,828,"£1,732,053.00","£33,244.00","£13,112.00","£83,996.00","£368,320.00","£129,678.00","£2,360,403.00",,"£206,712.00","£206,712.00","£2,567,115.00",,
Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",433,402.36,645,630.79,332,326.26,23,23,5,5,0,0,"1,438","1,387",51,41.86,0,0,51,43.64,6,1.53,108,87.03,"1,546","1,474","£3,529,285.16","£183,104.41","£1,315.00","£35,689.11","£466,254.91","£293,563.03","£4,509,211.62","£403,517.36","£9,116.05","£412,633.41","£4,921,845.03",,
Competition Service,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",3,3,2,1.888,6,5.6,3,3,1,1,,,15,14,,,,,1,1,,,1,1,16,15,"£52,407.58",,,,"£11,283.48","£4,537.96","£68,229.02",,,£0.00,"£68,229.02",,
