Year,Month,Organisation Name,Organisation Type,"Main , parent or sponsoring department",Payroll Staff; AO/AA; Headcount,Payroll Staff; AO/AA; Full-Time Equivalent,Payroll Staff; EO; Headcount,Payroll Staff; EO; Full-Time Equivalent,Payroll Staff; SEO/HEO; Headcount,Payroll Staff; SEO/HEO; Full-Time Equivalent,Payroll Staff; Grade 6/7; Headcount,Payroll Staff; Grade 6/7; Full-Time Equivalent,Payroll Staff; SCS; Headcount,Payroll Staff; SCS; Full-Time Equivalent,"Payroll Staff; Other, unknown, unspecified; Headcount","Payroll Staff; Other, unknown, unspecified; Full-Time Equivalent","Payroll Staff, Total; Headcount","Payroll Staff, Total; Full-Time Equivalent","Non-payroll staff, Admin and Clerical; Headcount","Non-payroll staff, Admin and Clerical; Full-Time Equivalent","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Headcount","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Full-Time Equivalent","Non-payroll staff, Other Contingent Labour; Headcount","Non-payroll staff, Other Contingent Labour; Full-Time Equivalent","Non-payroll staff, Total Contingent labour, Headcount","Non-payroll staff, Total Contingent labour, Full-Time Equivalent","Non-payroll staff, Consultancy; Number of Contracts",Grand Total (workforce numbers); Headcount,Grand Total (workforce numbers); Full-Time Equivalent,Payroll staff costs; Salary,Payroll staff costs; Allowances,Payroll staff costs; Non-Consolidated performance payments,Payroll staff costs; Overtime,Payroll staff costs; Employer Pension Contributions,Payroll staff costs; Employer National Insurance contributions,Payroll staff costs; Total paybill,Non-Payroll staff costs; Contingent labour,Non-Payroll staff costs; Consultancy,Non-Payroll staff costs; Total staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
2023,September,"Department for Science, Inovation &Technology (DSIT)",Ministerial Department,"Department for Science, Inovation &Technology (DSIT)",5,5,55,54.76,380,374.41,406,395.07,67,63.58,0,0,913,892.82,2,2,67,32.8,0,0,69,34.8,9,982,927.62,3662364.81,128797.36,114372.03,16028.29,1051681.58,455375.19,5428619.26,567329.63,516666.6667,1083996.297,6512615.557
2023,September,UK Intellectual Property Office,Executive Agency,"Department for Science, Inovation &Technology (DSIT)",180,161.75,428,400.03,622,598.15,441,416.72,24,23.35,0,0,1695,1600,55,54.61,35,35,0,0,90,89.61,8,1785,1689.61,5452040,217859,59033,168485,1564829,631207,8093453,0,0,0,8093453
2023,September,Met Office,Executive Agency,"Department for Science, Inovation &Technology (DSIT)",156,155.4108,231,224.287849,1302,1213.788019,660,618.598415,10,10,0,0,2359,2222.085083,1,1,0,0,0,0,1,1,0,2360,2223.085083,7360417.38,622676.04,0,0,1053023.14,2063320.99,11099437.55,891170.36,0,891170.36,11990607.91
2023,September,UK Space Agency,Executive Agency,"Department for Science, Inovation &Technology (DSIT)",1,1,9,9,131,129.1,141,139.7,10,9.6,0,0,292,288.4,0,0,42,42,0,0,42,42,1,334,330.4,1160724.88,43649.36,7740,0,325862.18,137687.81,1675664.23,407843.56,0,407843.56,2083507.79
2023,September,UKRI,Executive Non-Departmental Public Body,"Department for Science, Inovation &Technology (DSIT)",619,579.77,1086,1042.74,4334,4190.27,1594,1536.6,239,229.76,335,323,8207,7902.14,2,1,737,127.16,3,0,742,128.16,0,8949,8030.3,25984078.45,1279665.24,176750,170338.46,22462549.39,2939112.712,53012494.26,2983731.56,204365.84,3188097.4,56200591.66
2023,September,Building Digital UK - (BDUK),Executive Agency,"Department for Science, Inovation &Technology (DSIT)",1,1,22,22,103,102.6,150,148.2,11,11,0,0,287,284.8,0,0,8,8,0,0,8,8,5,295,292.8,1355957.83,32025.44,1700,920.93,257194.38,113129.92,1760928.5,195981.86,1198074,1394055.86,3154984.36
2023,September,Information Commissioner's Office (ICO),Executive Non-Departmental Public Body,"Department for Science, Inovation &Technology (DSIT)",25,21.5,189,172.6,549,522.4,271,262.3,32,31.3,9,2.7,1075,1012.8,5,5,15,15,0,0,20,20,7,1095,1032.8,3597363.8,11677.79,0,8990.09,986847.1,396760.36,5001639.14,92885,191397,284282,5285921.14
