Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,(£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
Science & Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",129,123,258,246,989,970,334,324,29,27,54,45,"1,793","1,735",11,10,1,1,8,8,,,20,19,"1,813","1,754","£5,076,251.00","£165,737.00",£900.00,"£123,182.00","£1,322,572.00","£439,594.00","7,128,236.00","£100,000.00",,"100,000.00","7,228,236.00",
Skills Funding Agency ,Executive Agency,"Department for Business, Innovation & Skills",95,90.73,413,398.91,565,552.01,167,165.93,44,43.45,1,0.95,"1,285","1,252",5,5,0,0,78,78,1,1,84,84,"1,369","1,336","£4,271,461.93","£131,081.44",,"£1,268.34","£869,262.26","£399,631.85","5,672,705.82","£781,737.00",,"781,737.00","6,454,442.82",
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1702,1588.2,691,663.45,102,99.3,13,13,8,8,7,0.96,"2,523","2,373",60,60,,,34,34,,,94,94,"2,617","2,467","£4,275,950.82","£170,611.38","£821,634.65","£226,112.64","£326,531.16","£451,068.20","6,271,908.85","£984,988.75","£13,500.00","998,488.75","7,270,397.60",
Technology Strategy Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,50,50,27,27,103,103,6,6,2,2,188,188,28,28,,,,,,,28,28,216,216,"£755,071.61","£122,892.66",,,"£184,673.66","£89,645.96","1,152,283.89","£247,334.12",,"247,334.12","1,399,618.01",
UK Commission for Employment & Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",27,27,15,14.6,53,50.9,7,7,6,6,,,108,106,,,,,3,2.2,2,2,5,4.2,113,110,"£328,491.50",,,,"£60,282.62","£28,532.26","417,306.38","£27,180.00",,"27,180.00","444,486.38",
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation & Skills",228,203.01,244,231.37,281,274.37,237,223.67,25,25,,,"1,015",957,25,25,,,31,31,,,56,56,"1,071","1,013","£2,528,045.00","£109,836.00","£21,958.00","£77,984.00","£521,836.00","£222,273.00","3,481,932.00","£230,351.00",,"230,351.00","3,712,283.00",
UK Space Agency,Executive Agency,"Department for Business, Innovation & Skills",,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",56,53.17,91,90.02,335,330.08,115,114.12,10,9.6,18,18,625,615,5,5,0,0,407,407,0,0,412,412,"1,037","1,027","£2,306,686.00",£0.00,"£127,607.00","£58,745.00","£329,420.00","£231,479.00","3,053,937.00","£1,391,906.00",£0.00,"1,391,906.00","4,445,843.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.
Ordnance Survey ,Non-Ministerial Department,"Department for Business, Innovation & Skills",35,30.78,553,540.74,453,443.9,138,135.68,5,4.6,3,0.73,"1,187","1,156",51,51,2,2,55,55,,,108,108,"1,295","1,264","£3,230,147.00","£91,426.00","£6,388.00","£23,759.00","£635,162.00","£272,978.00","4,259,860.00","£623,714.50",,"623,714.50","4,883,574.50",
Met Office,Non-Ministerial Department,"Department for Business, Innovation & Skills",,,,,,,,,2,2,2031,1954,"2,033","1,956",53,53,,,8,8,,,61,61,"2,094","2,017","£5,226,853.00","£357,161.00","£3,375.00","£167,749.00","£1,073,086.00","£450,277.00","7,278,501.00","£286,913.00",,"286,913.00","7,565,414.00",
