Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,143,138.97,394,387.10,662,645.70,949,928.23,240,234.70,175,170.83,"2,563","2,506",15,15,166,166,43,43,0,0,224,224,"2,787","2,730","£9,121,446.16","£405,369.25","£1,064,088.23","£89,504.66","£2,035,996.69","£1,241,429.53","£13,957,834.52","£1,304,629.08","487,612.41","£1,792,241.49","£15,750,076.01"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,3,3.00,6,5.60,3,3.00,0,0.00,0,0.00,13,12,0,0,0,0,0,0,0,0,0,0,13,12,"£37,114.74",£250.00,£0.00,£0.00,"£7,967.58","£3,943.61","£49,275.93",£0.00,£0.00,£0.00,"£49,275.93"
Crown Commercial Services,Executive Agency,Cabinet Office,24,21.74,115,109.77,331,319.85,199,193.69,64,59.81,0,0.00,733,705,4,4,61,61,0,0,0,0,65,65,798,770,"£2,541,513.23","£6,579.40",£0.00,£863.06,"£517,725.00","£282,800.90","£3,349,481.59","£406,290.14","£101,021.00","£507,311.14","£3,856,792.73"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,101,95.00,452,414.00,244,229.00,74,72.00,18,18.00,0,0.00,889,828,17,17,0,0,2,0.5,0,0,19,17.5,908,846,"£1,991,761.02","£30,158.54","£14,000.00","£11,732.68","£401,065.35","£199,149.33","£2,647,866.92","£51,825.90",£0.00,"£51,825.90","£2,699,692.82"
