Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,309,291.62,533,518.81,1053,1028.83,1607,1577.23,378,369.42,2316,2305.78,"6,196","6,092",1,1,41,39.5,133,132.2,0,0,175,172.7,"6,371","6,264","£21,955,567.09","£739,926.99","£768,820.44","£192,740.05","£4,602,008.71","£2,680,262.94","£30,939,326.22","£5,572,360.64",£0.00,"£5,572,360.64","£36,511,686.86"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,4,4.00,7,6.80,5,4.80,0,0.00,1,1.00,18,17,0,0,0,0,0,0,0,0,0,0,18,17,"£59,465.75",£166.67,£0.00,£0.00,"£13,036.09","£6,485.50","£79,154.01",£0.00,£0.00,£0.00,"£79,154.01"
Crown Commercial Services,Executive Agency,Cabinet Office,25,24.07,90,85.45,295,284.46,182,174.01,23,21.00,0,0.00,615,589,27,27,0,0,0,0,0,0,27,27,642,616,"£1,987,479.82","£55,625.05","£310,750.00",£71.55,"£420,512.09","£261,376.54","£3,035,815.05","£274,356.74","£226,767.61","£501,124.35","£3,536,939.40"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,86,80.00,446,412.00,249,235.00,78,77.00,16,16.00,0,0.00,875,820,9,9,0,0,7,6,0,0,16,15,891,835,"£2,105,020.80","£32,262.40",£0.00,"£4,569.62","£429,802.65","£208,604.61","£2,780,260.08","£73,480.34",£0.00,"£73,480.34","£2,853,740.42"
Government Property Agency,Executive Agency,Cabinet Office,1,1.00,18,17.44,29,28.28,53,52.39,7,7.00,0,0.00,108,106,0,0,0,0,5,5,0,0,5,5,113,111,"£408,453.00","£9,946.00","£5,750.00",£0.00,"£90,894.00","£48,066.00","£563,109.00","£69,684.36",£0.00,"£69,684.36","£632,793.36"
