Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,554,516.01,813,788.75,1943,1906.42,2639,2590.19,463,454.91,2810,2796.03,"9,222","9,052",42,42,136,136,304,304,482,482,"9,704","9,534","£35,988,629.98","£1,353,103.38","£4,082,245.66","£548,451.94","£9,174,054.72","£4,863,291.30","£56,009,776.98","£9,461,290.00","£65,471,066.98",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.6,8,8,2,1.8,7,6.93,0,0,1,1,19,18,0,0,0,0,0,0,0,0,19,18,"£63,862.12","£6,704.39",£0.00,£0.00,"£20,231.63","£7,918.27","£98,716.41",£0.00,"£98,716.41",
Crown Commercial Services,Executive Agency,Cabinet Office,24,23,102,97.83,421,403,188,178.8,23,23,0,0,758,726,0,0,63,63,0,0,63,63,821,789,"£2,293,163.20","£44,224.06",£862.04,£421.03,"£616,867.41","£247,076.64","£3,202,614.38","£637,177.44","£3,839,791.82",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,21,20,464,429,249,236,69,68,17,16,0,0,820,769,39,28,0,0,8,8,47,36,867,805,"£2,377,073.92","£41,315.59",£0.00,£999.96,"£605,917.69","£250,229.82","£3,275,536.98","£131,593.77","£3,407,130.75",
Government Property Agency,Executive Agency,Cabinet Office,3,2.57,16,15.29,72,70.34,99,97.74,18,18,0,0,208,204,23,23,0,0,0,0,23,23,231,227,"£891,920.00","£34,223.00","£68,691.00",£6.00,"£248,966.00","£116,732.00","£1,360,538.00","£300,864.86","£1,661,402.86",
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,1,1,13,12.6,120,115,64,60,13,13,0,0,211,202,0,0,0,0,0,0,0,0,211,202,"£712,434.00","£12,671.00",£0.00,£135.40,"£205,458.00","£160,633.00","£1,091,331.40",£0.00,"£1,091,331.40",
