Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,581,539.93,753,730.4,1831,1795.32,2487,2438.1,432,425.1,2340,2324.73,"8,424","8,254",22,20.57,327,325.29,222,221.81,571,567.67,"8,995","8,821","£31,107,352.46","£1,095,390.80","£197,547.00","£240,263.73","£7,923,830.51","£3,652,802.23","£44,217,186.73","£2,713,919.94","£46,931,106.67",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.6,9,9,2,1.8,7,6.93,0,0,1,1,20,19,0,0,0,0,0,0,0,0,20,19,"£64,878.14","£2,079.84",£0.00,£0.00,"£18,855.32","£7,304.88","£93,118.18",£0.00,"£93,118.18",
Crown Commercial Services,Executive Agency,Cabinet Office,20,19.4,97,91.5,389,373.1,178,168.8,21,21,0,0,705,674,0,0,53,53,0,0,53,53,758,727,"£2,127,084.66","£41,699.23",£0.00,£217.37,"£569,300.54","£229,223.75","£2,967,525.55","£556,013.07","£3,523,538.62",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,18,17,457,424,250,237,67,66,17,17,0,0,809,761,30,30,0,0,7,6.5,37,36.5,846,798,"£2,061,125.15","£41,201.40",£0.00,"£4,271.86","£529,880.18","£208,717.68","£2,845,196.27","£69,354.39","£2,914,550.66",
Government Property Agency,Executive Agency,Cabinet Office,3,2.43,18,17.29,62,60.66,88,86.74,16,16,0,0,187,183,22,21.6,0,0,0,0,22,21.6,209,205,"£715,159.00","£27,642.00",£0.00,£0.00,"£201,013.00","£83,736.00","£1,027,550.00","£147,412.06","£1,174,962.06",
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,1,1,13,12.6,117,112.3,64,59.3,13,12.9,0,0,208,198,0,0,1,0.2,0,0,1,0.2,209,198,"£714,082.00","£12,907.00",£0.00,£661.00,"£200,924.00","£78,732.00","£1,007,306.00","£1,935.00","£1,009,241.00",
