Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,325,302.03,542,527.18,1087,1064.12,1700,1666.77,398,386.89,2194,2184.03,"6,246","6,131",11,10.3,51,50.8,126,122.6,0,0,188,183.7,"6,434","6,315","£22,119,158.74","£759,006.29","£128,971.52","£145,971.17","£4,595,578.34","£2,587,489.16","£30,336,175.22","£6,362,102.00",£0.00,"£6,362,102.00","£36,698,277.22"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,4,4.00,7,6.80,5,4.80,0,0.00,1,1.00,18,17,0,0,0,0,0,0,0,0,0,0,18,17,"£58,034.26",£166.67,£0.00,£0.00,"£12,723.33","£6,287.95","£77,212.21",£0.00,£0.00,£0.00,"£77,212.21"
Crown Commercial Services,Executive Agency,Cabinet Office,29,28.07,104,99.62,301,292.22,192,185.75,21,20.97,0,0.00,647,627,59,59,0,0,0,0,0,0,59,59,706,686,"£1,921,887.95","£47,568.13",£0.00,£0.00,"£410,170.08","£210,454.32","£2,590,080.48","£506,638.16","£72,626.45","£579,264.61","£3,169,345.09"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,80,74.00,463,428.00,242,229.00,72,71.00,18,18.00,0,0.00,875,820,3,3,0,0,5,5,0,0,8,8,883,828,"£2,448,007.29","£32,108.73","£5,929.66","£9,509.90","£499,118.96","£263,509.72","£3,258,184.26","£56,702.96",£0.00,"£56,702.96","£3,314,887.22"
Government Property Agency,Executive Agency,Cabinet Office,1,1.00,17,16.44,28,27.28,53,52.39,8,8.00,0,0.00,107,105,0,0,0,0,21,21,0,0,21,21,128,126,"£399,812.00","£10,814.00","£1,150.00",£573.00,"£88,441.00","£46,662.00","£547,452.00","£684,564.31",£0.00,"£684,564.31","£1,232,016.31"
