Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,(£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
Science & Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",131,125,258,245,991,972,335,325,29,27,53,44,"1,797","1,738",11,10,1,1,8,8,,,20,19,"1,817","1,757","£5,096,566.00","£189,293.00",£0.00,"£122,847.00","£1,329,690.00","£444,889.00","7,183,285.00","£100,000.00",,"100,000.00","7,283,285.00",
Skills Funding Agency ,Executive Agency,"Department for Business, Innovation & Skills",96,91.73,414,400.23,570,556.78,165,163.93,39,38.47,2,1.62,"1,286","1,253",5,5,0,0,77,77,1,1,83,83,"1,369","1,336","£4,516,596.56","£189,368.99",£0.00,"£3,821.97","£913,936.26","£438,908.58","6,062,632.36","£840,982.00",,"840,982.00","6,903,614.36",
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1777,1663.72,697,668.66,109,105.89,14,14,8,8,6,0.56,"2,611","2,461",68,68,,,42,42,,,110,110,"2,721","2,571","£4,367,286.08","£188,153.89","£5,975.79","£94,801.41","£322,740.32","£348,195.92","5,327,153.41","£844,839.58",£0.00,"844,839.58","6,171,992.99",
Technology Strategy Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,51,51,28,28,106,106,6,6,2,2,193,193,16,16,,,,,,,16,16,209,209,"£774,069.34","£86,341.42",,,"£185,089.73","£86,679.76","1,132,180.25","£209,637.93",,"209,637.93","1,341,818.18",
UK Commission for Employment & Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",26,26,10,9.8,56,55,11,10.6,6,6,,,109,107,,,,,3,2.2,2,2,5,4.2,114,112,"£335,291.81",,,,"£60,264.41","£29,270.00","424,826.22","£16,080.00",,"16,080.00","440,906.22",
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation & Skills",228,203.01,246,233.37,281,274.37,237,223.67,25,25,,,"1,017",959,19,19,,,21,21,,,40,40,"1,057",999,"£2,487,586.00","£102,448.00","£16,022.00","£92,630.00","£527,635.00","£218,763.00","3,445,084.00","£308,443.00",,"308,443.00","3,753,527.00",
UK Space Agency,Executive Agency,"Department for Business, Innovation & Skills",,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",55,52.17,92,90.82,338,333.25,117,115.92,10,9.6,18,18,630,620,4,4,0,0,402,402,0,0,406,406,"1,036","1,026","£2,035,698.00",£0.00,"£275,834.00","£45,131.00","£275,067.00","£198,795.00","2,830,525.00","£1,318,485.00",£0.00,"1,318,485.00","4,149,010.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.
Ordnance Survey ,Non-Ministerial Department,"Department for Business, Innovation & Skills",35,30.85,555,542.74,451,442.35,141,138.54,5,4.6,3,0.73,"1,190","1,160",49,49,2,2,62,62,,,113,113,"1,303","1,273","£3,119,650.24","£96,589.99","£2,280.00","£11,720.14","£615,064.37","£260,914.17","4,106,218.91","£693,313.85",,"693,313.85","4,799,532.76",
Met Office,Non-Ministerial Department,"Department for Business, Innovation & Skills",,,,,,,,,2,2,2034,1956.9,"2,036","1,959",53,53,,,8,8,,,61,61,"2,097","2,020","£5,302,145.00","£337,224.00","£5,621.00","£214,988.00","£1,095,988.00","£466,248.00","7,422,214.00","£281,943.00",,"281,943.00","7,704,157.00",
