Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary (£),Payroll Staff Costs Allowances(£),Payroll Staff Costs Non-consolidated performance payments(£),Payroll Staff Costs Overtime(£),Payroll Staff Costs Employer pension contributions(£),Payroll Staff Costs Employer national insurance contributions(£),Payroll Staff Costs Total paybill for payroll staff(£),"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors(£)",Non-payroll Staff Total cost of consultants/consultancy(£),Non-payroll Staff Total non-payroll (CCL) staff costs(£),Grand Total paybill/staffing (payroll and non-payroll) costs(£),Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,571,556,720,704,1486,1473,1156,1122,347,345,0,0,4280,4200,66,66,0,0,36,35,6,6,108,107,4388,4307,11839885.78,925308.88,46124.62,163262.77,2540869.39,868316.92,16383768.36,393334.34,71893.68,465228.02,16848996.38,The allowance figure does not include any compensatory allowances paid to staff due to their overseas commitments.
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,34,31.47,18,16.76,14,11.75,9,9,1,1,4,4,80,74,0,0,0,0,0,0,0,0,0,0,80,74,160222,11173,0,0,34682,12156,218233,4115,0,4115,222348,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,24,22.11,207,194.45,773,757.26,277,275.12,69,68.2,0,0,1350,1317,85,84.06,93,91.61,0,0,0,0,178,175.67,1528,1493,4125487.1,832770.75,4975,19231.25,899954.98,311343.96,6193763.04,1094887.7,0,1094887.7,7288650.74,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,0,0,3.75,3.75,2,2,1,1,0,0,7,7,0,0,0,0,0,0,0,0,0,0,7,7,23914.42,647.67,0,0,2226.41,2397.86,29186.36,0,0,0,29186.36,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,5,5,10,10,2,2,2,2,0,0,19,19,0,0,0,0,0,0,0,0,0,0,19,19,70668.07,,0,0,12986.82,6571.18,90226.07,0,0,0,90226.07,
FCO Services,Executive Agency,Foreign and Commonwealth Office,166,164.52,179,174.2,454,439.74,134,132.6,5,4.57,0,0,938,916,49,48.59,10,10,183,181.4,0,0,242,239.99,1180,1156,2519216.01,454459.65,30750,220904.86,520164.48,241183.64,3986678.64,1898889.3,0,1898889.3,5885567.94,
FCO (UKTI),Non-Ministerial Department,Foreign and Commonwealth Office,3,3,4,4,81,81,72,72,25,25,0,0,185,185,0,0,0,0,0,0,0,0,0,0,185,185,728909.35,14195.5,0,0,156148.57,30712.12,929965.54,0,0,0,929965.54,From 1 April 2015 UKTI is separated from the FCO & BIS for reporting purposes. The allowance figure does not include any compensatory allowances paid to staff due to their overseas commitments.
