Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,314,296.27,529,515.14,1038,1014.85,1587,1558.10,371,362.55,2343,2332.78,"6,182","6,080",2,2,52,47.9,135,134.2,0,0,189,184.1,"6,371","6,264","£21,453,247.77","£665,642.80","£185,013.00","£133,389.09","£4,498,235.22","£2,494,426.95","£29,429,954.83","£4,598,137.26",£0.00,"£4,598,137.26","£34,028,092.09"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,4,4.00,7,6.80,5,4.80,0,0.00,1,1.00,18,17,0,0,0,0,0,0,0,0,0,0,18,17,"£59,141.45",£166.67,£0.00,£0.00,"£12,952.80","£6,440.75","£78,701.67",£0.00,£0.00,£0.00,"£78,701.67"
Crown Commercial Services,Executive Agency,Cabinet Office,27,26.07,92,86.76,292,280.94,179,171.01,23,21.00,0,0.00,613,586,22,22,0,0,0,0,0,0,22,22,635,608,"£1,853,392.57","£44,053.11","£9,500.00",£0.00,"£390,382.11","£205,602.15","£2,502,929.94","£182,828.07","£290,580.73","£473,408.80","£2,976,338.74"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,84,78.00,448,415.00,244,230.00,76,75.00,16,16.00,0,0.00,868,814,20,20,0,0,6,5,0,0,26,25,894,839,"£2,096,221.81","£26,863.86",£0.00,"£10,621.28","£429,802.65","£209,694.76","£2,773,204.36","£74,785.90",£0.00,"£74,785.90","£2,847,990.26"
Government Property Agency,Executive Agency,Cabinet Office,1,1.00,19,18.44,30,29.28,55,54.39,7,7.00,0,0.00,112,110,0,0,0,0,5,5,0,0,5,5,117,115,"£414,803.00","£12,158.00","£44,744.00",£133.00,"£88,891.00","£53,704.00","£614,433.00","£77,362.74",£0.00,"£77,362.74","£691,795.74"
