Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,423,412.84,654,642.28,2145,2124.99,1607,1581.7,434,430.75,0,0,"5,263","5,193",49,48.82,0,0,32,31.29,6,5.78,87,85.89,"5,350","5,278",17178763.73,1134831.28,50552.68,264005.75,4637696.76,1672379.53,24938229.73,850885.45,562611.13,1413496.58,26351726.31,
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,29,25.72,28,25.92,20,18.22,12,11.51,1,1,0,0,90,82,,,,,,,,,0,0,90,82,218120.93,8979.31,1500,765,61499.19,22761.49,313625.92,0,0,0,313625.92,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,11,10.96,177,170.28,787,756.54,320,309.73,101,100.99,0,0,"1,396","1,349",97,41.02,42,35.92,,,,,139,76.94,"1,535","1,425",4684799.79,1033194.46,1329,24750.41,1332572.09,442454.28,7519100.03,754017.61,0,754017.61,8273117.64,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,1,1,8,7,2,1.125,1,1,0,0,12,10,0,0,1,1,0,0,0,0,1,1,13,11,31615.47,0,0,0,2030.65,2983.7,36629.82,0,0,0,36629.82,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,8,8,22,22,17,16.5,2,2,0,0,49,49,4,3.5,1,1,0,0,0,0,5,4.5,54,53,198782.82,0,0,0,42903.32,21486.6,263172.74,26118.41,0,26118.41,289291.15,
FCO Services,Executive Agency,Foreign and Commonwealth Office,136,134.19,213,207.74,426,418.19,217,199.09,6,6,67,67,"1,065","1,032",20,20,3,3,135,132,0,0,158,155,"1,223","1,187",3043535.96,752389.48,28198,330066.03,831312.93,367846.63,5353349.03,1394065.85,0,1394065.85,6747414.88,
