Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Foreign, Commonwealth & Development Office",Ministerial Department,"Foreign, Commonwealth & Development Office",438,424.95,731,708.19,2699,"2,661.99",3024,"2,962.12",547,541.11,19,19,"7,458","7,317",63,63,0,0,35,34.15,7,6.44,105,103.6,"7,563","7,421","£28,104,474.71","£1,156,640.17","£414,065.19","£296,580.93","£7,851,879.76","£2,773,278.25","£40,596,919.01","£2,503,905.30","£125,147.27","£2,629,052.57","£43,225,971.58",
Wilton Park Executive Agency,Executive Agency,"Foreign, Commonwealth & Development Office",24,22.28,25,22.44,22,20.3,14,13.7,1,1,,,86,80,0,0,0,0,0,0,0,0,0,0,86,80,"£223,424.31","£8,305.39",£0.00,£0.00,"£62,727.72","£23,377.15","£317,834.57",£0.00,£0.00,£0.00,"£317,834.57",
British Council,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",8,8,154,147.98,721,696.69,320,313.91,102,100.78,,,"1,305","1,267",72,31.1,16,6.78,0,0,0,0,88,37.88,"1,393","1,305","£4,464,601.19","£732,020.78",£0.00,"£10,365.60","£1,263,702.41","£417,462.51","£6,888,152.49","£1,161,519.19",£0.00,"£1,161,519.19","£8,049,671.68",
Great Britain - China Centre,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,1,1,5,5,3,2.13,1,1,0,0,10,9,0,0,1,1,0,0,0,0,1,1,11,10,"£30,858.67",£0.00,£0.00,£0.00,"£1,850.78","£3,202.44","£35,911.89",£0.00,£0.00,£0.00,"£35,911.89",
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,8,6.3,24,24,19,18.2,3,3,0,0,54,52,1,0.8,0,0,0,0,0,0,1,0.8,55,52,"£221,900.58",£0.00,£0.00,£0.00,"£51,510.81","£23,574.15","£296,985.54","£4,800.00",£0.00,"£4,800.00","£301,785.54",
FCDO Services,Executive Agency,"Foreign, Commonwealth & Development Office",131,129.19,213,208.23,443,435.4,223,200.39,6,6,47,47,"1,063","1,026",14,14,3,3,104,98.26,0,0,121,115.26,"1,184","1,141","£3,179,395.47","£622,844.24","£13,500.00","£183,197.58","£865,802.75","£356,757.53","£5,221,497.57","£1,019,288.27",£0.00,"£1,019,288.27","£6,240,785.84",
Independent Commission for Aid Impact,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,0,0,0,0,0,0,0,0,10,6,10,6,0,0,0,0,0,0,0,0,0,0,10,6,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
Commonwealth Scholarship Commission,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
