Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",465,408.00,262,251.00,139,136.00,37,36.00,4,3.00,0,0.00,907,834.00,1,1.00,0,0.00,0,0.00,21,21.00,22,22,929,856,"£1,815,850.37","£28,132.20",£680.00,"£48,452.59","£379,326.74","£174,050.23","£2,446,492.13","£2,538.42","£202,245.91","£204,784.33","£2,651,276.46",
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,1,1.00,7,6.60,4,4.00,1,1.00,0,0.00,18,17.60,0,0.00,0,0.00,0,0.00,1,1.00,1,1,19,19,"£60,571.79",£0.00,"£4,462.83",£0.00,"£12,974.72","£7,269.93","£85,279.27",£0.00,"£3,925.00","£3,925.00","£89,204.27",
Construction Industry Training Board (CITB)**,Executive non-departmental public body,Department for Education (DfE),421,388.89,592,579.28,291,285.55,20,20.00,4,4.00,0,0.00,"1,328","1,277.72",92,59.47,2,0.95,93,59.59,1,1.00,188,121,"1,516","1,399","£3,258,746.00","£172,727.27",£0.00,"£41,499.91","£447,765.99","£322,423.76","£4,243,162.93","£719,343.00",£284.00,"£719,627.00","£4,962,789.93",
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.35,28,25.57,73,69.04,17,16.72,2,2.00,0,0.00,134,125.68,0,0.00,0,0.00,0,0.00,0,0.00,0,0,134,126,"£349,273.01","£4,679.58",£100.00,"£1,001.21","£89,570.11","£35,771.55","£480,395.46",£0.00,£0.00,£0.00,"£480,395.46",
Engineering Construction Industry Training Board (ECITB)**,Executive non-departmental public body,Department for Education (DfE),11,8.00,37,36.00,15,15.00,5,5.00,0,0.00,1,0.00,69,64.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,69,64,"£243,295.00","£19,931.00",£0.00,£0.00,"£53,027.00","£28,263.00","£344,516.00",£0.00,£0.00,£0.00,"£344,516.00",
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",39,36.01,29,27.33,140,131.41,34,32.72,4,4.00,0,0.00,246,231.47,0,0.00,0,0.00,1,1.00,0,0.00,1,1,247,232,"£640,317.63","£11,776.62","£4,200.00","£1,110.82","£168,132.71","£61,504.21","£887,041.99","£2,202.93",£0.00,"£2,202.93","£889,244.92",
Higher Education Funding Council for England (HEFCE)**,Executive non-departmental public body,Department for Education (DfE),28,23.00,8,7.00,179,163.00,98,89.00,33,32.00,0,0.00,346,314.00,27,26.00,0,0.00,0,0.00,0,0.00,27,26,373,340,"£1,051,977.96","£4,402.70","£147,874.10",£963.17,"£215,899.69","£130,736.04","£1,551,853.66","£180,147.49",£0.00,"£180,147.49","£1,732,001.15",
Innovate UK / Technology Strategy Board (TSB),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,35,35.00,61,61.00,165,165.00,9,9.00,0,0.00,270,270.00,14,14.00,0,0.00,0,0.00,0,0.00,14,14,284,284,"£1,099,138.59","£106,476.41",£0.00,£0.00,"£397,311.55","£198,178.59","£1,801,105.14","£71,653.00",£0.00,"£71,653.00","£1,872,758.14",
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",505,470.57,168,159.56,598,570.38,95,93.53,8,8.00,0,0.00,"1,374","1,302.04",45,45.00,0,0.00,9,9.00,0,0.00,54,54,"1,428","1,356","£3,413,525.00","£7,398.00",£0.00,"£8,629.00","£711,447.00","£346,715.00","£4,487,714.00","£516,563.00",£0.00,"£516,563.00","£5,004,277.00",
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",213,190.69,384,366.00,285,278.15,267,249.68,25,25.00,0,0.00,"1,174","1,109.52",20,20.00,0,0.00,17,17.00,0,0.00,37,37,"1,211","1,147","£3,065,114.00","£145,550.00","£23,140.00","£60,209.00","£691,134.00","£345,934.00","£4,331,081.00","£246,554.00",£0.00,"£246,554.00","£4,577,635.00",
Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",547,524.17,"2,214","1,934.42","1,701","1,558.46",198,184.07,17,17.00,0,0.00,"4,677","4,218.12",0,0.00,19,19.00,0,0.00,0,0.00,19,19,"4,696","4,237",,197115.59,4192.53,597338.97,2120256.45,1040763.85,3959667.39,"£374,546.15",£0.00,"£374,546.15",4334213.54,Salary staff data missing
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",220,203.00,346,330.00,990,967.00,126,120.00,85,80.00,31,19.00,"1,798","1,719.00",8,8.00,23,23.00,4,4.00,0,0.00,35,35,"1,833","1,754","£5,053,288.00","£327,091.00",£0.00,"£10,980.00","£673,237.00","£563,741.00","£6,628,337.00","£418,040.00",£0.00,"£418,040.00","£7,046,377.00",
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"2,107","2,019.10","2,107","2,019.10",7,6.54,0,0.00,75,74.13,0,0.00,82,81,"2,189","2,100","£5,570,519.00","£269,236.00",£0.00,"£132,840.00","£1,230,097.00","£597,552.00","£7,800,244.00","£403,906.00",£0.00,"£403,906.00","£8,204,150.00",
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",239,210.60,413,386.90,"1,196","1,140.70",362,343.90,22,21.50,333,330.00,"2,565","2,433.60",6,5.70,0,0.00,2,2.00,0,0.00,8,8,"2,573","2,441","£6,778,895.87","£196,911.35",£788.00,"£17,018.98","£1,681,633.89","£700,425.08","£9,375,673.17","£84,492.74",£0.00,"£84,492.74","£9,460,165.91",
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,209,201.62,209,201.62,3,3,27,27,3,3,,,33,33,242,234.62,"£1,103,040.00","£67,718.00","£247,098.00",,"£233,442.00","£173,399.00","£1,824,697.00","£302,940.00",,"£302,940.00","£2,127,637.00",
Office for Fair Access (OFFA)**,Executive non-departmental public body,Department for Education (DfE),0,0.00,2,2.00,13,10.40,8,8.00,2,2.00,0,0.00,25,22.40,0,0.00,0,0.00,0,0.00,0,0.00,0,0,25,22,"£89,183.74",£0.00,£0.00,£0.00,"£14,933.33","£9,894.05","£114,011.12",£0.00,£0.00,£0.00,"£114,011.12",
Oil & Gas Authority (OGA),Other,"Department for Business, Energy & Industrial Strategy (BEIS)",9,8.42,10,9.92,65,63.87,44,44,7,6.9,,,135,133.11,3,3,0,0,17,17,0,0,20,20,155,153.11,"£559,507.19","£101,577.68","£29,815.74",£0.00,"£125,216.49","£90,376.22","£906,493.32","£364,397.25",-£475.81,"£363,921.44","£1,270,414.76",
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",153,147.83,295,284.63,"1,142","1,117.42",376,361.28,39,36.69,57,57.00,"2,062","2,004.85",6,6.00,0,0.00,71,71.00,0,0.00,77,77,"2,139","2,082","£6,052,693.00","£329,602.00",£0.00,"£96,671.00","£1,558,019.00","£685,726.00","£8,722,711.00","£310,884.73",£0.00,"£310,884.73","£9,033,595.73",
Skills Funding Agency (SFA)**,Executive agency,Department for Education (DfE),27,26.08,73,69.36,333,324.75,210,206.98,16,16.00,0,0.00,659,643.17,5,5.00,0,0.00,66,66.00,0,0.00,71,71,730,714,"£2,092,496.21","£28,367.37","£2,500.00","£1,255.46","£449,934.81","£231,589.58","£2,806,143.43","£1,082,096.00",£0.00,"£1,082,096.00","£3,888,239.43",
Student Loans Company Ltd**,Executive non-departmental public body,Department for Education (DfE),"1,986","1,870.15",731,699.86,148,144.27,19,19.00,5,5.00,8,1.15,"2,897","2,739.43",2,2.00,0,0.00,27,27.00,0,0.00,29,29,"2,926","2,768","£5,069,248.62","£156,473.83","£8,490.75","£215,025.73","£540,226.95","£460,479.23","£6,449,945.11","£178,233.42",£0.00,"£178,233.42","£6,628,178.53",
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",57,52.52,89,85.11,399,392.47,148,144.00,10,10.00,24,24.00,727,708.10,4,4.00,0,0.00,372,361.00,0,0.00,376,365,"1,103","1,073","£2,604,030.38",£0.00,"£152,235.15","£50,958.64","£371,782.75","£291,367.34","£3,470,374.26","£1,308,071.00",£0.00,"£1,308,071.00","£4,778,445.26",Allowances included within salary costs.
UK Commission for Employment & Skills (UKCES)**,Executive non-departmental public body,Department for Education (DfE),1,1.00,9,8.70,21,19.60,6,6.00,2,2.00,0,0.00,39,37.30,1,1.00,0,0.00,2,2.00,0,0.00,3,3,42,40,"£139,538.40",£0.00,£0.00,£0.00,"£27,189.76","£15,296.04","£182,024.20","£18,790.85",£0.00,"£18,790.85","£200,815.05",
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",2,2,5,5,33,32.59,38,34.95,6,5.3,0,0,84,80,0,0,0,0,3,2,0,0,3,2,87,82,"£265,031.66","£3,618.39",,"£1,665.52","£57,719.77","£29,858.65",357893.99,"£31,065.23",£0.00,31065.23,388959.22,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* BEIS replaced the Department for Business, Innovation and Skills (BIS) and the Department of Energy and Climate Change (DECC) in July 2016. The department continued to report former BIS and DECC data separately until March 2017 as staff who moved departments due to the machinery of government changes were still on the payroll.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** Responsibility for CITB, ECITB, HEFCE, OFFA, SFA, SLC & UKCES passed to DfE in July 2016 as part of the machinery of government changes. The department continued to report on these partner organisations until they were officially handed over.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
