Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
Engineering Construction Industry Training Board (ECITB),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",19,16,41,39,19,19,5,5,0,0,1,0.01,85,79.01,0,0,0,0,0,0,0,0,0,0,85,79,"£279,373.00","£20,708.00","£1,500.00",£0.00,"£58,991.00","£31,575.00","£392,147.00",£0.00,£0.00,£0.00,"£392,147.00",
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",42,39.31,31,30.35,137,128.87,31,29.72,3,3,0,0,244,231.25,0,0,0,0,2,2,0,0,2,2,246,233,"£642,138.51","£13,303.83","£2,100.00","£3,231.16","£166,978.65","£63,500.36","£891,252.51","£9,097.74",£0.00,"£9,097.74","£900,350.25",
Higher Education Funding Council for England (HEFCE),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",29,25.13,10,9.41,155,139.68,88,79.98,32,30.8,0,0,314,285,14,13.6,0,0,0,0,0,0,14,14,328,299,"£952,646.07","£5,774.51",£0.00,"£1,461.65","£193,206.14","£99,709.69","£1,252,798.06","£114,990.81",£0.00,"£114,990.81","£1,367,788.87",
Innovate UK / Technology Strategy Board (TSB),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",0,0,49,49,53,53,190,190,7,7,0,0,299,299,9,9,0,0,0,0,0,0,9,9,308,308,"£1,185,369.56","£101,048.31",£0.00,£0.00,"£292,210.06","£157,205.56","£1,735,833.49","£50,365.84",£0.00,"£50,365.84","£1,786,199.33",
Insolvency Service,Executive agency,"Department for Business, Innovation & Skills (BIS)",478,442.38,184,175.21,617,590.46,94,93.66,8,7.69,0,0,"1,381","1,309.41",98,98,0,0,14,14,0,0,112,112,"1,493","1,421","£3,462,628.00","£7,022.00",£0.00,"£3,721.00","£796,168.00","£395,469.00","£4,665,008.00","£601,400.94",£0.00,"£601,400.94","£5,266,408.94",
Intellectual Property Office (IPO),Executive agency,"Department for Business, Innovation & Skills (BIS)",216,192.44,355,336.65,304,294.14,257,240.17,26,26,0,0,"1,158","1,089.40",14,14,0,0,24,24,0,0,38,38,"1,196","1,127","£3,023,020.54","£135,639.29","£5,589.56","£38,739.00","£671,852.49","£412,524.57","£4,287,365.45","£415,366.90",,"£415,366.90","£4,702,732.35",
Land Registry,Non-ministerial department,"Department for Business, Innovation & Skills (BIS)",402,381.5,"2,242","1,968.60","1,709","1,565.50",195,180.4,17,17,0,0,"4,565","4,113.00",0,0,17,17,0,0,0,0,17,17,"4,582","4,130","£9,947,705.32","£205,680.91",£0.00,"£560,049.07","£2,105,134.40","£1,034,236.01","£13,852,805.71","£67,238.67",£0.00,"£67,238.67","£13,920,044.38",Includes 101 new apprentice starts
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",225,207,373,356,"1,055","1,033.00",141,135,89,84,33,21,"1,916","1,836.00",7,7,18,18,3,3,0,0,28,28,"1,944","1,864","£5,421,427.00","£334,735.00",£0.00,"£12,777.00","£719,746.00","£595,536.00","£7,084,221.00","£686,229.00",£0.00,"£686,229.00","£7,770,450.00",
Met Office,Executive agency,"Department for Business, Innovation & Skills (BIS)",0,0,0,0,0,0,0,0,0,0,"2,166","2,082.90","2,166","2,082.90",16,6.97,0,0,74,74,0,0,90,81,"2,256","2,164","£5,727,444.00","£344,892.00","£588,750.00","£166,409.00","£1,278,008.00","£718,045.00","£8,823,548.00","£510,423.00",£0.00,"£510,423.00","£9,333,971.00",
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",246,216.3,463,433.3,"1,189","1,136.40",363,344.5,23,22.5,223,220,"2,507","2,373.00",6,6,0,0,0,0,0,0,6,6,"2,513","2,379","£6,646,164.90","£217,933.21","£12,625.00","£17,615.05","£1,686,932.37","£685,373.56","£9,266,644.09","£86,572.47",£0.00,"£86,572.47","£9,353,216.56",
Office for Fair Access (OFFA),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",0,0,3,3,15,12.2,5,5,2,1.6,0,0,25,21.8,0,0,0,0,0,0,0,0,0,0,25,22,"£66,310.49",£0.00,£0.00,£961.92,"£12,693.69","£6,974.18","£86,940.28",£0.00,£0.00,£0.00,"£86,940.28",
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",148,142.32,275,263.55,"1,105","1,080.79",383,368.82,38,36.28,59,59,"2,008","1,950.76",8,8,0,0,0,0,70,70,78,78,"2,086","2,029","£5,926,712.64","£331,194.75",£65.72,"£77,095.13","£2,196,195.00","£677,541.75","£9,208,804.99","£306,178.66",£0.00,"£306,178.66","£9,514,983.65",
Skills Funding Agency (SFA),Executive agency,"Department for Business, Innovation & Skills (BIS)",52,49.82,29,27.85,495,481.93,100,99.43,18,18,0,0,694,677.03,7,7,0,0,41,41,0,0,48,48,742,725,"£2,245,950.97","£31,142.34",£0.00,"£1,405.59","£482,036.06","£250,065.90","£3,010,600.86","£636,230.00",£0.00,"£636,230.00","£3,646,830.86",
Student Loans Company Ltd,Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)","2,107","1,987.94",714,681.12,132,128.74,18,18,5,4.11,10,1.28,"2,986","2,821.19",2,2,0,0,25,25,0,0,27,27,"3,013","2,848","£5,107,501.85","£170,763.03","£8,349.63","£118,036.20","£541,768.96","£446,722.39","£6,393,142.06","£315,092.00",£0.00,"£315,092.00","£6,708,234.06",
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",51,47.66,84,80.78,376,369.85,143,139.51,9,9,21,21,684,667.8,4,4,0,0,331,331,0,0,335,335,"1,019","1,003","£2,477,878.02",£0.00,"£74,654.10","£52,928.81","£352,338.32","£394,716.41","£3,352,515.66","£1,099,128.00",£0.00,"£1,099,128.00","£4,451,643.66",Allowances included within Salary. Non consolidated performance accrued during year.
UK Commission for Employment & Skills (UKCES),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",12,12,16,15.5,44,41.7,11,11,3,3,0,0,86,83.2,0,0,0,0,1,1,0,0,1,1,87,84,"£279,192.82",£0.00,£0.00,£0.00,"£56,589.67","£29,589.33","£365,371.82","£7,915.50",£0.00,"£7,915.50","£373,287.32",
UK Space Agency,Executive agency,"Department for Business, Innovation & Skills (BIS)",3,3,5,5,28,27.6,35,32.25,5,4.7,0,0,76,72.55,3,3,0,0,3,1.5,0,0,6,5,82,77,"£263,401.16","£3,011.15","£1,600.00",£0.00,"£54,462.92","£28,235.09","£350,710.32","£32,472.76",£0.00,"£32,472.76","£383,183.08",
UK Trade & Investment (UKTI),Non-ministerial department,"Department for Business, Innovation & Skills (BIS)",34,32.9,70,68.7,258,254.6,199,196.8,22,22,0,0,583,575,19,19,2,2,94,94,11,11,126,126,709,701,"£1,551,939.19","£56,450.67","£2,400.00","£6,895.43","£337,756.43","£178,165.43","£2,133,607.15","£408,105.00","£43,741.00","£451,846.00","£2,585,453.15",
