Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,382,358.15,592,575.88,1270,1244.75,2045,2006.02,364,356.36,2028,2015.76,"6,681","6,557",33,32.45,345,342.23,106,100.23,484,474.91,"7,165","7,032","£24,084,192.01","£863,957.24","£1,663,587.61","£127,088.30","£6,296,078.05","£3,024,625.23","£36,059,528.44","£4,431,218.95","£40,490,747.39"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,2,1.6,3,3,6,5.8,5,4.93,0,0,1,1,17,16,0,0,0,0,0,0,0,0,17,16,"£55,390.30",£466.08,£0.00,£0.00,"£15,573.24","£6,021.39","£77,451.01",£0.00,"£77,451.01"
Crown Commercial Services,Executive Agency,Cabinet Office,25,25,104,97,313,300,208,201,23,21,0,0,673,644,45,45,0,0,0,0,45,45,718,689,"£2,064,896.46","£45,574.06","£4,000.00",£0.00,"£550,892.40","£225,879.80","£2,891,242.72","£604,285.07","£3,495,527.79"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,75,69,463,428,236,223,73,71,18,18,0,0,865,809,4,4,0,0,8,8,12,12,877,821,"£2,129,108.88","£45,410.75",£0.00,"£5,882.60","£562,884.40","£219,410.07","£2,962,696.70","£79,730.66","£3,042,427.36"
Government Property Agency,Executive Agency,Cabinet Office,1,1,22,21.29,39,38.28,64,63.44,12,12,0,0,138,136,0,0,0,0,7,7,7,7,145,143,"£520,274.00","£3,669.00",£400.00,£536.00,"£145,901.00","£58,732.00","£729,512.00","£98,210.05","£827,722.05"
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,0,0,15,14.6,102,97.7,58,54.5,12,11.2,0,0,187,178,4,3.4,1,1,0,0,5,4.4,192,182,"£670,327.00","£14,804.00",£0.00,£0.00,"£179,976.00","£70,883.00","£935,990.00","£10,233.00","£946,223.00"
