Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,141,136.95,371,361.06,560,548.53,845,828.77,234,228.66,172,166.60,"2,323","2,271",3,3.00,179,179.00,54,52.20,6,5.80,242,240,"2,565","2,511","£8,168,393.86","£400,303.63","£17,180.00","£90,284.66","£1,866,623.62","£988,864.87","£11,531,650.64","£2,872,349.00","£79,158.00","£2,951,507.00","£14,483,157.64"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,2,1.56,3,3.00,6,5.80,4,4.00,1,1.00,0,0.00,16,15,0,0.00,0,0.00,0,0.00,0,0.00,0,0,16,15,"£46,668.02",£736.08,"£5,500.00",£0.00,"£10,190.57","£5,901.48","£68,996.15",£0.00,£0.00,£0.00,"£68,996.15"
Crown Commercial Services,Executive Agency,Cabinet Office,27,24.75,110,106.50,323,311.93,187,184.83,63,59.66,0,0.00,710,688,1,1.00,49,48.00,0,0.00,0,0.00,50,49,760,737,"£2,516,410.72","£5,570.95",£0.00,£0.00,"£520,455.37","£279,154.36","£3,321,591.40","£587,095.96","£38,293.33","£625,389.29","£3,946,980.69"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,97,92.00,457,417.00,251,236.00,70,68.00,18,18.00,0,0.00,893,831,9,9.00,0,0.00,3,0.50,0,0.00,12,9.5,905,841,"£2,160,634.62","£36,212.41",£0.00,"£5,229.02","£421,680.99","£216,782.16","£2,840,539.20","£60,890.57",£0.00,"£60,890.57","£2,901,429.77"
