Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,557,518,838,813.83,2064,2028.04,2682,2629.21,479,470.91,2760,2743.88,"9,380","9,204",38,38,124,124,301,301,463,463,"9,843","9,667","£35,676,923.94","£1,402,205.75","£117,935.36","£445,239.50","£9,078,188.18","£4,249,165.91","£50,969,658.64","£6,308,496.00","£57,278,154.64",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.6,10,10,4,3.8,7,6.93,0,0,1,0.5,23,22,0,0,0,0,0,0,0,0,23,22,"£70,448.12","£2,738.62",£0.00,£0.00,"£20,598.76","£7,812.00","£101,597.50",£0.00,"£101,597.50",
Crown Commercial Services,Executive Agency,Cabinet Office,27,26,107,103.4,433,412.1,198,189.3,22,22,0,0,787,753,0,0,59,59,0,0,59,59,846,812,"£2,379,181.79","£50,647.62","£1,404.64",£857.81,"£640,452.89","£256,496.53","£3,329,041.28","£740,450.52","£4,069,491.80",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,22,21,454,419,254,240,67,66,19,18,0,0,816,764,42,40,0,0,11,10,53,50,869,814,"£2,122,323.76","£51,798.77",£0.00,"£3,237.33","£539,612.52","£218,792.86","£2,935,765.24","£195,288.45","£3,131,053.69",
Government Property Agency,Executive Agency,Cabinet Office,3,2.57,17,16.6,69,67.42,96,94.5,17,17,0,0,202,198,27,26.4,0,0,0,0,27,26.4,229,224,"£826,229.00","£30,324.00",£170.00,£0.00,"£229,950.00","£97,082.00","£1,183,755.00","£520,814.74","£1,704,569.74",
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,1,1,13,12,114,111,63,59.5,12,11.9,0,0,203,195,14,14,0,0,0,0,14,14,217,209,"£714,177.00","£11,897.00",£0.00,£0.00,"£198,708.00","£78,688.00","£1,003,470.00","£51,480.00","£1,054,950.00",
