Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,
"Department for Business, Energy & Industrial Strategy (BEIS)",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",132,126.4,317,309.9,1152,1091.9,1212,1173.0,198,191.7,0,0,3011,2892.9,8,8,0,0,37,36.80,0,0,45,44.8,3056,2937.7," £16,100,624.70 "," £505,743.80 "," £558,471.15 "," £47,170.75 "," £3,397,292.50 "," £1,952,189.68 "," £22,561,492.58 "," £208,219.73 "," £3,922,755.06 "," £4,130,974.79 "," £26,692,467.37 ",,,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",60,53.00,281,260.60,471,432.80,42,38.90,3,3.00,1,0.60,858,788.90,7,7.00,0,0.00,0,0.00,0,0.00,7,7,865,796," £2,116,258.69 "," £19,775.70 ", £-   ," £36,617.08 "," £438,891.24 "," £216,041.23 "," £2,827,583.94 "," £25,511.67 "," £120,000.00 "," £145,511.67 "," £2,973,095.61 ",,,,
Arts & Humanities Research Council (AHRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",11,10.49,40,38.58,78,74.34,19,18.81,1,1.00,0,0.00,149,143.22,0,0.00,0,0.00,7,7.00,0,0.00,7,7,156,150," £399,196.68 "," £7,640.61 "," £1,650.00 ", £-   ," £99,524.65 "," £38,955.51 "," £546,967.45 "," £72,287.82 ", £-   ," £72,287.82 "," £619,255.27 ",,,,
Biotechnology & Biological Sciences Research Council (BBSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",32,28.45,48,44.54,145,137.79,43,40.64,11,10.51,0,0.00,279,261.93,0,0.00,0,0.00,0,0.00,0,0.00,0,0,279,262," £775,998.48 "," £24,087.12 "," £1,650.00 "," £1,252.40 "," £202,576.72 "," £77,495.62 "," £1,083,060.34 ", £-   , £-   , £-   ," £1,083,060.34 ",,,,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1129,1110.3,285,279.01,136,135.075,21,20.81,5,5,0,0,1576,1550.195,0,0,0,0,0,0,0,0,0,0,1576,1550.195," £4,555,485.01 "," £248,110.97 "," £1,000.00 "," £1,109,006.95 "," £862,404.11 "," £698,908.21 "," £7,474,915.25 ", £-   , £-   , £-   ," £7,474,915.25 ",,,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",15,14.60,21,20.20,134,133.10,52,51.50,4,4.00,0,0.00,226,223.40,4,4.00,0,0.00,7,5.40,0,0.00,11,9,237,233," £701,043.45 "," £11,159.84 "," £2,408.64 ", £122.00 ," £149,738.06 "," £77,081.86 "," £941,553.85 "," £69,757.23 ", £-   ," £69,757.23 "," £1,011,311.08 ",All figures correct.,,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,1,1.00,6,5.19,18,15.38,5,3.82,0,0.00,30,25.39,0,0.00,0,0.00,0,0.00,0,0.00,0,0,30,25," £119,966.18 ", £216.00 , £-   , £-   ," £25,875.67 "," £15,528.08 "," £161,585.93 ", £-   , £-   , £-   ," £161,585.93 ",,,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",469,413,247,234,175,169,38,37,5,4,,,934,857,1,1,,,,,18,18,19,19,953,876," £1,889,209.74 "," £30,064.44 ", £100.00 ," £43,847.70 "," £392,486.70 "," £181,600.51 "," £2,537,309.09 "," £1,940.40 "," £186,509.60 "," £188,450.00 "," £2,725,759.09 ",,,,
