Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,138,133.59,453,442.36,804,788.00,1370,1346.36,327,321.17,1863,1857.16,"4,955","4,889",4,3.2,153,142.6,184,181.4,1,1,342,328.2,"5,297","5,217","£17,464,527.24","£593,284.53","£79,273.61","£99,859.85","£3,706,486.34","£2,030,466.98","£23,973,898.55","£3,290,465.00","£789,210.00","£4,079,675.00","£28,053,573.55"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,3,3.00,8,7.20,5,5.00,0,0.00,1,1.00,18,17,0,0,0,0,0,0,0,0,0,0,18,17,"£59,681.96",£166.67,£0.00,£0.00,"£13,074.60","£6,569.98","£79,493.21",£0.00,£0.00,£0.00,"£79,493.21"
Crown Commercial Services,Executive Agency,Cabinet Office,24,22.09,98,92.69,303,290.70,190,181.17,24,22.00,0,0.00,639,609,30,30,0,0,0,0,0,0,30,30,669,639,"£2,094,381.56","£30,929.51","£5,550.00",£0.00,"£422,610.06","£233,029.51","£2,786,500.64","£448,735.42","£11,444.98","£460,180.40","£3,246,681.04"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,76,70.00,390,356.00,250,235.00,83,82.00,18,18.00,0,0.00,817,761,22,22,0,0,4,2.5,0,0,26,24.5,843,786,"£1,993,214.62","£23,616.43",£0.00,"£16,216.96","£405,202.08","£213,075.78","£2,651,325.87","£65,544.10",£0.00,"£65,544.10","£2,716,869.97"
