Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,242,229.2913,514,500.90828,946,923.8134,1505,1478.31149,354,346.1892,1694,1684.10679,"5,255","5,163",6,6,59,57.2,207,201.4,0,0,272,264.6,"5,527","5,427","£18,529,655.74","£645,291.96","£66,799.20","£145,039.83","£3,913,516.98","£2,162,263.91","£25,462,567.62","£4,905,455.00",£0.00,"£4,905,455.00","£30,368,022.62"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.55556,5,5,5,4.8,5,4.8,0,0,1,1,17,16.15556,0,0,0,0,0,0,0,0,0,0,17,16.15556,"£55,267.55",£166.67,"£1,250.00",£0.00,"£12,137.75","£6,175.50","£74,997.47",£0.00,£0.00,£0.00,"£74,997.47"
Crown Commercial Services,Executive Agency,Cabinet Office,28,26.5,88,82.65,298,285.18,189,179.57,24,22,0,0,627,595.9,19,19,0,0,0,0,0,0,19,19,646,614.9,"£1,988,117.44","£36,454.06",£0.00,£0.00,"£415,115.85","£218,903.75","£2,658,591.10","£253,005.75","£34,820.22","£287,825.97","£2,946,417.07"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,73,69,425,390,246,232,71,70,17,17,0,0,832,778,34,34,0,0,5,5,0,0,39,39,871,817,"£1,999,048.60","£47,425.20","£199,739.53","£5,746.47","£418,133.42","£230,779.96","£2,900,873.18","£126,823.81",£0.00,"£126,823.81","£3,027,696.99"
Government Property Agency,Executive Agency,Cabinet Office,1,1,21,20.05,33,32.41,51,50.39,6,6,1,1,113,110.85,0,0,0,0,9,9,0,0,9,9,122,119.85,"£417,495.26","£13,677.29","£1,250.00","£1,742.69","£91,754.66","£49,078.48","£574,998.38","£25,420.20",£0.00,"£25,420.20","£600,418.58"
