Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,151,129.55,343,333.61,"1,181.00","1,159.80","1,047.00","1,012.81",171,166.73,0,0,"2,893","2,803",12,12,0,0,23,22.41,0,0,35,34.41,"2,928","2,837","£10,881,169.82","£148,902.06","£419,608.10","£89,275.36","£2,488,440.87","£1,401,156.81","£15,428,553.02","£819,738.78","£8,908,598.49","£9,728,337.27","£25,156,890.29"
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4180,3545.396216,846,790.6797297,873,838.8054054,265,255.9927027,7,7,0,0,"6,171","5,438",0,0,0,0,10,7.78,0,0,10,7.78,"6,181","5,446","£11,181,872.00","£175,711.00","£66,889.00","£63,924.00","£3,035,838.00","£1,050,044.00","£15,574,278.00","£265,660.00","-£9,217.00","£256,443.00","£15,830,721.00"
Driver and Vehicle Standards Agency,Executive Agency,Department for Transport,1086,1019.41,2636,2449.65,884,858.11,108,107.06,7,7,0,0,"4,721","4,441",51,51,16,16,9,9,0,0,76,76,"4,797","4,517","£10,123,592.85","£751,326.73","£126,555.23","£276,913.32","£2,785,623.82","£1,133,883.57","£15,197,895.52","£489,853.51","£170,335.77","£660,189.28","£15,858,084.80"
Maritime and Coastguard Agency,Executive Agency,Department for Transport,268,252.01,251,244.33,468,452.14,133,129.34,5,4.65,0,0,"1,125","1,082",27,27,0,0,0,0,0,0,27,27,"1,152","1,109","£2,910,036.16","£364,292.24","£37,400.00","£76,012.45","£796,838.51","£348,872.55","£4,533,451.91","£114,226.25",£0.00,"£114,226.25","£4,647,678.16"
Vehicle Certification Agency,Executive Agency,Department for Transport,35,31.11,52,48.26,97,93.1,15,15,1,1,0,0,200,188,19,19,0,0,0,0,0,0,19,19,219,207,"£463,410.00","£16,664.00","£10,000.00","£9,604.00","£144,226.00","£47,209.00","£691,113.00","£53,846.00",£0.00,"£53,846.00","£744,959.00"
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,4,4,5,4,3,3,0,0,12,11,1,1.47,0,0,0,0,0,0,1,1.47,13,12,"£58,741.00","£3,261.00",£0.00,£0.00,"£6,990.00","£6,837.00","£75,829.00","£5,587.00","£4,440.00","£10,027.00","£85,856.00"
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,82,81.56666667,51,50.6,432,428.95,534,531.4666667,245,243.7888889,0,0,"1,344","1,336",27,27,55,55,242,241,0,0,324,323,"1,668","1,659","£8,720,531.27",£0.00,£0.00,£0.00,"£851,765.30","£889,439.29","£10,461,735.86","£1,169,415.25",£0.00,"£1,169,415.25","£11,631,151.11"
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,21,4.88,18,16.8,68,66.32,15,14.8,3,3,0,0,125,106,77,71.7,17,12.09,0,0,0,0,94,83.79,219,190,"£424,589.22","£11,783.10","£151,644.00","£37,607.75","£169,593.98","£105,159.59","£900,377.64","£58,565.51",£0.00,"£58,565.51","£958,943.15"
Transport Focus,Executive Non-Departmental Public Body,Department for Transport,0,0,7,6.6,25,23.6,11,9.75,4,4,0,0,47,44,2,2,0,0,4,1.2,0,0,6,3.2,53,47,"£172,373.00","£1,050.00",,,"£46,184.00","£19,368.00","£238,975.00","£12,926.00",£0.00,"£12,926.00","£251,901.00"
Trinity House,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,0,0,0,0,307,297,307,297,22,22,0,0,0,0,0,0,22,22,329,319,"£921,510.98","£4,115.86",£0.00,"£35,627.27","£246,031.81","£104,707.24","£1,311,993.16","£64,841.35",£0.00,"£64,841.35","£1,376,834.51"
