Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,555,517.42651,866,841.52264,2100,2061.76505,2722,2668.41041,476,467.81826,2718,2700.51823,"9,437","9,257",34,34,124,124,288,288,446,446,"9,883","9,703","£35,897,640.80","£1,471,808.43","£368,653.42","£482,280.48","£9,130,965.08","£4,317,974.31","£51,669,322.52","£8,776,768.97","£60,446,091.49"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.6,10,10,3,3,6,5.925,0,0,1,0.5,21,20.025,0,0,0,0,0,0,0,0,21,20.025,"£64,352.46","£2,906.54","£1,350.00",£0.00,"£18,627.74","£7,346.65","£94,583.39",£0.00,"£94,583.39"
Crown Commercial Services,Executive Agency,Cabinet Office,25,24,112,107.4,441,419.2,201,192.4,22,22,0,0,801,765,0,0,57,57,0,0,57,57,858,822,"£2,417,426.47","£49,818.56",£0.00,£561.61,"£645,187.30","£259,966.09","£3,372,960.03","£535,654.53","£5,109,387.50"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,21,20,458,422,256,243,69,68,20,19,0,0,824,772,38,36,0,0,19,18,57,54,881,826,"£2,126,263.37","£49,376.97","£25,985.00","£6,082.42","£541,424.17","£218,398.86","£2,967,530.79","£313,998.02","£3,281,528.81"
Government Property Agency,Executive Agency,Cabinet Office,3,2.57,19,18.6,72,71.42,97,95.61,17,17,0,0,209,205.19,32,32,0,0,0,0,32,32,241,237.19,"£834,665.00","£29,377.00",£0.00,"£11,175.00","£235,324.00","£100,521.00","£1,211,062.00","£520,814.74","£1,768,448.16"
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,1,1,13,11.6,113,110.2,61,57.3,12,11.9,0,0,200,192,14,14,0,0,0,0,14,14,214,206,"£714,662.00","£11,499.00",£0.00,"£1,600.00","£204,504.00","£94,138.00","£1,026,403.00","£55,747.00","£1,082,150.00"
