Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll staff Agency staff (clerical/admin) Headcount,Non-payroll staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll staff Intermin managers Headcount,Non-payroll staff Interim managers Full-time Equivalent,Non-payroll staff Specialist Contractors Headcount,Non-payroll staff Specialist Contractors Full-time Equivalent,Non-payroll staff Consultants/consultancy Headcount,Non-payroll staff Consultants/consultancy Full-time Equivalent,Non-payroll staff Total Employees Headcount,Non-payroll staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,"Non-payroll staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll staff Total cost of consultants/consultancy,Non-payroll staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,248,236.45385,726,707.37759,2145,2095.94569,1091,1057.32754,143,136.21902,39,38.28649,4392,4271.61018,41,41,10,9.4,197,193.31,2,0.4,250,244.11,4642,4515.72018,15191934.18,407084.08,364828.47,66709.31,4233065.62,1771455.34,22035077,1781954.71,-15248.55,1766706.16,23801783.16,None
Criminal Injuries Compensation Authority,Executive Agency,Ministry of Justice,136,124.30382,75,71.13703,78,75.77837,12,9.24324,2,2,0,0,303,282.46246,0,0,0,0,0,0,0,0,0,0,303,282.46246,732081.69,0,0,0,0,0,732081.69,0,0,0,732081.69,None
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,10035,8708.74514,2558,2394.9221,2423,2250.49707,605,590.02301,79,78.2973,1,0.86486,15701,14023.34948,0,2244,0,0,0,49.16,0,0,0,2293.16,15701,16316.50948,29273577.21,382340.44,351411.83,816715.24,7952523.11,2850397.76,41626965.59,6409175.39,2304643.54,8713818.93,50340784.52,None
Legal Aid Agency,Executive Agency,Ministry of Justice,470,435.76783,326,304.92873,293,281.07395,86,85.45195,13,11.07223,0,0,1188,1118.29469,26,26,0,0,0,0,0,0,26,26,1214,1144.29469,3117561.74,14081.96,58315,43981.79,683046.43,268454.12,4185441.04,78565.88,0,78565.88,4264006.92,None
Her Majesty’s Prison & Probation Service,Executive Agency,Ministry of Justice,28914,27487.41383,6007,5773.30736,6146,5868.7663,681,664.67102,64,63.49459,10921,10048.06523,52733,49905.71833,1352.95,1352.95,6,6,1.2,1.2,2,2,1362.15,1362.15,54095.15,51267.86833,117079009.2,15153306.81,307443.21,6949216.95,39665232.39,16578772.97,195732981.5,4381772.39,-73742.46,4308029.93,200041011.4,None
The Office of the Public Guardian,Executive Agency,Ministry of Justice,889,810.43948,390,372.84758,173,165.34891,21,21,4,4,0,0,1477,1373.63597,179,166.8,0,0,0,0,0,0,179,166.8,1656,1540.43597,2531051.08,31796.66,49530.61,144309.34,656545.34,242519.02,3655752.05,480086.67,0,480086.67,4135838.72,None
Children and Family Court Advisory and Support Services,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,1994,1810.375952,1994,1810.375952,61,61,1,1,0,0,0,0,62,62,2056,1872.375952,7830767.56,0,0,0,0,0,7830767.56,506388.88,0,506388.88,8337156.44,None
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,86,79.45,86,79.45,0,0,0,0,0,0,0,0,0,0,86,79.45,347491,0,0,0,0,0,347491,0,0,0,347491,The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,3,2.8,15,14.6,41,40.4,8,7.6,1,1,1,0.4,69,66.8,5,5,0,0,6,6,2,1.1,13,12.1,82,78.9,222135.07,2508.79,200,215.56,51967.17,23015.02,300041.61,92926.55,1680,94606.55,394648.16,None
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,33,30.21,33,30.21,0,0,0,0,0,0,0,0,0,0,33,30.21,213169,0,0,0,0,0,213169,0,1065,1065,214234,None
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,7,6.1,81,78.2,35,33.2,6,5.8,1,1,0,0,130,124.3,3,3,0,0,0,0,1,1,4,4,134,128.3,404442.52,3616.46,3325,1039.59,96433.3,40537.5,549394.37,22738.78,0,22738.78,572133.15,None
Youth Justice Board for England and Wales,Executive Non-Departmental Public Body,Ministry of Justice,4,3.1,13,12.4,40,38.02,33,31.9,2,2,0,0,92,87.42,5,4.2,0,0,0,0,0,0,5,4.2,97,91.62,362962.16,2069.87,600,0,84415.74,37274.11,487321.88,4206.09,0,4206.09,491527.97,None
