Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary (£),Payroll Staff Costs Allowances  (£),Payroll Staff Costs Non-consolidated performance payments  (£),Payroll Staff Costs Overtime  (£),Payroll Staff Costs Employer pension contributions  (£),Payroll Staff Costs Employer national insurance contributions  (£),Payroll Staff Costs Total paybill for payroll staff (£),"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors (£)",Non-payroll Staff Total cost of consultants/consultancy (£),Non-payroll Staff Total non-payroll (CCL) staff costs (£),Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,561,546,713,697,1487,1474,1156,1120,351,349,0,0,4268,4186,60,60,0,0,34,33,6,6,100,99,4368,4285,11113532.03,932233.57,7728.74,222091.9,2513658.91,896300.98,15685546.13,453603.73,137392.61,590996.34,16276542.47,The allowance figure does not include any compensatory allowances paid to staff due to their overseas commitments.
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,35,32.47,19,17.76,14,11.75,9,9,1,1,4,4,82,76,0,0,0,0,0,0,0,0,0,0,82,76,164230,11568,0,8675,35744,13492,233709,942,0,942,234651,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,24,22.11,200,187.68,777,760.21,277,274.72,68,67.2,0,0,1346,1312,83,82.06,97,95.61,0,0,0,0,180,177.67,1526,1490,4136176,853552.62,12525,24029.87,900641.99,308992.07,6235917.55,723367.93,0,723367.93,6959285.48,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,0,0,3,2.5,2,2,1,1,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,20782.42,647.67,0,0,2226.41,2152.22,25808.72,0,0,0,25808.72,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,5,5,10,10,2,2,2,2,0,0,19,19,0,0,0,0,0,0,0,0,0,0,19,19,70667.07,0,0,0,12986.81,6703.92,90357.8,0,0,0,90357.8,
FCO Services,Executive Agency,Foreign and Commonwealth Office,166,164.52,179,174.2,453,440.56,133,132.4,7,6.57,0,0,938,918,47,46.59,11,11,187,185.4,0,0,245,242.99,1183,1161,2669245.62,473133.27,16345,290969.11,532252.78,268398.03,4250343.81,1918149.07,0,1918149.07,6168492.88,
FCO (UKTI),Non-Ministerial Department,Foreign and Commonwealth Office,3,3,5,5,85,85,72,72,25,25,0,0,190,190,0,0,0,0,0,0,0,0,0,0,190,190,717236.62,13919.29,0,0,157623.31,30712.31,919491.53,0,0,0,919491.53,From 1 April 2015 UKTI is separated from the FCO & BIS for reporting purposes. The allowance figure does not include any compensatory allowances paid to staff due to their overseas commitments.
