Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,243,229.92,516,502.68,909,889.70,1485,1458.02,336,329.44,1778,1770.48,"5,267","5,180",5,5,131,127,171,164.3,0,0,307,296.3,"5,574","5,477","£18,513,424.75","£640,331.16","£37,630.86","£109,901.22","£3,894,132.72","£2,189,025.03","£25,384,445.74","£3,232,551.00","£7,351,526.00","£10,584,077.00","£35,968,522.74"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,4,4.00,5,4.80,5,4.80,0,0.00,1,1.00,16,15,0,0,0,0,0,0,0,0,0,0,16,15,"£53,142.55",£166.67,"£1,500.00",£488.99,"£11,693.62","£6,129.71","£73,121.54",£0.00,£0.00,£0.00,"£73,121.54"
Crown Commercial Services,Executive Agency,Cabinet Office,26,24.50,97,91.52,303,291.50,190,179.96,26,23.00,0,0.00,642,610,35,35,0,0,0,0,0,0,35,35,677,645,"£2,066,481.62","£31,289.97",£0.00,£0.00,"£424,361.70","£229,339.71","£2,751,473.00","£259,975.04","£312,142.68","£572,117.72","£3,323,590.72"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,71,67.00,404,370.00,245,230.00,69,68.00,16,16.00,0,0.00,805,751,34,34,0,0,6,2.5,0,0,40,36.5,845,788,"£2,173,490.28","£25,553.31",£0.00,"£21,569.44","£447,534.45","£287,354.42","£2,955,501.90","£83,391.96",£0.00,"£83,391.96","£3,038,893.86"
