Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,969,906.05,932,897.12,1688,1642.22,788,768.46,123,121.14,0,0.00,"4,500","4,335.00",161,157.2,12,12.00,207,207.00,0,0.00,380,376.20,"4,880","4,711.20","£12,499,692.18","£207,868.80","£22,990.79","£83,292.90","£2,425,567.80","£1,049,248.48","£16,288,660.95","£2,669,796.52","£109,935.46","£2,779,731.98","£19,068,392.93",
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,13352,11644.76,2872,2694.00,2480,2304.33,503,489.78,30,30.00,0,0.00,"19,237","17,162.87",(..),774.60,(..),(..),(..),(..),(..),(..),0,774.60,"19,237","17,937.47","£32,173,474.28","£541,751.27","£30,754.58","£236,493.90","£5,712,468.55","£2,123,167.31","£40,818,109.89","£1,300,899.45",(..),"£1,300,899.45","£42,119,009.34",Only Agency FTE available. Agency HC not collected.
National Archives,Executive Agency,Ministry of Justice,175,154.65,119,113.87,255,249.23,61,60.33,6,6.00,0,0.00,616,584.08,3,3.00,0,0.00,11,11.00,0,0.00,14,14.00,630,598.08,"£1,432,125.37","£11,666.89",,"£13,824.27","£259,272.68","£120,567.09","£1,837,456.30","£84,684.54",(..),"£84,684.54","£1,922,140.84",
National Offender Management Service,Executive Agency,Ministry of Justice,31687,30271.96,5886,5653.96,3812,3603.15,591,580.56,36,36.00,0,0.00,"42,012","40,145.64",(..),584.48,(..),12.13,(..),35.04,(..),2,0,633.65,"42,012","40,779.29","£98,087,713.89",£0.00,£0.00,"£3,594,071.86","£17,751,744.83","£7,705,956.12","£127,139,486.70","£2,412,958.16","£6,410.68","£2,419,368.84","£129,558,855.54",Only CCL FTE avaialable. Headcount not collected
The Office of the Public Guardian,Executive Agency,Ministry of Justice,283,266.61,139,131.98,71,69.28,10,9.82,2,1.80,0,0.00,505,479.49,224,168.56,0,0.00,2,2.00,0,0.00,226,170.56,731,650.05,"£843,769.84","£14,950.57","-£25,000.00","£51,562.80","£146,569.88","£55,171.00","£1,087,024.09","£418,823.20",(..),"£418,823.20","£1,505,847.29",Gradual fulfilment of last campaign to convert agency to payroll continues as security clearances complete.
Legal Aid Agency (previously LSC - NDPB),Executive Agency,Ministry of Justice,730,693.56,370,349.92,386,370.65,92,90.97,13,13.00,0,0.00,"1,591","1,518.11",45,39.5,0,0.00,49,48.50,0,0.00,94,88.00,"1,685","1,606.11","£3,762,685.67",(..),(..),"£81,220.13","£601,015.66","£35,212.85","£4,480,134.31","£625,181.80",(..),"£625,181.80","£5,105,316.11",
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,78,70.85,78,70.85,3,3.00,3,3.00,0,0.00,0,0.00,6,6.00,84,76.85,"£201,021.00",£57.00,(..),"£9,776.00","£35,216.00","£17,635.00","£263,705.00","£28,204.00",(..),"£28,204.00","£291,909.00","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles."
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,397,366.10,397,366.10,13,12.20,0,0.00,1,1.00,0,0.00,14,13.20,411,379.30,"£805,838.22","£1,335.49",(..),"£20,283.84","£143,352.30","£56,510.08","£1,027,319.93","£18,744.30",(..),"£18,744.30","£1,046,064.23",
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,14,13.20,16,14.94,24,23.69,12,10.95,3,3.00,1,0.40,70,66.18,4,4.00,0,0.00,0,0.00,0,0.00,4,4.00,74,70.18,"£176,821.37","£1,673.26",£450.00,(..),"£34,264.56","£14,919.51","£228,128.70","£5,860.36",(..),"£5,860.36","£233,989.06",
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,31,30.80,31,30.80,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,31,30.80,"£144,680.08",(..),(..),(..),"£27,917.88","£17,306.05","£189,904.01",(..),(..),£0.00,"£189,904.01","LSB staff are not civil servants, so do not enjoy civil service terms and conditions neither do they have a defined benefit pension provision"
