Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Home Office,Ministerial Department,Home Office,334,312.19,540,520.52,1081,1054.27,731,709.95,121,119.65,4,3.58,2811,2720.15,189,188,0,0,0,0,0,0,189,188,3000,2908.15,"£105,343,000","£10,677,000","£550,000","£570,000","£24,873,000","£10,961,000","£152,974,000","£15,797,000","£37,107,000","£52,904,000","£205,878,000",
Criminal Records Bureau,Executive Agency,Home Office,340,309.48,188,176.61,114,111.47,23,22,3,3,0,0,668,622.57,0,0,0,0,0,0,0,0,0,0,668,622.57,"£16,052,000","£373,000","£13,000","£113,000","£2,476,000","£974,000","£20,001,000","£1,580,000",,"£1,580,000","£21,581,000",
Identity & Passport Service,Executive Agency,Home Office,2289,1978.32,958,841.14,530,516.9,152,150.21,15,14.9,0,0,3944,3501.46,14,14,0,0,0,0,0,0,14,14,3958,3515.46,"£86,557,000","£1,101,000","£1,724,000","£222,000","£15,757,000","£6,241,000","£111,602,000","£2,874,000","£8,044,000","£10,918,000","£122,520,000",
UK Border Agency,Executive Agency,Home Office,7092,6520.74,9270,8765.74,4603,4423.51,721,704.59,65,64.2,1,1,21752,20479.78,170,170,0,0,0,0,0,0,170,170,21922,20649.78,"£584,023,000","£112,524,000","£2,761,000","£22,856,000","£118,252,000","£50,030,000","£890,446,000","£14,752,000","£15,630,000","£30,382,000","£920,828,000",
OTHER,OTHER,Home Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,39,39,39,39,"£2,222,000",,"£78,000","£2,000","£438,000","£2,010,000","£4,750,000","£539,000","£26,000","£565,000","£5,315,000",
Independent Police Complaints Commission,Executive Non-Departmental Public Body,Home Office,38,36,39,35,303,300.67,33,31.91,6,6,13,13,432,422.58,3,3,17,17,1,1,0,0,21,21,453,443.58,"£14,874,074","£750,363",,"£243,780","£2,954,040","£1,288,535","£20,110,791","£895,216",,"£895,216","£21,006,008",
Independent Safeguarding Authority,Executive Non-Departmental Public Body,Home Office,50.5,47.4,37.3,35.4,167.8,163,12.9,12.7,2,2,11,10.7,281.5,271.2,10,10,0,0,5.3,5.3,1,0,16.3,15.3,297.8,286.5,"£7,191,257","£37,838","£191,737","£130,075","£1,260,816","£568,648","£9,380,371","£861,885","£7,080","£868,965","£10,249,336",
National Policing Improvement Agency,Executive Non-Departmental Public Body,Home Office,77,73.24,229,224.03,725,710.49,395,388.33,26,26,47,46.1,1499,1468.18,8,8,0,0,45,45,0,0,53,53,1552,1521.18,"£55,580,903","£1,381,630",,"£645,991","£11,156,224","£4,870,951","£73,635,698","£8,981,839","£2,120,716","£11,102,555","£84,738,253",
Office of the Immigration Services Commissioner,Executive Non-Departmental Public Body,Home Office,14,12.6,7,7,36,35,2,1.8,1,0.6,0,0,60,57,0,0,0,0,0,0,0,0,0,0,60,57,"£1,950,550","£5,342",,£153,"£356,610","£154,804","£2,467,459",,,£0,"£2,467,459",
Security Industry Authority,Executive Non-Departmental Public Body,Home Office,43,41.8,21,21,85,84.4,19,19,4,4,6,6,178,176.2,10,10,7,7,0,0,0,0,17,17,195,193.2,"£5,975,049","£475,830","£39,092","£22,443","£1,158,846","£510,955","£8,182,214","£1,978,633",,"£1,978,633","£10,160,847",
Serious Organised Crime Agency,Executive Non-Departmental Public Body,Home Office,331,309.9,1440,1412.9,1733,1709.4,291,286.5,28,27.8,4,2.1,3827,3748.6,51,51,47,46.8,28,26,0,0,126,123.8,3953,3872.4,"£142,269,686","£11,928,366","£719,840","£12,860,089","£30,480,739","£13,798,905","£212,057,625","£11,265,852",,"£11,265,852","£223,323,477",
