,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other,Fast Streamers -BEIS paid,  unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total costs,Comments,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",92,87.51,441,430.46,2122,2091.66,2185,2123.67,298,284.08,105,76.25,5243,5093.63,7,7,0,0,54,47.6,9,2.26,70,56.86,"5,313","5,150.49","£20,995,045.14","£997,888.69","£236,364.29","£82,692.72","£5,704,026.27","£2,540,974.57","£30,556,991.68","-£100,646.00","£3,426,291.00","£3,325,645.00","£33,882,636.68",,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",56,49.79,342,321.52,566,526.52,53,48.56,6,6.00,,,1023,952.39,19,19,5,5,,,14,14,38,38.00,"1,061",990.39,"£2,502,826.68","£26,885.49",£550.00,"£8,982.55","£667,687.52","£248,573.86","£3,455,506.10",,,£0.00,"£3,455,506.10",,,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1461.5,1434.30,122,140.65,29,27.80,0,0.00,0,0.00,0,0,1612.5,1602.75,0,0,0,0,0,0,0,0,0,0.00,"1,613","1,602.75","£4,858,312.46","£123,889.73","£21,078.63","£488,126.08","£908,682.12","£610,104.13","£7,010,193.15",£0.00,£0.00,£0.00,"£7,010,193.15",,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",13,11.80,26,25.20,167,163.00,59,58.80,2,2.00,0,0,267,260.80,7,7,0,0,0,0,0,0,7,7.00,274,267.80,"£835,696.31","£16,075.09","£5,725.54",£180.32,"£225,837.36","£91,145.93","£1,174,660.55","£124,139.78",£0.00,"£124,139.78","£1,298,800.33",,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1.00,1,1.00,12,11.00,18,16.83,5,4.90,0,0,37,34.73,,,,,,,,,0,0.00,37,34.73,"£154,776.00",£0.00,£0.00,£0.00,"£39,804.00","£19,368.00","£213,948.00",,,£0.00,"£213,948.00",,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",454,396.69,286,270.08,288,277.41,70,69.03,6,6.00,0,0,1104,1019.21,6,6,0,0,40,40,0,0,46,46.00,"1,150","1,065.21","£2,469,407.07","£30,769.07","£1,228.52","£50,026.29","£669,994.09","£240,017.01","£3,461,442.05","£13,236.00","£342,090.00","£355,326.00","£3,816,768.05",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,0,0.00,4,3.72,7,7.00,0,0.00,1,1,17,16.72,0,0,0,0,0,0,2,2,2,2.00,19,18.72,"£69,675.69",£216.66,£0.00,£0.00,"£19,487.53","£7,649.61","£97,029.49",£0.00,"£3,000.00","£3,000.00","£100,029.49",,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1603,1515.48,2146,1864.73,1954,1753.80,268,251.47,26,25.97,0,0,5997,5411.45,0,0,55,55,0,0,0,0,55,55.00,"6,052","5,466.45","£13,688,822.35","£194,918.10",£0.00,"£1,502,469.06","£3,686,980.41","£11,857,758.15","£30,930,948.07","£290,856.78","£193,377.42","£484,234.20","£31,415,182.27",,,
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",561,525.39,199,188.41,778,746.17,145,142.02,9,9.00,0,0,1692,1611.00,72,72,0,0,6,6,0,0,78,78.00,"1,770","1,689.00","£4,371,153.40","£16,181.60","£21,000.00","£8,554.17","£1,190,461.86","£457,087.51","£6,064,438.54","£499,222.10",£0.00,"£499,222.10","£6,563,660.64",,,
