Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Justice,Ministerial Department,Ministry of Justice,1085,1016.50,832,800.40,1613,1562.76,828,799.26,126,122.77,0,0.00,"4,484","4,301.69",173.9,173.90,18,18.00,166.5,166.50,0,0.00,358.4,358.40,"4,842","4,660.09","£12,846,916.45","£191,319.14","£204,388.40","£74,547.77","£2,421,509.51","£1,135,593.12","£16,874,274.39","£3,108,696.40","£98,272.84","£3,206,969.24","£20,081,243.63",,"Agency headcount not available.
Internal Audit (Nov 12) resulted in changes to paybill costs having to be submitted."
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,14567,12722.13,3820,3553.64,3029,2823.71,730,712.97,42,42.00,0,0.00,"22,188","19,854.45",332.2,332.20,0,0.00,0,0.00,0,0.00,332.2,332.20,"22,520","20,186.65","£37,901,943.44","£461,901.46","£147,041.69","£268,631.00","£6,568,219.87","£2,532,417.66","£47,880,155.12","£615,277.65",-£10.00,"£615,267.65","£48,495,422.77",,Not able to provide breakdown of contingent workers.  Where not known placed in Agency column. Agency headcount not available
Land Registry,Non-Ministerial Department,Ministry of Justice,312,275.39,2598,2270.51,2088,1931.46,194,182.29,23,22.41,0,0.00,"5,215","4,682.06",,,2,2.00,(..),(..),(..),(..),2,2.00,"5,217","4,684.06","£10,872,971.14","£211,361.86","£1,608.10","£30,827.19","£2,119,967.65","£812,768.29","£14,049,504.23","£13,000.14","£95,550.07","£108,550.21","£14,158,054.44",,
National Archives,Executive Agency,Ministry of Justice,189,169.46,122,117.30,241,233.33,60,59.11,6,6.00,0,0.00,618,585.20,10,8.80,0,0.00,4,4.00,0,0.00,14,12.80,632,598.00,"£1,447,895.68","£4,984.36",£0.00,"£13,730.42","£266,790.21","£122,513.04","£1,855,913.71","£34,647.49",(..),"£34,647.49","£1,890,561.20",,
National Offender Management Service,Executive Agency,Ministry of Justice,36570,35039.72,7414,7118.25,3375,3150.31,701,681.55,46,46.00,(..),(..),"48,106","46,035.84",349,349.00,(..),(..),(..),(..),(..),(..),349,349.00,"48,455","46,384.84","£108,983,515.34",£0.00,£0.00,"£872,148.78","£19,655,506.63","£8,228,491.39","£137,739,662.14","£2,032,775.92",(..),"£2,032,775.92","£139,772,438.06",,Not able to provide breakdown of contingent workers. New system of data collection to capture the detail required is being developed. Where not known placed in Agency column. Also unable to separate allowances and bonus payments from main payroll data.
The Office of the Public Guardian,Executive Agency,Ministry of Justice,249,230.47,107,101.15,62,61.03,11,10.74,2,1.78,0,0.00,431,405.17,215,148.00,0,0.00,0,0.00,0,0.00,215,148.00,646,553.17,"£835,413.18","£19,073.47","£2,000.00","£43,638.17","£127,525.07","£65,735.72","£1,093,385.61","£234,058.15",(..),"£234,058.15","£1,327,443.76",,Not able to provide breakdown of contingent workers.  Where not known placed in Agency column.
UK Supreme Court,Non-Ministerial Department,Ministry of Justice,5,5.00,17,16.60,18,18.00,7,6.47,2,2.00,0,0.00,49,48.07,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,49,48.07,"£129,623.00",£206.43,£0.00,£579.06,"£25,369.48","£11,444.16","£167,222.13",(..),(..),£0.00,"£167,222.13",,
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,77,70.48,77,70.48,2,2.00,(..),(..),(..),(..),(..),(..),2,2.00,79,72.48,"£201,975.00",£33.00,(..),£825.00,"£39,584.00","£16,334.00","£258,751.00","£3,634.00",(..),"£3,634.00","£262,385.00","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles.",
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,347,321.29,347,321.29,4,3.54,0,0.00,0,0.00,0,0.00,4,3.54,351,324.83,"£703,997.00","£1,335.00",£0.00,"£5,042.00","£128,286.00","£46,348.00","£885,008.00","£7,268.00",(..),"£7,268.00","£892,276.00",,
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,12,12.00,19,18.20,28,27.60,15,14.40,4,4.00,1,0.60,79,76.80,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,79,76.80,"£227,716.00","£1,933.00",(..),(..),"£42,930.00","£18,466.00","£291,045.00",(..),(..),£0.00,"£291,045.00",,
