Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,1003,930.82,917,882.54,1601,1554.65,768,745.28,121,118.66,0,0.00,"4,410","4,231.94",175,173.09,13,13.00,190,188.25,0,0.00,378,374.34,"4,788","4,606.28","£12,679,529.10","£268,530.71","£47,037.04","£53,356.15","£2,487,314.16","£1,108,499.14","£16,644,266.30","£2,711,836.18","£482,095.37","£3,193,931.55","£19,838,197.85",
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,13646,11928.34,3035,2833.85,2490,2310.16,640,623.50,34,33.97,0,0.00,"19,845","17,729.83",(..),505.20,0,0.00,0,0.00,0,0.00,0,505.20,"19,845","18,235.03","£33,880,791.51","£588,590.78","£100,396.91","£388,678.62","£6,029,868.53","£2,268,438.73","£43,256,765.08","£1,409,755.15",£0.00,"£1,409,755.15","£44,666,520.23",Agency data by FTE provided. By HC not collected.
National Archives,Executive Agency,Ministry of Justice,196,175.23,128,122.53,262,254.09,61,60.16,6,6.00,0,0.00,653,618.01,8,6.60,0,0.00,16,15.00,0,0.00,24,21.60,677,639.61,"£1,526,157.72","£10,669.79","£7,800.00","£16,942.91","£275,970.42","£131,487.80","£1,969,028.64","£88,796.37",£0.00,"£88,796.37","£2,057,825.01",
National Offender Management Service,Executive Agency,Ministry of Justice,34108,32540.24,6278,6001.71,3677,3443.51,612,596.51,38,37.88,0,0.00,"44,713","42,619.85",(..),294.83,0,0.00,9,9.00,4,4.00,13,307.83,"44,726","42,927.68","£105,691,642.97",£0.00,£0.00,"£4,691,546.87","£19,795,167.65","£8,543,039.92","£138,721,397.41","£2,548,696.91","£14,565.56","£2,563,262.47","£141,284,659.88",Agency Headcount not collected only FTE available
The Office of the Public Guardian,Executive Agency,Ministry of Justice,283,267.69,142,134.94,64,62.09,10,9.80,1,0.78,0,0.00,500,475.29,180,136.61,0,0.00,0,0.00,0,0.00,180,136.61,680,611.90,"£829,311.21","£22,913.87","£15,330.00","£33,812.97","£135,968.91","£62,543.76","£1,099,880.72","£280,703.38",£0.00,"£280,703.38","£1,380,584.10",Campaign to move roles from agency to FTC has commenced.
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,72,66.38,72,66.38,2,2.00,0,0.00,0,0.00,0,0.00,2,2.00,74,68.38,"£247,411.00",£57.00,£0.00,£0.00,"£35,627.00","£19,413.00","£302,508.00","£7,402.00",£0.00,"£7,402.00","£309,910.00","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles."
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,362,337.69,362,337.69,23,22.40,0,0.00,0,0.00,0,0.00,23,22.40,385,360.09,"£766,365.36",£857.73,£0.00,"£5,459.19","£137,561.78","£53,057.93","£963,301.99","£80,027.90","£2,000.00","£82,027.90","£1,045,329.89",Agency data revised
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,11,11.00,19,18.00,25,24.69,13,12.20,3,3.00,1,0.40,72,69.29,,0.00,0,0.00,0,0.00,0,0.00,0,0.00,72,69.29,"£191,657.46","£2,148.12",£300.00,£0.00,"£35,960.95","£16,411.45","£246,477.98",,£0.00,£0.00,"£246,477.98",
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,29,28.80,29,28.80,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,29,28.80,"£136,276.44",£0.00,£0.00,£0.00,"£30,275.01","£16,337.03","£182,888.48",,£0.00,£0.00,"£182,888.48","LSB staff are not civil servants, so do not enjoy civil service terms and conditions neither do they have a defined benefit pension provision"
Legal Services Commission,Executive Non-Departmental Public Body,Ministry of Justice,798,754.44,265,255.21,398,380.57,112,110.27,19,12.60,0,0.00,"1,592","1,513.09",32,30.10,0,0.00,73,71.70,0,0.00,105,101.80,"1,697","1,614.89","£3,435,557.91",,,"£64,896.32",,"£276,564.47","£3,777,018.70","£1,024,995.56",£0.00,"£1,024,995.56","£4,802,014.26",
