Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll staff Agency staff (clerical/admin) Headcount,Non-payroll staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll staff Intermin managers Headcount,Non-payroll staff Interim managers Full-time Equivalent,Non-payroll staff Specialist Contractors Headcount,Non-payroll staff Specialist Contractors Full-time Equivalent,Non-payroll staff Consultants/consultancy Headcount,Non-payroll staff Consultants/consultancy Full-time Equivalent,Non-payroll staff Total Employees Headcount,Non-payroll staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,"Non-payroll staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll staff Total cost of consultants/consultancy,Non-payroll staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,239,227.90363,706,687.35241,2122,2069.16842,1084,1049.09607,139,133.3048,45,44.28649,4335,4211.11182,38,38,10,9.4,245,241.54,2,0.4,295,289.34,4630,4500.45182,12768870.92,390064.16,85696.09,61319.67,3797465.93,1548434,18651850.77,3226035.22,290334.28,3516369.5,22168220.27,None
Criminal Injuries Compensation Authority,Executive Agency,Ministry of Justice,140,128.18003,68,64.36703,77,74.69729,12,9.35135,2,2,0,0,299,278.5957,0,0,0,0,0,0,0,0,0,0,299,278.5957,732457.73,0,0,0,0,0,732457.73,0,0,0,732457.73,None
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,10048,8705.77531,2497,2334.83846,2423,2250.12941,591,576.27812,75,74.17825,1,0.86486,15635,13942.06441,0,2200.85,0,0,0,54.28,0,0,0,2255.13,15635,16197.19441,28861675.89,409243.39,68670,759077.01,7770757.21,2718373.69,40587797.19,6649503.38,1097088.47,7746591.85,48334389.04,None
Legal Aid Agency,Executive Agency,Ministry of Justice,480,446.72881,327,306.87346,292,281.45347,90,89.45195,11,9.55,0,0,1200,1134.05769,31,31,0,0,0,0,0,0,31,31,1231,1165.05769,3225345.74,15767.35,20805,2319.38,695954.13,300187.47,4260379.07,46480.09,0,46480.09,4306859.16,None
Her Majesty’s Prison & Probation Service,Executive Agency,Ministry of Justice,28243,26877.89326,6322,6066.823,6003,5736.01995,662,645.45646,65,64.29954,10810,9943.80433,52105,49334.29654,1393.57,1393.57,0,0,1.2,1.2,2,2,1396.77,1396.77,53501.77,50731.06654,110727585,13005413.77,262126.07,4552554.05,32541005.84,13074432.77,174163117.5,4961624.15,428645.47,5390269.62,179553387.1,None
The Office of the Public Guardian,Executive Agency,Ministry of Justice,867,787.85273,397,377.94431,166,160.07026,25,24.5,4,4,0,0,1459,1354.3673,191,176.1,0,0,0,0,0,0,191,176.1,1650,1530.4673,2564727.27,24425,18960,319423.6,639380.25,245539.59,3812455.71,486801.02,0,486801.02,4299256.73,None
Children and Family Court Advisory and Support Services,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,1962,1783.747574,1962,1783.747574,57,57,0,0,0,0,0,0,57,57,2019,1840.747574,7768748.31,0,0,0,0,0,7768748.31,409585.06,0,409585.06,8178333.37,None
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,82,76.69,82,76.69,0,0,0,0,0,0,0,0,0,0,82,76.69,358314,0,875,0,0,0,359189,0,0,0,359189,The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,3,2.8,18,17.2,37,36.4,8,7.6,1,1,1,0.4,68,65.4,12,12,0,0,0,0,2,1.1,14,13.1,82,78.5,233816.99,2585.6,4770,1775.93,51617.44,23171.04,317737,49969.91,2016,51985.91,369722.91,None
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,33,29.63,33,29.63,0,0,0,0,0,0,0,0,0,0,33,29.63,208814,0,0,0,0,0,208814,0,3225,3225,212039,None
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,9,8.1,81,78.7,31,30.1,6,5.8,1,1,0,0,128,123.7,11,10.4,0,0,0,0,0,0,11,10.4,139,134.1,302186.84,3893.2,0,-4874.49,74259.63,26632.52,402097.7,23677.62,0,23677.62,425775.32,None
Youth Justice Board for England and Wales,Executive Non-Departmental Public Body,Ministry of Justice,6,5.1,11,10.4,42,40.02,32,30.1,2,2,0,0,93,87.62,0,0,0,0,0,0,0,0,0,0,93,87.62,330638.53,3658.63,1850,0,76795.01,35462.75,448404.92,0,0,0,448404.92,None
