Year,Month,Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: Published alongside your row of information)",,,,,,,,,
,,,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, unspecified",,"Total
Employees",,Agency staff ,,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,,,,,,,
,,,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,,,,,,,
2021,April,Department for Education,Ministerial Department,Department for Education,90,84.4,816,787.6,"2,682","2,596.5","2,074","1,989.7",199,191.1,7,6.8,"5,868",5656,45,45.0,,,122,121.0,,,167,166,"6,035","5,822","£19,178,314.55","£546,597.34","£171,738.60","£108,334.58","£5,650,216.93","£2,453,569.81","£28,108,771.81","£3,039,661.66","£319,815.94","£3,359,477.60","£31,468,249.41",Please note we are unable to split the contingent labour by interims or specialist contractors. Consultants/Consultancy cannot be measured in HC or FTE. ,,,,,,,,,
2021,April,Education & Skills Funding Agency ,Executive Agency,Department for Education,24,22.6,188,181.7,993,961.4,568,552.7,50,48.4,,,"1,823",1767,,,,,18,18.0,,,18,18,"1,841","1,785","£5,224,584.99","£76,758.53","£540,105.00","£7,131.67","£1,673,854.81","£786,882.07","£8,309,317.07","£103,655.47","£50,849.87","£154,505.34","£8,463,822.41",,,,,,,,,,
2021,April,Teaching Regulation Authority,Executive Agency,Department for Education,10,10.0,28,26.9,27,25.5,7,6.7,1,1.0,,,73,70,2,2.0,0,0.0,0,0.0,0,0.0,2,2,75,72,"£190,515.85","£1,709.13",£0.00,£263.71,"£48,352.72","£18,959.58","£259,800.99","£3,870.77",£0.00,"£3,870.77","£263,671.76",,,,,,,,,,
2021,April,Standards and Testing Agency,Executive Agency,Department for Education,0,0.0,6,6.0,33,31.6,17,16.7,3,3.0,,,59,57,,,,,1,1.0,,,1,1,60,58,"£187,910.47","£1,006.87","-£4,800.00",£0.00,"£53,079.40","£21,396.51","£258,593.25",-£691.81,£0.00,-£691.81,"£257,901.44",,,,,,,,,,
2021,April,The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,,,4,4.0,12,11.4,8,7.6,5,5.0,,,29,28,1,1.0,,,,,,,1,1,30,29,"£124,606.10","£3,580.70",,,"£35,240.62","£14,594.57","£178,021.99","£5,095.20",,"£5,095.20","£183,117.19",,,,,,,,,,
2021,April,Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,56,49.8,358,353.5,232,229.5,18,17.8,4,4.0,1,0.2,669,655,1,1.0,2,2.0,,,,,3,3,672,658,"£2,050,529.59","£150,018.53",,"£2,401.31","£152,098.47","£218,540.06","£2,573,587.96","£83,597.28",,"£83,597.28","£2,657,185.24",,,,,,,,,,
2021,April,Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,9,9,35,34.8,30,28.6,4,4,,,,,78,76,,,,,1,0.6,2,0.3,3,1,81,77,"£298,005.00","£36,879.00","£78,571.00",£0.00,"£42,372.00","£36,753.00","£492,580.00","£10,200.00","£4,125.00","£14,325.00","£506,905.00",,,,,,,,,,
2021,April,Office for Students,Executive Non-Departmental Public Body,Department for Education,18,17.2,10,9.1,187,171.5,144,133.7,41,39.1,,,400,371,0,0.0,,,0,0.0,,,0,0,400,371,"£1,400,103.00","£18,142.00",£0.00,£0.00,"£378,025.00","£141,422.00","£1,937,692.00","£2,034.00",,"£2,034.00","£1,939,726.00",,,,,,,,,,
2021,April,Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,"1,978","1,866.4","1,058","1,027.1",266,261.5,27,26.8,7,7.0,0,0.0,"3,336",3189,0,0.0,0,0.0,14,14.0,0,0.0,14,14,"3,350","3,203","£6,919,802.41","£175,851.37","£65,723.40","£200,206.51","£1,282,589.46","£670,670.15","£9,314,843.30","£160,248.81",£0.00,"£160,248.81","£9,475,092.11",,,,,,,,,,
2021,April,Institute for Apprenticeships and Technical Education,Executive Non-Departmental Public Body,Department for Education,3,3.0,9,9.0,83,82.0,117,115.9,10,9.8,,,222,220,5,5.0,,,,,,,5,5,227,225,"£910,454.85",,,,"£251,676.07","£102,940.66","£1,265,071.58","£22,714.78",,"£22,714.78","£1,287,786.36",,,,,,,,,,
2021,April,LocatEd,Executive Non-Departmental Public Body,Department for Education,,,,,,,,,2,2.0,51,50.4,53,52,,,,,,,,,0,0,53,52,"£308,535.20",,,,"£14,906.82","£32,694.93","£356,136.95",,,£0.00,"£356,136.95",,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
