Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Foreign, Commonwealth & Development Office",Ministerial Department,"Foreign, Commonwealth & Development Office",481,467.78,748,725.77,2777,2739.44,3023,2960.183333,546,539.6777778,35,35,"7,610","7,468",62,62,0,0,33,32.29,7,6.44,102,100.73,"7,712","7,569","£32,898,289.25","£1,407,336.81","£365,507.00","£342,722.46","£8,904,795.02","£3,228,938.24","£47,147,588.78","£2,414,979.08","£241,871.47","£2,656,850.55","£49,804,439.33",
Wilton Park Executive Agency,Executive Agency,"Foreign, Commonwealth & Development Office",24,21.28,31,28.06,22,20.19,12,11.51,1,1,0,0,90,82,0,0,0,0,0,0,0,0,0,0,90,82,"£234,697.07","£8,288.20",£0.00,£0.00,"£64,931.16","£24,272.90","£332,189.33",£0.00,£0.00,£0.00,"£332,189.33",
British Council,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",10,10,165,158.01,734,708.82,322,314.27,99,98,0,0,"1,330","1,289",76,31.56,11,6.16,0,0,0,0,87,37.72,"1,417","1,327","£4,559,792.95","£755,996.35",£0.00,"£15,899.87","£1,265,935.90","£436,184.03","£7,033,809.10","£1,386,864.56",£0.00,"£1,386,864.56","£8,420,673.66",
Great Britain - China Centre,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,1,1,5,5,3,2.125,1,1,0,0,10,9,0,0,1,1,0,0,0,0,1,1,11,10,"£30,078.84",£0.00,£0.00,£0.00,"£1,838.57","£3,115.59","£35,033.00",£0.00,£0.00,£0.00,"£35,033.00",
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,8,7.3,24,24,19,18.2,3,3,0,0,54,53,2,2,0,0,0,0,0,0,2,2,56,55,"£181,015.50",£0.00,£0.00,£0.00,"£47,630.84","£17,908.34","£246,554.68","£3,438.93",£0.00,"£3,438.93","£249,993.61",
FCDO Services,Executive Agency,"Foreign, Commonwealth & Development Office",132,130.19,217,211.72,445,436.01,221,199.14,6,6,50,50,"1,071","1,033",14,14,3,3,112,106.26,0,0,129,123.26,"1,200","1,156","£3,193,910.03","£621,665.91","£39,416.00","£198,241.93","£862,575.28","£365,498.60","£5,281,307.75","£1,111,633.59",£0.00,"£1,111,633.59","£6,392,941.34",
Independent Commission for Aid Impact,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,0,0,0,0,0,0,0,0,10,6,10,6,0,0,0,0,0,0,0,0,0,0,10,6,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
Commonwealth Scholarship Commission,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
