Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,951,888.98,891,858.77,1639,1596.09,744,730.65,108,105.79,0,0.00,"4,333","4,180.29",155,148.54,12,11.60,193,193.00,0,0.00,360,353.14,"4,693","4,533.43","£13,309,021","£131,443","£724,832","£66,602","£2,508,910","£1,156,967","£17,897,775","£2,676,410","£1,909,221","£4,585,631","£22,483,406",
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,13227,11549.61,2863,2685.11,2435,2262.34,519,506.88,30,30.00,0,0.00,"19,074","17,033.94",(..) ,842.80,(..) ,(..) ,(..) ,(..) ,(..) ,(..) ,0,842.80,"19,074","17,876.74","£32,949,571","£435,729","£87,369","£198,396","£5,770,278","£2,274,484","£41,715,828","£1,776,102",(..) ,(..) ,"£41,715,828",Only Agency FTE available. Agency HC not collected.
National Archives,Executive Agency,Ministry of Justice,176,155.84,123,117.65,259,252.77,60,59.33,5,5.00,0,0.00,623,590.59,2,2.00,(..) ,(..) ,10,9.20,(..) ,(..) ,12,11.20,635,601.79,"£1,485,481.05","£12,908.00",(..) ,"£10,084.46","£262,923.56","£122,193.65","£1,893,591","£72,600",(..) ,(..) ,"£1,893,591",
National Offender Management Service,Executive Agency,Ministry of Justice,28497,27154.61,6234,6025.13,5115,4897.02,592,581.40,36,36.00,0,0.00,"40,474","38,694.17",(..) ,875.96,(..) ,9.01,(..) ,32.54,(..) ,(..) ,0,917.51,"40,474","39,611.68","£91,728,285",£0,£0,"£4,291,588","£17,181,117","£7,161,179","£120,362,169","£3,292,980","-£86,341",(..) ,"£120,362,169",CCL staff only collected as FTE. Headcount not available.
The Legal Aid Agency (formerly LSC),Executive Non-Departmental Public Body,Ministry of Justice,690,651.28,383,362.94,370,356.93,75,74.06,12,12.00,0,0.00,"1,530","1,457.21",35,35.00,(..) ,(..) ,42,42.00,(..) ,(..) ,77,77.00,"1,607","1,534.21","£3,617,133","£55,963",£0,"£94,732","£569,274","£287,314","£4,624,415","£622,319",(..) ,(..) ,"£4,624,415",
The Office of the Public Guardian,Executive Agency,Ministry of Justice,334,315.60,142,135.18,75,73.39,10,9.82,2,1.80,0,0.00,563,535.79,186,124.85,0,0.00,2,2.00,0,0.00,188,126.85,751,662.64,"£963,739","£15,209","£39,350","£40,720","£164,716","£70,124","£1,293,859","£415,640",(..) ,(..) ,"£1,293,859",
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,79,72.64,79,72.64,0,0.00,1,1.00,(..) ,(..) ,(..) ,(..) ,1,1.00,80,73.64,"£203,020",£57,£0,£0,"£36,258","£16,554","£255,889","£4,220",£0,"£4,220","£260,109","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles."
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,391,362.59,391,362.59,19,18.20,0,0.00,1,1.00,0,0.00,20,19.20,411,381.79,"£807,823","£1,335",£0,"£3,768","£145,006","£54,644","£1,012,577","£31,905",(..) ,(..) ,"£1,012,577",
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,15,14.54,17,15.94,24,23.69,11,9.95,2,2.00,1,0.40,70,66.52,6,5.90,(..) ,(..) ,(..) ,(..) ,(..) ,(..) ,6,5.90,76,72.42,"£202,128","£1,186","£8,800",£0,"£33,081","£15,098","£260,292","£16,695",(..) ,(..) ,"£260,292",
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,32,31.80,32,31.80,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,32,31.80,"£144,955",£0,£0,£0,"£28,268","£17,257","£190,480",£0,£0,£0,"£190,480","LSB staff are not civil servants, so do not enjoy civil service terms and conditions neither do they have a defined benefit pension provision"
