"The information requested below relates to non-consolidated performance related payments (NCPRP) for the performance year 2024/25 only. 
Please read the guidance tab before completing this template.",,,,,NB: Main departments should co-ordinate returns for relevant agencies in scope for this exercise and publish one file that contains a row of information for each organisation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation name,Main/Sponsor Department,Please enter information below relating to delegated grades only,,,,,,,,,,,,,,"SCS on standard contracts -
please enter information below relating to SCS staff on standard contracts only",,,,,,,,,,,,,,Information for SCS on non-standard terms,,,"Comments
(Please enter any clarifying notes and comments in this field)"
,,"Annual Paybill 
(delegated grades
for financial year 2023/24)","Headcount 
(delegated grades as at 31 March 2024)",In-year,,,,,End of Year,,,,,Total,,Annual SCS Paybill (for those on standard contracts for financial year 2023/24),"Headcount 
(SCS on standard contracts as at 31 March 2024)",In-year,,,,,End of Year,,,,,Total,,,,,
,,,,"Cost of in-year NCPRP for delegated grades
(£s)",Number of staff in delegated grades receiving an in-year payment (not the number of payments),Delegated grade staff receiving an in-year payment as a % of headcount,Value of the maximum in-year payment made to a member of staff in a delegated grade,Value of the median in-year payment made to delegated grades,"Cost of end of year NCPRP for delegated grades
(£s)",Number of staff in delegated grades receiving an end of year payment,Delegated grade staff receiving an end of year payment as a % of headcount,Value of the maximum end of year payment to a member of staff in a delegated grade,Value of the median end of year payment to staff in delegated grades,"Total cost of NCPRP for delegated grades
",Cost of NCPRP as a % of paybill for delegated grades,,,"Cost of in-year NCPRP for SCS standard contract staff
(£s)",Number of SCS standard contract staff receiving an in-year payment (not the number of payments),SCS standard contract staff receiving an in-year payment as a % of headcount,Value of the maximum in-year payment to a member of SCS standard contract staff,Value of the median in-year payment to SCS standard contract staff,"Cost of end of year NCPRP for SCS standard contract staff
(£s)",Number of SCS standard contract staff receiving an end of year payment,SCS standard contract staff receiving an end of year payment as a % of headcount,Value of the maximum end of year payment o a member of SCS standard contract staff,Value of the median end of year payment to SCS standard contract staff,"Total cost of NCPRP for SCS on standard contracts
",Cost of NCPRP as a % of paybill for SCS on standard contracts,Headcount (SCS on non-standard performance pay terms as at 31 March 2024),Value of maximum in-year payment to a member of SCS on non-standard performance pay terms,Value of maximum end of year payment to a member of SCS on non-standard performance pay terms,
Cabinet Office,Cabinet Office,"£292,979,685",6169,"£1,326,977",5835,94.60%,"£1,000",£200,"£2,841,272",5607,90.90%,"£1,814","£1,502","£4,168,249",1.40%,"£53,510,326",313,"£284,000",71,22.70%,"£4,000","£4,000","£868,000",114,36%,"£11,000","£7,000","£1,152,000",2.20%,0,£0,£0,
Crown Commercial Service,Cabinet Office,"£41,625,130",667,"£7,500",15,2.20%,£500,£500,"£589,438",297,44.50%,"£3,150","£1,575","£596,938",1.40%,"£2,979,909",24,£0,0,0.00%,£0,£0,"£39,150",6,25%,"£9,000","£7,000","£39,150",1.30%,0,£0,£0,
Government Property Agency,Cabinet Office,"£26,349,751",362,"£70,775",223,61.60%,£750,£150,"£216,000",192,53.00%,"£1,500","£1,000","£286,775",1.10%,"£4,163,475",30,"£28,000",7,23.30%,"£4,000","£4,000","£21,000",3,10%,"£7,000","£7,000","£49,000",1.20%,0,£0,£0,
Government Commercial Organisation - CS terms,Cabinet Office,"£60,837,957",690,"£259,310",314,45.50%,"£3,000",£500,"£845,046",482,69.90%,"£3,500","£1,500","£1,104,356",1.80%,"£10,854,944",72,"£34,000",9,12.50%,"£5,000","£4,000","£246,004.83",50,69.40%,"£9,750.00","£3,000","£280,005",2.60%,,,,
Government Commercial Organisation - GCO terms,Cabinet Office,"£64,769,000",679,£0,,0.00%,,,"£3,970,997",530,78.10%,"£15,598.73","£7,498.76","£3,970,997",6.10%,,,,,#DIV/0!,,,,,#DIV/0!,,,£0,#DIV/0!,158,£0,"£100,221","Everyone in this row is on non-standard terms. GCO operate a second set of terms & conditions. 

At present, those on these terms, are not entitled to in year awards regardless of their grade. 

At delegated grade, their performance can equate to up to 15% of the base salary as of 31/03 of the performance year. 

At SCS grades, their performance can equate to up to 20% of their base salary based on the salary as of 31/03 of the performance year. 

Please note that individuals can switch from standard (CS terms) to GCO terms. However switching the other way is not possible. "
