Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll staff Agency staff (clerical/admin) Headcount,Non-payroll staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll staff Intermin managers Headcount,Non-payroll staff Interim managers Full-time Equivalent,Non-payroll staff Specialist Contractors Headcount,Non-payroll staff Specialist Contractors Full-time Equivalent,Non-payroll staff Consultants/consultancy Headcount,Non-payroll staff Consultants/consultancy Full-time Equivalent,Non-payroll staff Total Employees Headcount,Non-payroll staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,"Non-payroll staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll staff Total cost of consultants/consultancy,Non-payroll staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,316,302.48968,799,775.99089,2521,2462.13945,1344,1307.17853,156,150.48921,29,29,5165,5027.28776,12,11.4,5,5,193,188.51,1,0.2,211,205.11,5376,5232.39776,18817035.9,640249.46,166326.75,115444.66,5108981.98,2774475.58,27622514.33,2767069.38,-260001.47,2507067.91,30129582.24,None
Criminal Injuries Compensation Authority,Executive Agency,Ministry of Justice,130,118.20111,79,73.9265,89,86.62973,19,13.56757,2,2,0,0,319,294.32491,0,0,0,0,0,0,0,0,0,0,319,294.32491,867401.04,0,0,0,0,0,867401.04,0,0,0,867401.04,None
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,10049,8768.26552,2533,2375.85528,2595,2428.85169,638,623.18259,74,72.97298,1,1,15890,14270.12806,0,2035,0,0,0,61.24,0,0,0,2096.24,15890,16366.36806,30299426,483499.41,321392.06,1011738.14,8288750.68,2931949.44,43336755.73,6025136.67,100982,6126118.67,49462874.4,None
Legal Aid Agency,Executive Agency,Ministry of Justice,455,420.10092,322,300.14195,299,287.39896,94,93.12763,11,9.75278,0,0,1181,1110.52224,20,18.59,0,0,0,0,0,0,20,18.59,1201,1129.11224,3109753.19,11179.53,30445,71471.65,681431.88,266081.24,4170362.49,37666.58,0,37666.58,4208029.07,None
Her Majesty’s Prison & Probation Service,Executive Agency,Ministry of Justice,28339,26823.60834,6146,5893.8074,6303,6011.40236,744,726.11129,77,75.92381,11723,10801.76627,53332,50332.61947,966.85,966.85,0,0,0.77,0.77,1,1,968.62,968.62,54300.62,51301.23947,111476539.2,15051850.02,401670.19,6659723.35,39512473.14,15735501.69,188837757.6,3264200.53,533576.45,3797776.98,192635534.6,None
The Office of the Public Guardian,Executive Agency,Ministry of Justice,904,824.25273,389,370.31241,177,167.52918,21,21,5,5,0,0,1496,1388.09432,125,115,0,0,0,0,0,0,125,115,1621,1503.09432,2555412.42,66179.79,1997.08,7901.62,662479.81,228171.64,3522142.36,252375.21,0,252375.21,3774517.57,None
Children and Family Court Advisory and Support Services,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,2081,1914.343141,2081,1914.343141,62,62,0,0,2,2,0,0,64,64,2145,1978.343141,8493954.73,0,0,0,0,0,8493954.73,465992.48,0,465992.48,8959947.21,None
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,90,84.8,90,84.8,0,0,0,0,0,0,0,0,0,0,90,84.8,397165,0,300,0,0,0,397465,0,0,0,397465,The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,3,2.8,15,14.6,45,44.8,8,7.6,1,1,1,0.4,73,71.2,15,15,0,0,7,7,1,0.1,23,22.1,96,93.3,231110.57,5326.12,6520,793.37,55805.93,25049.58,324605.57,175246.69,2688,177934.69,502540.26,None
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,37,34.84,37,34.84,0,0,0,0,0,0,0,0,0,0,37,34.84,251306,0,0,0,0,0,251306,0,705,705,252011,None
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,8,7.1,102,100,39,37.8,9,8.4,1,1,0,0,159,154.3,1,1,0,0,0,0,1,0.6,2,1.6,161,155.9,383386.7,3536.8,9360,3218.99,93674.43,39049.14,532226.06,12696.63,0,12696.63,544922.69,None
Youth Justice Board for England and Wales,Executive Non-Departmental Public Body,Ministry of Justice,4,3.1,13,12.4,40,38.97,35,34.38,2,2,0,0,94,90.85,1,1,0,0,0,0,0,0,1,1,95,91.85,324274.9,6132.56,225,0,87007.26,36933.55,454573.27,6517.69,0,6517.69,461090.96,None
