Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,324,300.81,549,534.81,1174,1149.73,1818,1781.64,405,394.72,2165,2155.03,"6,435","6,317",40,35.64,356,346.14,110,104.14,0,0,506,485.92,"6,941","6,803","£22,946,150.40","£725,406.72","£91,861.00","£137,318.53","£6,027,156.68","£2,657,610.08","£32,585,503.41","£2,177,001.83",£0.00,"£2,177,001.83","£34,762,505.24"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.60,4,4.00,8,7.80,5,4.80,0,0.00,1,1.00,19,18,0,0,0,0,0,0,0,0,0,0,19,18,"£61,117.86",£166.67,£0.00,£0.00,"£17,047.67","£6,572.04","£84,904.24",£0.00,£0.00,£0.00,"£84,904.24"
Crown Commercial Services,Executive Agency,Cabinet Office,30,29.00,107,101.00,304,292.00,186,178.00,21,20.00,0,0.00,648,620,50,49.6,0,0,0,0,0,0,50,49.6,698,670,"£1,954,333.30","£41,520.62",£0.00,£82.44,"£523,380.93","£212,109.24","£2,731,426.53","£498,132.80","£17,500.00","£515,632.80","£3,247,059.33"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,80,74.00,469,432.00,238,225.00,72,71.00,18,18.00,0,0.00,877,820,3,3,0,0,6,3.5,0,0,9,6.5,886,827,"£2,160,147.35","£30,140.08",£0.00,"£7,144.35","£571,833.75","£218,271.58","£2,987,537.11","£46,547.81",£0.00,"£46,547.81","£3,034,084.92"
Government Property Agency,Executive Agency,Cabinet Office,1,1.00,16,15.49,32,31.28,54,53.39,10,10.00,0,0.00,113,111,0,0,0,0,21,21,0,0,21,21,134,132,"£428,409.00","£7,585.00","£1,700.00",£687.00,"£118,275.00","£48,596.00","£605,252.00","£648,594.17",£0.00,"£648,594.17","£1,253,846.17"
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,0,0.00,14,13.60,107,102.40,52,48.60,13,13.00,0,0.00,186,178,2,2,4,4,0,0,0,0,6,6,192,184,"£634,715.00","£13,989.00",£0.00,£0.00,"£179,985.00","£72,611.00","£901,300.00","£35,975.00",£0.00,"£35,975.00","£937,275.00"
