Year,Month,Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: Published alongside your row of information)"
,,,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, unspecified",,"Total
Employees",,Agency staff ,,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
2021,June,"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",191,173.94,625,603.91,2794,2700.3,1855,1794.86,192,185.33,49,49,"5,706","5,507",72,72,10,10,418,417.5,30,29.5,530,529,"6,236","6,036","£19,810,419.00","£54,529.00","£134,228.00","£50,488.00","£5,187,553.00","£2,175,558.00","£27,412,775.00","£6,678,401.87","£3,077,290.32","£9,755,692.19","£37,168,467.19",
2021,June,Animal and Plant Health Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",846,791.22,785,740,850,806.15,183,178.38,3,3,0,0,"2,667","2,519",98,98,17,17,0,0,0,0,115,115,"2,782","2,634","£6,305,811.51","£120,229.27","£33,844.79","£85,103.71","£1,725,120.26","£633,466.18","£8,903,575.72","£435,101.52",£0.00,"£435,101.52","£9,338,677.24",
2021,June,"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",59,53.75,128,118.68,324,306.68,110,105.05,4,4,0,0,625,588,0,0,0,0,0,0,0,0,0,0,625,588,"£1,669,449.00","£6,328.00",£0.00,"£33,352.00","£456,183.00","£178,736.00","£2,344,048.00",£0.00,£0.00,£0.00,"£2,344,048.00",
2021,June,Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",1044,942.12,587,534.98,463,431.9,99,95.91,6,5.46,0,0,"2,199","2,010",185,179.32,0,0,8,8,0,0,193,187.32,"2,392","2,198","£4,439,435.92","£3,792.83","£7,350.00","£81,952.06","£1,174,681.62","£399,973.38","£6,107,185.81","£570,903.00",£0.00,"£570,903.00","£6,678,088.81",
2021,June,Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",32,31.24,21,20.58,51,49.27,62,61.26,2,2,0,0,168,164,11,10.4,0,0,0,0,0,0,11,10.4,179,175,"£569,309.00","£19,024.00",£0.00,"£3,413.00","£159,029.00","£64,441.00","£815,216.00","£44,561.00",£0.00,"£44,561.00","£859,777.00",
2021,June,Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,495,472.3,495,472,0,0,0,0,0,0,0,0,0,0,495,472,"£1,566,172.00","£81,171.00",£0.00,£0.00,"£145,810.00","£181,700.00","£1,974,853.00",£0.00,£0.00,£0.00,"£1,974,853.00",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain. No funding towards staffing or other running costs is received from the government. 
2021,June,Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",8,7.24,22,21.07,26,24.99,11,10.81,5,4.81,0,0,72,69,3,3,0,0,0,0,0,0,3,3,75,72,"£211,459.98","£2,821.43","£7,500.00","£1,660.29","£55,610.50","£23,295.23","£302,347.43","£15,543.14",£0.00,"£15,543.14","£317,890.57",
2021,June,Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1547,1448.15,2660,2509.47,3309,3108.13,2212,2105.28,93,92.66,829,815.48,"10,650","10,079",250,244.88,26,23.99,3,2.6,232,193.35,511,464.82,"11,161","10,544","£29,220,671.11","£288,664.55",£0.00,"£1,030,839.54","£4,382,570.69","£3,128,827.54","£38,051,573.43","£1,062,817.78","£2,667,565.23","£3,730,383.01","£41,781,956.44",
2021,June,Joint Nature Conservation Committee,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",7,6.5,30,29.6,160,153.24,30,28.6,2,2,7,0.99,236,221,2,2,0,0,1,1,0,0,3,3,239,224,"£581,483.25","£12,682.57",£300.00,"£4,313.05","£155,414.35","£59,204.87","£813,398.09","£13,839.31",£0.00,"£13,839.31","£827,237.40",
2021,June,Marine Management Organisation,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",37,33.7,162,158.2,133,128.44,56,55.7,6,5.2,0,0,394,381,25,24.5,18,17.6,11,10.4,0,0,54,52.5,448,434,"£1,108,662.00",£33.00,£0.00,"£43,693.00","£324,045.00","£136,757.00","£1,613,190.00","£231,591.00",£0.00,"£231,591.00","£1,844,781.00",
2021,June,National Forest Company,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,3,2.31,25,23.83,4,4,1,1,0,0,33,31,0,0,0,0,0,0,0,0,0,0,33,31,"£92,811.58",£0.00,£0.00,£0.00,"£25,278.71","£9,420.59","£127,510.88",£0.00,£0.00,£0.00,"£127,510.88",
2021,June,Natural England,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",135,126.12,338,323.51,1546,1440.03,216,206.4,18,17.9,11,10.65,"2,264","2,125",23,22.04,0,0,0,0,0,0,23,22.04,"2,287","2,147","£5,623,935.73","£56,774.93","£21,300.00","£11,829.72","£1,520,589.02","£554,172.73","£7,788,602.13","£35,000.00",£0.00,"£35,000.00","£7,823,602.13",
2021,June,"Royal Botanic Gardens, Kew",Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",298,217.94,210,156.52,256,246.01,83,80.45,8,8,81,80.83,936,790,0,0,2,2,15,15,1,1,18,18,954,808,"£2,222,760.50","£13,110.14",£0.00,"£38,249.56","£497,943.94","£223,512.36","£2,995,576.50","£217,873.45","£4,435.09","£222,308.54","£3,217,885.04",
2021,June,Sea Fish Industry Authority,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",28,27.26,32,31.8,18,18,5,5,1,1,0,0,84,83,0,0,0,0,0,0,0,0,0,0,84,83,"£309,420.60","£6,934.79","£42,931.00",£0.00,"£41,374.91","£40,805.56","£441,466.86",£0.00,£0.00,£0.00,"£441,466.86",
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
