Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,377,353.34,598,582.51,1265,1238.18,2041,2001.97,355,347.36,2046,2078.51,"6,682","6,602",34,33.78,346,343.04,102,99.78,0,0,482,476.6,"7,164","7,078","£24,094,317.51","£1,155,006.71","£115,010.26","£129,160.18","£6,415,997.57","£2,862,625.53","£34,772,117.76","£5,601,224.73",£0.00,"£5,601,224.73","£40,373,342.49"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,2,1.60,4,4.00,6,5.80,5,4.93,0,0.00,1,1.00,18,17,0,0,0,0,0,0,0,0,0,0,18,17,"£57,111.07","£1,014.41",£0.00,£0.00,"£16,189.88","£6,235.31","£80,550.67",£0.00,£0.00,£0.00,"£80,550.67"
Crown Commercial Services,Executive Agency,Cabinet Office,24,23.00,147,141.00,160,154.00,205,198.00,25,24.00,0,0.00,561,540,46,46,0,0,0,0,0,0,46,46,607,586,"£2,049,174.21","£47,242.54","£5,000.00",£0.00,"£548,674.08","£224,215.82","£2,874,306.65","£247,511.55","£599,043.50","£846,555.05","£3,720,861.70"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,78,72.00,465,429.00,242,229.00,72,70.00,18,18.00,0,0.00,875,818,1,1,0,0,9,7.5,0,0,10,8.5,885,827,"£2,121,937.62","£43,662.07","£2,803.25","£4,995.52","£564,758.42","£222,140.49","£2,960,297.37","£62,067.91",£0.00,"£62,067.91","£3,022,365.28"
Government Property Agency,Executive Agency,Cabinet Office,1,1.00,20,19.69,36,35.50,60,59.44,12,12.00,0,0.00,129,128,0,0,0,0,7,7,0,0,7,7,136,135,"£494,461.99","£13,818.42","£2,250.00","£1,284.96","£139,033.52","£57,841.82","£708,690.71","£426,607.27",£0.00,"£426,607.27","£1,135,297.98"
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,0,0.00,14,13.60,104,99.60,57,53.50,12,11.20,0,0.00,187,178,5,5,2,2,0,0,0,0,7,7,194,185,"£634,800.00","£15,084.00",£0.00,"£1,403.00","£180,154.00","£71,119.00","£902,560.00","£23,909.00",£0.00,"£23,909.00","£926,469.00"
