Year,Month,Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff; AO/AA; Headcount,Payroll staff; AO/AA; Full-time equivalent,Payroll staff; EO; Headcount,Payroll staff; EO; Full-time equivalent,Payroll staff; SEO/HEO; Headcount,Payroll staff; SEO/HEO; Full-time equivalent,Payroll staff; Grade 6/7; Headcount,Payroll staff; Grade 6/7; Full-time equivalent,Payroll staff; SCS; Headcount,Payroll staff; SCS; Full-time equivalent,"Payroll staff; Other, unknown, unspecified; Headcount","Payroll staff; Other, unknown, unspecified; Full-time equivalent",Payroll staff; Total employees; Headcount,Payroll staff; Total employees; Full-time equivalent,Non-payroll staff; Agency staff; Headcount,Non-payroll staff; Agency staff; Full-time equivalent,Non-payroll staff; Interim Managers; Headcount,Non-payroll staff; Interim Managers; Full-time equivalent,Non-payroll staff; Specialist Contractors; Headcount,Non-payroll staff; Specialist Contractors; Full-time equivalent,Non-payroll staff; Consultants; Headcount,Non-payroll staff; Consultants; Full-time equivalent,Non-payroll staff; Total; Headcount,Non-payroll staff; Total; Full-time equivalent,Non-payroll staff; Consultancy; Number of Contracts,Grand Total (workforce numbers); Headcount,Grand Total (workforce numbers); Full-time equivalent,Payroll staff costs; Salary,Payroll staff costs; Allowances,Payroll staff costs; Non-consolidated performance payments,Payroll staff costs; Overtime,Payroll staff costs; Employer pension contributions,Payroll staff costs; Employer national insurance contributions,Payroll staff costs; Total paybill,Non-Payroll staff costs; Contingent labour,Non-Payroll staff costs; Consultancy,Non-Payroll staff costs; Total staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
2022,December,"Department for Levelling Up, Housing and Communities",Ministerial Department,"Department for Levelling Up, Housing and Communities",51,48,300,292,1413,1382,1449,1411,177,170,2,2,3392,3305,0,0,0,0,59,57,0,0,59,57,55,3506,3417,"£12,108,890.80","£399,296.72","£17,720.00","£20,886.14","£3,612,997.42","£1,474,745.21","£17,634,536.29","£761,214.00","£939,468.00","£1,700,682.00","£19,335,218.29"
2022,December,Planning Inspectorate,Executive Agency,"Department for Levelling Up, Housing and Communities",136,123.8,89,82.9,152,143,459,409.4,7,6.8,0,0,843,765.9,27,27,0,0,72,18.5,0,0,99,45.5,0,942,811.4,"£2,874,014.20","£55,602.54",£368.36,"£10,971.19","£806,710.66","£315,559.02","£4,063,225.97","£252,807.20",£0.00,"£252,807.20","£4,316,033.17"
2022,December,Queen Elizabeth II Conference Centre,Executive Agency,"Department for Levelling Up, Housing and Communities",3,3,11,10.8,25,24.8,4,4,1,1,0,0,44,43.6,7,7,0,0,0,0,1,1,8,8,0,52,51.6,"£162,290.16","£1,222.00",£744.54,"£18,860.10","£41,660.63","£20,480.48","£245,257.91","£27,575.00",£28.60,"£27,603.60","£272,861.51"
2022,December,Homes England,Executive Non-Departmental Public Body,"Department for Levelling Up, Housing and Communities",0,0,241,237.2,789,773.3,202,200.9,35,34.6,0,0,1267,1246,87,86.8,9,8.6,61,59.8,0,0,157,155.2,0,1424,1401.2,"£7,324,474.40","£322,324.39",£491.72,"£7,803.93","£1,794,852.88","£799,186.01","£10,249,133.33","£1,932,213.11",£0.00,"£1,932,213.11","£12,181,346.44"
2022,December,Housing Ombudsman Service,Executive Non-Departmental Public Body,"Department for Levelling Up, Housing and Communities",0,0,0,0,0,0,0,0,0,0,199,184.6,199,184.6,0,0,0,0,0,0,0,0,0,0,0,199,184.6,"£741,405.17",£0.00,£0.00,"£20,511.12","£188,120.55","£86,995.32","£1,037,032.16","£62,036.51",,"£62,036.51","£1,099,068.67"
2022,December,Leasehold Advisory Service,Executive Non-Departmental Public Body,"Department for Levelling Up, Housing and Communities",3,2.5,1,1,20,18.9,0,0,1,1,0,0,25,23.4,0,0,0,0,0,0,0,0,0,0,0,25,23.4,"£82,867.71",£0.00,£0.00,£0.00,"£9,407.08","£8,829.50","£101,104.29",£0.00,£0.00,£0.00,"£101,104.29"
2022,December,Valuation Tribunal Service,Executive Non-Departmental Public Body,"Department for Levelling Up, Housing and Communities",13,12.5,7,7,28,27.8,4,4,3,3,0,0,55,54.3,2,2,0,0,0,0,0,0,2,2,,57,56.3,"£255,233.07",£805.00,£0.00,£0.00,"£40,256.46","£29,477.25","£325,771.78","£9,836.64",£0.00,"£9,836.64","£335,608.42"
2022,December,Regulator of Social Housing,Executive Non-Departmental Public Body,"Department for Levelling Up, Housing and Communities",13,12.9,62,60.4,59,58.4,61,60.4,8,8,0,0,203,200.1,0,0,0,0,0,0,0,0,0,0,0,203,200.1,"£1,229,962.56","£26,707.97",£0.00,£0.00,"£313,704.66","£131,599.84","£1,701,975.03",£0.00,£0.00,£0.00,"£1,701,975.03"
