Year,Month,Organisation name,Organisation type,"Main, parent or sponsoring department:","Payroll staff:
AO/AA:
Headcount","Payroll staff:
AO/AA:
Full-time equivalent","Payroll staff:
EO:
Headcount","Payroll staff:
EO:
Full-time equivalent","Payroll staff:
SEO/HEO:
Headcount","Payroll staff:
SEO/HEO:
Full-time equivalent","Payroll staff:
Grade 6/7:
Headcount","Payroll staff:
Grade 6/7:
Full-time equivalent","Payroll staff:
SCS:
Headcount","Payroll staff:
SCS:
Full-time equivalent","Payroll staff:
Other, unknown, unspecified:
Headcount","Payroll staff:
Other, unknown, unspecified:
Full-time equivalent","Payroll staff:
Total:
Headcount","Payroll staff:
Total:
Full-time equivalent","Non-payroll staff:
Admin and Clerical:
Headcount","Non-payroll staff:
Admin and Clerical:
Full-time equivalent","Non-payroll staff:
Interim Managers & Specialist Contractors & Medical:
Headcount","Non-payroll staff:
Interim Managers & Specialist Contractors & Medical:
Full-time equivalent","Non-payroll staff:
Other Contingent labour:
Headcount","Non-payroll staff:
Other Contingent labour:
Full-time equivalent","Non-payroll staff:
Total Contingent labour:
Headcount","Non-payroll staff:
Total Contingent labour:
Full-time equivalent","Non-payroll staff:
Consultancy:
Number of Contracts","Grand Total (workforce numbers):
Headcount","Grand Total (workforce numbers):
Full-time equivalent","Payroll staff costs:
Salary","Payroll staff costs:
Allowances","Payroll staff costs:
Non-consolidated performance payments","Payroll staff costs:
Overtime","Payroll staff costs:
Employer pension contributions","Payroll staff costs:
Employer national insurance contributions","Payroll staff costs:
Total paybill","Non-Payroll staff costs:
Contingent labour","Non-Payroll staff costs:
Consultancy","Non-Payroll staff costs:
Total staff costs",Grand Total paybill/staffing (payroll and non-payroll) costs
2026,July,Department For Transport,Ministerial Department,Department For Transport,41,36.87,216,210.14,1290,1261.97,1500,1465.12,229,221.31,0,0,3276,3195.41,1,1,20,19.22,0,0,21,20.22,0,3297,3215.63,16121250.35,"326,232.23","389,948.92","65,749.08","4,884,677.28","2,367,027.34",24154885.2,"201,729.36","5,204,713.91",5406443.27,29561328.47
2026,July,Driver and Vehicle Licensing Agency,Executive Agency,Department For Transport,3875,3360.1,878,828.74,1078,1040.54,337,323.87,8,8,0,0,6176,5561.25,0,0,0,0,0,0,0,0,0,6176,5561.25,14899808.48,477189.44,162275.48,158381.6,4304154.02,2027022.08,22028831.1,0,0,0,22028831.1
2026,July,Driver and Vehicle Standards Agency,Executive Agency,Department For Transport,1106,1035.03,2838,2598.13,1230,1196.13,202,197.67,13,12.8,0,0,5389,5039.76,2,2,11,11,0,0,13,13,0,5402,5052.76,14957877.86,2161406.98,94164.25,718670.67,4079602.22,2250731.32,24262453.3,192224.97,0,192224.97,24454678.27
2026,July,Maritime and Coastguard Agency,Executive Agency,Department For Transport,299,286.5,194,187.13,631,616.2,216,210.6,12,11.61,0,0,1352,1312.04,23,23,0,0,0,0,23,23,0,1375,1335.04,4458283.81,548735.91,82350,155112.22,1296064.65,718062.9,7258609.49,289495,28453,317948,7576557.49
2026,July,Vehicle Certification Agency,Executive Agency,Department For Transport,37,32.54,75,70.61,162,157.48,5,4.6,1,1,7,7,287,273.23,0,0,0,0,0,0,0,0,0,287,273.23,968054,45254,500,12992,254007,135188,1415995,102218,0,102218,1518213
2026,July,British Transport Police Authority,Executive Non-Departmental Public Body,Department For Transport,0,0,0,0,0,0,0,0,0,0,12,11.41,12,11.41,0,0,0,0,0,0,0,0,0,12,11.41,66360,4005,0,0,7888,8639,86892,0,0,0,86892
2026,July,High Speed 2,Executive Non-Departmental Public Body,Department For Transport,53,52.6,87,86.6,492,487.41,861,852.27,290,288.63,0,0,1783,1767.51,0,0,97,96.2,0,0,97,96.2,0,1880,1863.71,11284245,0,0,0,1225071.8,1363677.1,13872993.9,1920293.06,0,1920293.06,15793286.96
2026,July,Northern Lighthouse Board,Executive Non-Departmental Public Body,Department For Transport,18,3.8,19,17.25,78,77.4,16,15.31,3,3,81,75.73,215,192.49,15,7.33,0,0,0,0,15,7.33,0,230,199.82,837143.73,9244.04,0,47273.87,244145.02,125876.09,1263682.75,30584.02,0,30584.02,1294266.77
2026,July,Transport Focus,Executive Non-Departmental Public Body,Department For Transport,0,0,11,11,23,23,16,15.35,4,5,0,0,54,54.35,3,2.6,7,2.9,0,0,10,5.5,0,64,59.85,248762,868,1150,0,67271,32501,350552,113554,0,113554,464106
2026,July,Trinity House,Executive Non-Departmental Public Body,Department For Transport,0,0,0,0,0,0,0,0,0,0,317,307.54,317,307.54,14,9.45,0,0,0,0,14,9.45,0,331,316.99,1248825.89,4556,18484,27501.26,358903.41,178520.23,1836790.79,51880.35,0,51880.35,1888671.14
2026,July,Active Travel England,Executive Non-Departmental Public Body,Department For Transport,0,0,5,5,51,49.30540541,50,48.75945946,4,3.8,0,0,110,106.8648649,0,0,1,1,0,0,1,1,0,111,107.8648649,490434.31,13880.55,118.87,0,138828.16,68078.46,711340.35,0,-185936.87,-185936.87,525403.48
