Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,976,909.05,925,886.36,1668,1620.03,794,775.21,123,121.32,0,0,"4,486","4,311.96",158,154.79,13,13,209,209,0,0,380,376.79,"4,866","4,688.75","£11,697,592.50","£439,740.66","£15,143.41","£101,979.22","£2,552,780.25","£1,053,717.31","£15,860,953.35","£1,923,590.25","£797,374.68","£2,720,964.93","£18,581,918.28",
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,13354,11648.22,2945,2759.8,2524,2342.79,543,529.67,31,31,0,0,"19,397","17,311.49",(..),829.3,(..),(..),(..),(..),(..),(..),0,829.3,"19,397","18,140.79","£34,854,846.59","-£468,941.75","£1,371,698.72","£781,855.61","£5,841,137.06","£2,266,562.53","£44,647,158.76","£1,912,174.25",(..),"£1,912,174.25","£46,559,333.01",Only Agency FTE available. Agency HC not collected.
National Archives,Executive Agency,Ministry of Justice,176,155.25,126,120.28,256,248.8,60,59.33,6,6,0,0,624,589.66,3,3,(..),(..),11,11,(..),(..),14,14,638,603.66,"£1,472,889.90","£13,088.05","£186,000.00","£13,448.95","£265,409.22","£126,124.76","£2,076,960.88","£106,762.26",(..),"£106,762.26","£2,183,723.14",
National Offender Management Service,Executive Agency,Ministry of Justice,32270,30708.1,6257,5992.75,3556,3327.93,601,586.82,38,37.88,0,0,"42,722","40,653.48",(..),508.79,(..),2.08,(..),21.54,(..),12,0,544.41,"42,722","41,197.89","£103,336,182.64",£0.00,£0.00,"£4,764,806.41","£17,590,303.39","£7,308,642.67","£132,999,935.11","£4,229,299.27","£242,101.00","£4,471,400.27","£137,471,335.38",Only CCL FTE avaialable. Headcount not collected
The Office of the Public Guardian,Executive Agency,Ministry of Justice,263,248.07,136,128.69,71,69.39,10,9.82,2,1.8,0,0,482,457.77,242,168.56,0,0,2,2,0,0,244,170.56,726,628.33,"£831,707.44","£8,768.51",£500.00,"£64,739.72","£147,217.39","£56,057.95","£1,108,991.01","£443,760.09",£0.00,"£443,760.09","£1,552,751.10",Some agency to FTC conversions completed. Includes A-01 specialist
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,81,73.56,81,73.56,4,4,4,4,0,0,0,0,8,8,89,81.56,"£217,229.00",£57.00,(..),"£5,837.00","£38,565.00","£18,982.00","£280,670.00","£29,740.00",(..),"£29,740.00","£310,410.00","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles."
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,388,360.1,388,360.1,21,20.2,0,0,1,1,0,0,22,21.2,410,381.3,"£809,295.60","£1,335.49",£0.00,"£15,318.49","£146,113.64","£56,832.77","£1,028,895.99","£69,307.01",£0.00,"£69,307.01","£1,098,203.00",
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,14,13.54,17,15.94,23,22.69,12,10.95,3,3,1,0.4,70,66.52,3,3,0,0,0,0,0,0,3,3,73,69.52,"£175,937.55","£3,161.36",£975.00,(..),"£32,614.23","£14,685.12","£227,373.26","£7,797.63",(..),"£7,797.63","£235,170.89",
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,31,30.8,31,30.8,0,0,0,0,0,0,0,0,0,0,31,30.8,"£146,953.92",,(..),(..),"£27,642.88","£17,140.78","£191,737.58",(..),(..),£0.00,"£191,737.58","LSB staff are not civil servants, so do not enjoy civil service terms and conditions neither do they have a defined benefit pension provision"
Legal Services Commission,Executive Non-Departmental Public Body,Ministry of Justice,860,812.79,276,265.51,419,402.04,123,119.83,13,12.7,7,1.2,"1,698","1,614.07",35,35,(..),(..),72,72,(..),(..),107,107,"1,805","1,721.07","£3,712,426.17",,(..),"£237,512.10",(..),"£313,307.60","£4,263,245.87","£888,486.65",(..),"£888,486.65","£5,151,732.52",
