Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll staff Agency staff (clerical/admin) Headcount,Non-payroll staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll staff Intermin managers Headcount,Non-payroll staff Interim managers Full-time Equivalent,Non-payroll staff Specialist Contractors Headcount,Non-payroll staff Specialist Contractors Full-time Equivalent,Non-payroll staff Consultants/consultancy Headcount,Non-payroll staff Consultants/consultancy Full-time Equivalent,Non-payroll staff Total Employees Headcount,Non-payroll staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,"Non-payroll staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll staff Total cost of consultants/consultancy,Non-payroll staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,324,311.0391,802,778.81775,2666,2606.18125,1408,1370.21866,156,151.09146,25,25,5381,5242.34822,23,22.4,5,5,209,206.86,1,0.2,238,234.46,5619,5476.80822,19491024.43,671471.79,205522.3,80054.49,5194483.59,2838563.28,28481119.88,1669159.61,463581.18,2132740.79,30613860.67,None
Criminal Injuries Compensation Authority,Executive Agency,Ministry of Justice,116,104.63785,94,88.9265,86,84.46081,19,13.94594,2,2,0,0,317,293.9711,0,0,0,0,0,0,0,0,0,0,317,293.9711,814191.98,0,0,0,0,0,814191.98,0,0,0,814191.98,None
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,10321,9052.06495,2553,2395.32351,2667,2507.68154,654,638.46267,74,72.96397,0,0,16269,14666.49664,0,2178.93,0,0,0,39.11,0,0,0,2218.04,16269,16884.53664,31043297.17,504291.68,325880.06,1011647.4,8474222.94,3031853.99,44391193.24,5977166.95,-7719.73,5969447.22,50360640.46,None
Legal Aid Agency,Executive Agency,Ministry of Justice,459,424.21593,330,308.04812,303,291.59896,94,92.92114,11,9.75278,0,0,1197,1126.53693,14,13.35,0,0,0,0,0,0,14,13.35,1211,1139.88693,3136030.77,15138.03,54160,52539.77,687593.3,268274.89,4213736.76,7990.23,0,7990.23,4221726.99,None
Her Majesty’s Prison & Probation Service,Executive Agency,Ministry of Justice,28125,26602.9473,6195,5939.46984,6355,6072.63318,752,734.66279,80,78.92381,11675,10756.22349,53182,50184.86041,1029.27,1029.27,0,0,0.4,0.4,1,1,1030.67,1030.67,54212.67,51215.53041,118589362,13643215.5,651499.99,6630011.57,34487645.78,13364616.22,187366351,4022208.03,106705.13,4128913.16,191495264.2,None
The Office of the Public Guardian,Executive Agency,Ministry of Justice,881,800.93005,377,359.06106,175,166.14269,21,21,3,3,0,0,1457,1350.1338,116,106.2,0,0,0,0,0,0,116,106.2,1573,1456.3338,2443779.04,73761.41,64514.28,27371.61,628346.86,220794.92,3458568.12,309359.56,0,309359.56,3767927.68,None
Children and Family Court Advisory and Support Services,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,2082,1918.606655,2082,1918.606655,125,125,1,1,2,2,0,0,128,128,2210,2046.606655,8531847.01,0,0,0,0,0,8531847.01,758158.56,0,758158.56,9290005.57,None
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,90,84.61,90,84.61,0,0,0,0,0,0,0,0,0,0,90,84.61,348500,0,2537,0,0,0,351037,0,0,0,351037,The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,3,2.8,14,13.2,47,46.4,7,7,1,1,1,0.4,73,70.8,21,21,0,0,3,3,1,0.1,25,24.1,98,94.9,227960.78,8725.02,1600,1672.49,51077.62,24482.16,315518.07,81099.91,2500,83599.91,399117.98,None
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,38,34.02,38,34.02,0,0,0,0,0,0,0,0,0,0,38,34.02,245000,0,0,0,0,0,245000,0,705,705,245705,None
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,11,9.7,97,94.2,38,37.2,9,8.4,1,1,0,0,156,150.5,6,6,0,0,0,0,1,0.6,7,6.6,163,157.1,388701.64,1747.35,-2345,4035.19,95310.89,40398.2,527848.27,21432.2,0,21432.2,549280.47,None
Youth Justice Board for England and Wales,Executive Non-Departmental Public Body,Ministry of Justice,3,2.7,17,16.4,40,38.77,36,35.38,2,2,0,0,98,95.25,1,1,0,0,0,0,0,0,1,1,99,96.25,335987.8,9528.3,15195.29,0,96823.41,44357.05,501891.85,3084.48,0,3084.48,504976.33,None
