Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,980,912.6,932,894.62,1669,1623.12,806,787.05,123,119.93,0,0,"4,510","4,337.32",183,180.25,15,15,188,188,0,0,386,383.25,"4,896","4,720.57","£12,983,569.09","£200,493.02","£43,386.90","£87,067.01","£2,573,406.17","£1,066,272.74","£16,954,194.93","£2,280,956.36","£1,184,458.14","£3,465,414.50","£20,419,609.43",
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,13370,11661.05,2937,2750.17,2514,2332.47,550,536.69,32,32,0,0,"19,403","17,312.39",(..),898.4,(..),(..),(..),(..),(..),(..),0,898.4,"19,403","18,210.79","£33,036,336.43","£517,682.29","£153,408.76","£415,027.13","£5,867,328.66","£2,258,182.74","£42,247,966.01","£1,580,116.14",,"£1,580,116.14","£43,828,082.15",Only Agency FTE available. Agency HC not collected.
National Archives,Executive Agency,Ministry of Justice,185,166.21,123,118.52,253,245,63,62.16,6,6,0,0,630,597.89,18,14.1,(..),(..),19,19,(..),(..),37,33.1,667,630.99,"£1,487,221.76","£14,400.93",(..),"£15,395.44","£268,617.30","£125,790.86","£1,911,426.29","£99,838.42",,"£99,838.42","£2,011,264.71",
National Offender Management Service,Executive Agency,Ministry of Justice,32927,31368.47,6046,5789.08,3609,3377.7,606,591.61,37,36.88,0,0,"43,225","41,163.74",(..),480.8,(..),1.54,(..),20.54,(..),12,0,514.88,"43,225","41,678.62","£95,829,384.38",£0.00,£0.00,"£4,480,245.63","£18,095,841.65","£7,599,209.90","£126,004,681.56","£2,969,318.82","£113,121.12","£3,082,439.94","£129,087,121.50",Only CCL FTE avaialable. Headcount not collected
The Office of the Public Guardian,Executive Agency,Ministry of Justice,256,240.48,136,128.54,69,67.39,10,9.82,2,1.78,0,0,473,448.01,236,173.07,0,0,0,0,0,0,236,173.07,709,621.08,"£842,296.09","£10,659.03",£500.00,"£16,418.40","£138,837.58","£47,071.14","£1,055,782.24","£367,979.65",(..),"£367,979.65","£1,423,761.89",Agency increased this month but planned to decrease on completion of vetting process and staff converting from Agency to FTC towards end of March.
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,81,73.56,81,73.56,4,4,4,4,(..),(..),(..),(..),8,8,89,81.56,"£203,508.00",£57.00,(..),"£5,728.00","£33,910.00","£17,493.00","£260,696.00","£28,705.00",(..),"£28,705.00","£289,401.00","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles."
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,392,367.03,392,367.03,12,12,0,0,0,0,0,0,12,12,404,379.03,"£815,723.58","£1,335.49",£0.00,"£4,418.00","£146,301.88","£55,514.56","£1,023,293.51","£37,593.22",(..),"£37,593.22","£1,060,886.73",
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,14,13.54,17,15.94,22,21.69,12,10.55,3,3,1,0.4,69,65.12,4,4,(..),(..),(..),(..),(..),(..),4,4,73,69.12,"£179,342.44","£4,357.00","£1,000.00",(..),"£35,630.52","£14,884.30","£235,214.26","£12,565.95",(..),"£12,565.95","£247,780.21",
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,29,28.8,29,28.8,0,0,0,0,0,0,0,0,0,0,29,28.8,"£131,274.79",(..),(..),(..),"£31,011.39","£16,288.52","£178,574.70",(..),(..),£0.00,"£178,574.70","LSB staff are not civil servants, so do not enjoy civil service terms and conditions neither do they have a defined benefit pension provision"
Legal Services Commission,Executive Non-Departmental Public Body,Ministry of Justice,850,800.92,272,262.22,409,391.57,121,118.73,11,11,7,1.2,"1,670","1,585.64",29,26.5,(..),(..),72,72,(..),(..),101,98.5,"1,771","1,684.14","£3,770,977.88",(..),(..),"£62,141.22",,"£288,924.26","£4,122,043.36","£898,926.80",(..),"£898,926.80","£5,020,970.16",
