Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,38,37.55,270,262.89,725,704.22,745,716.45,183,177.03,57,57,2018,1955.14,58,58,,,15,14.98,1,1,74,73.98,2092,2029.12,"£7,594,226","£52,978","£57,935","£139,008","£2,071,665","£905,402","£10,821,214.12","£1,350,198",,"£1,350,198.16","£12,171,412.28",
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,229,211.82,425,405.54,1974,1897.35,502,479.21,152,137.02,14,12,3296,3142.94,3,3,7,7,6,6,2,2,18,18,3314,3160.94,"£11,089,154","£84,668",0,"£14,502","£1,403,807","£1,141,994","£13,734,125.00",357980.87,,"£357,980.87","£14,092,105.87",
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,13,13,377,356.6,741,708.8,1221,1193,193,183,,,2545,2454.4,270,233.5,144,129.3,6,5.4,,,420,368.2,2965,2822.6,"£9,882,350","£520,359",,"£8,580","£1,985,450","£1,165,065","£13,561,804.64",2846756.02,,"£2,846,756.02","£16,408,560.66",
Health Education England,Special Health Authority,Department of Health,91,85.02,697,652.52,678,639.35,616,584.37,993,355.41,0,0,3075,2316.67,,,,,,,,,0,0,3075,2316.67,"£9,381,032",13368.86,,£202,"£1,170,157","£937,318","£11,502,077.74","£264,788",,"£264,787.52","£11,766,865.26",
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,3,1,85,81.87,83,78.18,36,33.35,7,6.5,,,214,200.9,2,2,3,3,,,,,5,5,219,205.9,"£650,616",,,,"£81,227","£65,259","£797,101.36",27540.8,,"£27,540.80","£824,642.16",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,19,18.2,37,36.4,9,8.5,4,3.5,0,0,69,66.6,1,1,0,0,5,5,0,0,6,6,75,72.6,"£242,053",,,,"£66,023","£26,639","£334,715.00",,,£0.00,"£334,715.00",The HFEA currently has 0 vacancies
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,1,1,4,4,29,28.33,10,10,3,3,,,47,46.33,,,,,,,,,0,0,47,46.33,188081.34,0,0,0,25099.42,21215.49,"£234,396.25",£302,,£301.91,"£234,698.16",
Medicines & Healthcare products Regulatory Agency,Executive Agency,Department of Health,56,55.61,186,178.77,464,453.84,411,393.59,159,141.82,0,0,1276,1223.63,29,29,4,4,8,8,0,0,41,41,1317,1264.63,"£5,015,056","£17,774",32091.7,"£5,018","£1,330,100","£563,608","£6,963,647.87",,0,£0.00,"£6,963,647.87",
Monitor,Executive Non-Departmental Public Body,Department of Health,8,8,6,5.4,21,20.1,59,57.63056,28,26.94444,0,0,122,118.075,,,,,,,,,0,0,122,118.075,"£799,527",5680.04,,2218.02,"£231,677","£99,199","£1,138,301.32",,,£0.00,"£1,138,301.32",
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,13,13,95,90.93,273,260.37,247,230.24,69,65.26,2,1.2,699,661,4,2.75,,,1,0.95,,,5,3.7,704,664.7,"£2,613,348","£6,903",,101.8,"£518,949","£292,200","£3,431,503.07","£50,129",,"£50,129.18","£3,481,632.25",
NHS Blood & Transplant,Special Health Authority,Department of Health,2029,1642.92,1151,1049.74,1616,1489.47,581,565.23,62,60.6,49,45.6,5488,4853.56,41,41,2,2,13,13,0,0,56,56,5544,4909.56,"£14,111,044","£859,168",£0,"£522,438","£1,964,571","£1,591,232","£19,048,452.95","£781,897",,"£781,896.55","£19,830,349.50",
NHS Business Services Authority,Special Health Authority,Department of Health,1852,1634.25,674,641.83,471,461.73,245,232.5,64,62.74,,,3306,3033.05,68,68,,,,,27,27,95,95,3401,3128.05,"£6,747,470","£14,632","£113,149","£103,210","£880,732","£643,982","£8,503,174.68","£460,670",,"£460,670.49","£8,963,845.17",
