Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,536,494.26,716,695.21,1777,1738.7,2372,2324.89,421,413.57,2526,2512.3,"8,348","8,179",16,16,327,323,199,196.33,542,535.33,"8,890","8,714","£30,606,928.99","£963,011.62","£223,305.00","£297,561.53","£7,850,832.67","£3,587,824.60","£43,529,464.41",-3502470.00,"£40,026,994.41",Contractors costs cr £3.5m  contains retrospective adjustments
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.6,7,7,3,2.8,6,5.93,0,0,1,1,18,17,0,0,0,0,0,0,0,0,18,17,"£59,045.76","£1,671.50",£0.00,£0.00,"£17,194.97","£6,745.42","£84,657.65",£0.00,"£84,657.65",
Crown Commercial Services,Executive Agency,Cabinet Office,24,24,103,96,367,351,160,152,23,22,0,0,677,645,0,0,54,54,0,0,54,54,731,699,"£2,026,476.20","£43,393.89",£0.00,£0.00,"£542,871.46","£218,263.65","£2,831,005.20","£691,481.98","£3,522,487.18",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,19,18,463,429,251,238,66,65,14,14,0,0,813,764,1,1,0,0,4,4,5,5,818,769,"£2,113,105.01","£38,583.10",£0.00,"£5,447.68","£525,342.24","£210,558.20","£2,893,036.23","£16,434.48","£2,909,470.71",
Government Property Agency,Executive Agency,Cabinet Office,3,2.43,18,17.29,51,49.73,73,71.85,14,14,0,0,159,155,22,22,0,0,0,0,22,22,181,177,"£603,755.00","£11,430.00",£0.00,£0.00,"£166,807.00","£69,176.00","£851,168.00","£220,709.93","£1,071,877.93",
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,1,1,16,15.6,115,110,66,61.3,10,9.9,0,0,208,198,3,3,2,2,0,0,5,5,213,203,"£730,943.00","£13,167.00",£0.00,£0.00,"£201,671.00","£89,138.00","£1,034,919.00","£38,925.00","£1,073,844.00",
