Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,337,313.15,576,562.17,1240,1214.48,2020,1980.55,403,392.70,2095,2084.85,"6,671","6,548",38,37.1,351,344.7,104,99.8,0,0,493,481.6,"7,164","7,029","£23,881,108.52","£800,454.96","£62,932.68","£106,202.04","£6,264,067.81","£2,774,136.98","£33,888,902.99","£5,903,659.00",£0.00,"£5,903,659.00","£39,792,561.99"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.60,4,4.00,6,5.80,5,4.80,0,0.00,1,1.00,17,16,0,0,0,0,0,0,0,0,0,0,17,16,"£55,414.07","£1,014.41",£0.00,£0.00,"£15,731.68","£6,100.35","£78,260.51",£0.00,£0.00,£0.00,"£78,260.51"
Crown Commercial Services,Executive Agency,Cabinet Office,28,27.00,105,99.00,300,289.00,206,199.00,22,21.00,3,3.00,664,638,45,45,0,0,0,0,0,0,45,45,709,683,"£2,028,055.48","£34,921.52","£5,000.00",£65.95,"£538,975.19","£220,755.67","£2,827,773.81","£402,770.71","£128,705.50","£531,476.21","£3,359,250.02"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,76,70.00,464,428.00,241,227.00,72,70.00,19,19.00,0,0.00,872,814,2,2,0,0,5,3,0,0,7,5,879,819,"£2,147,263.59","£41,378.45","£249,109.45","£9,976.97","£568,270.90","£251,474.10","£3,267,473.46","£32,576.40",£0.00,"£32,576.40","£3,300,049.86"
Government Property Agency,Executive Agency,Cabinet Office,1,1.00,18,17.69,58,57.39,35,34.28,11,11.00,0,0.00,123,121,0,0,0,0,10,10,0,0,10,10,133,131,"£464,006.00","£17,998.00",£0.00,"£2,565.00","£130,572.00","£54,521.00","£669,662.00","-£312,659.31",£0.00,"-£312,659.31","£357,002.69"
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,0,0.00,12,11.60,106,101.60,54,51.10,13,12.20,0,0.00,185,177,6,6,1,1,0,0,0,0,7,7,192,184,"£630,527.00","£14,403.00",£0.00,£0.00,"£178,390.00","£70,450.00","£893,770.00","£30,845.00",£0.00,"£30,845.00","£924,615.00"
