Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,310,293.51,535,521.66,1007,984.36,1557,1527.65,375,366.86,1975,1966.35,"5,759","5,660",2,2,45,43.5,204,203.2,0,0,251,248.7,"6,010","5,909","£20,565,525.94","£658,153.83","£2,421,347.00","£110,556.64","£4,317,395.45","£2,715,448.03","£30,788,426.89","£2,130,496.00",£0.00,"£2,130,496.00","£32,918,922.89"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,3,3.00,6,5.80,5,4.80,0,0.00,1,1.00,16,15,0,0,0,0,0,0,0,0,0,0,16,15,"£55,091.49",£166.67,"£9,913.00",£0.00,"£12,111.75","£7,443.61","£84,726.52",£0.00,£0.00,£0.00,"£84,726.52"
Crown Commercial Services,Executive Agency,Cabinet Office,26,25.43,88,82.48,284,274.09,182,175.06,21,20.00,0,0.00,601,577,19,19,0,0,0,0,0,0,19,19,620,596,"£1,835,166.33","£40,327.30",£0.00,£0.00,"£389,490.91","£201,432.30","£2,466,416.84","£212,806.26","£58,402.03","£271,208.29","£2,737,625.13"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,74,69.00,444,410.00,242,228.00,74,69.00,16,16.00,0,0.00,850,792,41,41,0,0,5,5,0,0,46,46,896,838,"£2,073,307.66","£39,577.02","£13,014.70",£0.00,"£424,062.69","£209,339.78","£2,759,301.85","£111,382.65",£0.00,"£111,382.65","£2,870,684.50"
Government Property Agency,Executive Agency,Cabinet Office,1,1.00,19,18.44,32,31.28,55,54.39,7,7.00,0,0.00,114,112,0,0,0,0,4,4,0,0,4,4,118,116,"£414,080.00","£12,801.00","£4,401.00",£133.00,"£90,697.00","£48,302.00","£570,414.00","£46,725.00",£0.00,"£46,725.00","£617,139.00"
