Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,551,509.93,744,721.44,1812,1776.33,2453,2403.03,425,418.27,2381,2366.12,"8,366","8,195",17,16.48,327,322.26,227,218.61,571,557.35,"8,937","8,752","£30,865,921.70","£1,076,691.95","£78,808.90","£591,166.84","£7,865,236.88","£3,657,479.17","£44,135,305.44","5,828,302.37","£49,963,607.81",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.6,9,9,2,1.8,7,6.93,0,0,1,1,20,19,0,0,0,0,0,0,0,0,20,19,"£64,599.00","£2,079.84",£0.00,£0.00,"£18,751.54","£7,266.36","£92,696.74",£0.00,"£92,696.74",
Crown Commercial Services,Executive Agency,Cabinet Office,23,22,102,96,368,353,173,164,21,21,0,0,687,656,0,0,52,52,0,0,52,52,739,708,"£2,053,978.40","£43,283.47",£0.00,£864.08,"£552,107.03","£221,002.28","£2,871,235.26","£676,488.14","£3,547,723.40",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,20,19,463,429,249,236,64,63,17,17,0,0,813,764,12,12,0,0,5,3,17,15,830,779,"£2,044,483.94","£37,778.13","£20,103.31","£7,376.72","£518,198.23","£207,044.19","£2,834,984.52","£43,776.56","£2,878,761.08",
Government Property Agency,Executive Agency,Cabinet Office,3,2.43,18,17.29,58,56.73,86,84.74,16,16,0,0,181,177,24,23.6,0,0,0,0,24,23.6,205,201,"£695,293.00","£27,390.00","£1,632.00",£0.00,"£195,833.00","£82,005.00","£1,002,153.00","£713,667.98","£1,715,820.98",
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,1,1,14,13.6,117,112.5,63,57.5,13,12.9,0,0,208,198,0,0,2,2,0,0,2,2,210,200,"£711,562.00","£13,139.00",£0.00,"£1,762.00","£202,469.00","£78,945.00","£1,007,877.00","£12,095.00","£1,019,972.00",
