,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other,Fast Streamers -BEIS paid,  unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",81,78.54,432,421.95,2143,2112.82,2230,2172.05,292,278.75,103,73.89,5281,5138.00,12,12,0,0,59,52.6,16,9.26,87,73.86,"5,368","5,211.86","£19,950,053.17","£904,983.19","£163,430.00","£115,515.29","£5,572,851.13","£2,379,010.99","£29,085,843.77","£1,640,980.00","£7,579,906.00","£9,220,886.00","£38,306,729.77",,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",49,43.51,355,335.40,589,548.36,57,51.96,6,6.00,0,0,1056,985.23,23,23,5,5,23,22.5,0,0,51,50.50,"1,107","1,035.73","£2,565,961.80","£21,895.92","£2,000.00","£3,693.27","£685,006.60","£252,756.26","£3,531,313.85",£0.00,£0.00,£0.00,"£3,531,313.85",,,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1469,1440.76,155,151.31,27,25.80,0,0.00,0,0.00,0,0,1651,1617.87,0,0,0,0,0,0,0,0,0,0.00,"1,651","1,617.87","£4,940,332.81","£141,961.87","£24,199.56","£742,358.31","£926,865.12","£656,912.15","£7,432,629.82",,,£0.00,"£7,432,629.82",,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.80,26,25.20,168,164.00,60,60.00,2,2.00,0,0,270,264.00,12,12,0,0,0,0,0,0,12,12.00,282,276.00,"£849,296.35","£17,228.28","£3,182.52",£94.38,"£231,382.94","£92,336.46","£1,193,520.93","£90,428.58",£0.00,"£90,428.58","£1,283,949.51",,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1.00,1,1.00,11,11.00,17,15.83,5,4.90,0,0,35,33.73,0,0,0,0,0,0,0,0,0,0.00,35,33.73,"£156,933.00",£0.00,£0.00,£0.00,"£39,821.00","£20,338.00","£217,092.00",,,£0.00,"£217,092.00",,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",448,390.36,285,268.40,292,280.73,72,71.03,6,6.00,0,0,1103,1016.52,3,3,0,0,32,32,0,0,35,35.00,"1,138","1,051.52","£2,487,543.46","£35,715.17",£0.00,"£40,568.53","£676,479.38","£240,730.89","£3,481,037.43","£8,666.00","£276,238.00","£284,904.00","£3,765,941.43",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,0,0.00,4,3.72,7,7.00,0,0.00,1,1,17,16.72,0,0,0,0,0,0,2,2,2,2.00,19,18.72,"£69,675.69",£216.66,"£6,500.00",£0.00,"£19,487.53","£8,824.89","£104,704.77",£0.00,"£2,775.00","£2,775.00","£107,479.77",,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1825,1728.84,2147,1870.18,2022,1819.23,283,265.93,26,26.00,0,0,6303,5710.18,0,0,11,11,29,29,5,5,45,45.00,"6,348","5,755.18","£16,120,516.64","£226,901.31","£1,127,356.54","£2,027,951.70","£4,347,579.00","£14,788,544.84","£38,638,850.03","£291,482.34","£39,588.62","£331,070.96","£38,969,920.99",,,
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",599,562.94,211,199.87,801,768.85,147,144.02,9,9.00,0,0,1767,1684.68,63,63,0,0,6,6,0,0,69,69.00,"1,836","1,753.68","£4,495,522.77","£16,179.85",£300.00,"£9,824.56","£1,216,132.27","£458,839.39","£6,196,798.84","£458,929.53",£0.00,"£458,929.53","£6,655,728.37",,,
