,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other,Fast Streamers -BEIS paid,  unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",76,73.65,408,398.18,2258,2228.04,2359,2299.99,325,313.19,0,0,5426,5313.05,12,12,0,0,55,49.6,16,11.26,83,72.86,"5,509","5,385.91","£19,018,479.63","£946,305.15","£284,450.00","£74,166.55","£5,219,351.19","£2,255,937.46","£27,798,689.98","£223,604.00","£420,950.00","£644,554.00","£28,443,243.98",,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",51,44.54,350,330.07,595,554.30,58,53.56,6,6.00,0,0,1060,988.47,0,0,0,0,0,0,0,0,0,0.00,"1,060",988.47,"£2,667,554.27","£21,989.38","£4,605.00","£7,083.73","£711,133.86","£266,288.91","£3,678,655.15",£0.00,£0.00,£0.00,"£3,678,655.15",,,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1416,1389.10,166,162.45,28,26.80,0,0.00,0,0.00,0,0,1610,1578.35,0,0,0,0,0,0,0,0,0,0.00,"1,610","1,578.35","£4,920,529.00","£123,862.38","£23,712.23","£374,922.76","£923,223.92","£623,562.06","£6,989,812.35",£0.00,£0.00,£0.00,"£6,989,812.35",,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.80,25,24.10,171,166.80,61,61.00,2,2.00,0,0,273,266.70,11,11,0,0,0,0,0,0,11,11.00,284,277.70,"£877,514.29","£18,432.36","£2,128.72","£8,469.77","£239,044.08","£96,868.07","£1,242,457.29","£63,692.92",£0.00,"£63,692.92","£1,306,150.21",,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,1,1.00,11,9.84,19,16.63,5,4.90,0,0,36,32.37,0,0,0,0,0,0,0,0,0,0.00,36,32.37,"£264,428.00",£0.00,£0.00,£0.00,"£45,864.00","£20,082.00","£330,374.00",£0.00,£0.00,£0.00,"£330,374.00",,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",436,380.04,284,266.95,299,287.38,73,72.03,7,7.00,0,0,1099,1013.40,6,6,0,0,32,32,0,0,38,38.00,"1,137","1,051.40","£3,607,132.03","£23,556.47",£0.00,"£69,551.34","£1,016,832.75","£417,923.34","£5,134,995.93","£27,706.44","£391,046.65","£418,753.09","£5,553,749.02",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,0,0.00,4,3.72,7,7.00,0,0.00,1,1,17,16.72,0,0,0,0,0,0,2,2,2,2.00,19,18.72,"£69,566.38",£216.66,£0.00,£0.00,"£19,481.65","£7,901.08","£97,165.77",£0.00,"£3,650.00","£3,650.00","£100,815.77",,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1701,1606.75,2245,1977.51,2067,1864.81,300,284.55,26,26.00,0,0,6339,5759.62,0,0,9,9,40,40,4,4,53,53.00,"6,392","5,812.62","£14,973,859.86","£205,370.48",£0.00,"£1,537,079.89","£4,037,115.75","£12,865,277.15","£33,618,703.13","£248,643.97","£52,841.79","£301,485.76","£33,920,188.89",,,
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",637,600.34,210,198.88,800,768.26,146,143.08,8,8.00,0,0,1801,1718.55,0,0,0,0,0,0,0,0,0,0.00,"1,801","1,718.55","£4,681,058.96","£18,215.63","£157,050.00","£6,021.49","£1,266,594.57","£501,758.03","£6,630,698.68","£448,023.84",£0.00,"£448,023.84","£7,078,722.52",,,
UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",194,176.88,489,461.90,480,461.30,342,321.48,26,25.70,0,0,1531,1447.26,0,0,0,0,0,0,0,0,0,0.00,"1,531","1,447.26","£4,354,195.00","£187,712.00","£17,670.00",£0.00,"£1,244,051.00","£490,392.00","£6,294,020.00","£179,017.00",£0.00,"£179,017.00","£6,473,037.00",,,
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",83,82.70,189,181.40,1254,1179.50,554,521.20,9,9.00,0,0,2089,1973.80,0,0,0,0,0,0,0,0,0,0.00,"2,089","1,973.80","£6,420,201.48","£575,878.47",£0.00,£0.00,"£743,895.78","£1,782,675.42","£9,522,651.15","£1,046,832.21","£14,678.67","£1,061,510.88","£10,584,162.03",,,
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,339,331,339,331.00,6,5.59,28,27.4,0,0,0,0,34,32.99,373,363.99,"£2,074,171.41","£83,472.44",£0.00,£0.00,"£554,027.12","£271,123.64","£2,982,794.61",£0.00,"£116,836.60","£116,836.60","£3,099,631.21",,,
UKAEA,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",80,74.95,214,210.27,808,792.77,301,290.87,14,13.50,90,90,1507,1472.36,0,0,0,0,501,501,0,0,501,501.00,"2,008","1,973.36","£5,511,767.01",£0.00,"£17,142.16","£83,914.37","£949,745.07","£645,662.77","£7,208,231.38","£1,694,095.08",£0.00,"£1,694,095.08","£8,902,326.46",,,
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1.00,17,17.00,111,109.40,105,103.60,12,11.80,0,0,246,242.80,0,0,0,0,0,0,0,0,0,0.00,246,242.80,"£956,010.80","£33,084.38",£0.00,£0.00,"£258,614.21","£110,971.85","£1,358,681.24","£342,945.83",£0.00,"£342,945.83","£1,701,627.07",,,
UKRI,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",651,604.43,1111,1057.33,4132,3997.55,1377,1325.56,224,212.09,294,286.39,7789,7483.35,96,73.2,79,61.08,109,40.39,0,0,284,174.67,"8,073","7,658.02","£24,677,233.92","£1,059,763.27","£124,424.00","£123,799.59","£19,749,284.47","£2,772,496.65","£48,507,001.90","£912,966.90","£65,036.90","£978,003.80","£49,485,005.70",,,
