 ,Organisation type,Main parent or sponsoring department,Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time equivalent,Payroll staff Other unknown or unspecified Headcount,Payroll staff Other unknown or unspecified Full-time equivalent,Payroll staff Total Employees Headcount,"Payroll staff Total Employees Full-time 
equivalent",Number of non-payroll staff Agency staff (clerical/admin) Headcount,Number of non-payroll staff Agency staff (clerical/admin) Full-time equivalent,Number of non-payroll staff Interim managers Headcount,Number of non-payroll staff Interim managers Full-time equivalent,Number of non-payroll staff Specialist Contractors Headcount,Number of non-payroll staff Specialist Contractors Full-time equivalent,Number of non-payroll staff Consultants/consultancy Headcount,Number of non-payroll staff Consultants/consultancy Full-time equivalent,Number of non-payroll staff Total Headcount,Number of non-payroll staff Total Full-time equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,Total monthly cost of contingent labour: agency (clerical and admin) staff and interim managers and specialist contractors,Total monthly cost of consultants/consultancy,Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,173,168.34,339,331.11,493,484.1,744,729.93,234,229.62,163,160.41,"2,146","2,104",14,12.9,264,264,14,13.05,5,5,297,294.95,"2,443","2,398","£7,421,212.17","£407,475.99","£466,884.34","£80,321.51","£1,627,285.80","£802,484.13","£10,805,663.94","£2,298,856.00","£469,299.00","£2,768,155.00","£13,573,818.94",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,3,2.56,5,5,3,2.8,3,3,1,1,1,1,16,15,0,0,0,0,0,0,0,0,0,0,16,15,"£41,811.76",£545.00,"£3,110.00",£0.00,"£8,106.44","£3,908.84","£57,482.04",£0.00,£0.00,£0.00,"£57,482.04",
Crown Commercial Services,Executive Agency,Cabinet Office,51,49.8,85,80.7,332,325.8,145,143.3,43,43,0,0,656,643,19,19,25,25,0,0,4,4,48,48,704,691,"£2,245,535.51","£7,730.61",£0.00,£553.01,"£439,042.00","£204,326.80","£2,897,187.93","£263,868.07","£29,249.83","£293,117.90","£3,190,305.83",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,111,105,483,449,242,229,79,75,19,19,0,0,934,877,36,36,0,0,3,3,0,0,39,39,973,916,"£2,018,583.36","£37,876.76",£0.00,"£7,300.87","£373,595.92","£153,059.69","£2,590,416.60","£122,874.32",£0.00,"£122,874.32","£2,713,290.92",
